date,Peter Reinhart,Joseph Pine,Paula Scher,David Carson,Iraola,isPartial
2015-12-01,2,2,3,16,6,False
2016-01-01,2,2,3,19,7,False
2016-02-01,2,3,6,15,8,False
2016-03-01,2,2,5,18,8,False
2016-04-01,2,3,3,15,6,False
2016-05-01,2,2,3,12,10,False
2016-06-01,1,2,2,14,8,False
2016-07-01,1,1,1,9,9,False
2016-08-01,1,2,2,11,6,False
2016-09-01,1,2,4,12,8,False
2016-10-01,1,3,3,12,8,False
2016-11-01,2,1,5,15,11,False
2016-12-01,1,3,2,10,5,False
2017-01-01,2,2,3,12,6,False
2017-02-01,2,2,18,13,7,False
2017-03-01,2,2,14,14,6,False
2017-04-01,2,2,12,13,6,False
2017-05-01,1,2,10,14,8,False
2017-06-01,1,3,5,11,6,False
2017-07-01,1,2,4,8,6,False
2017-08-01,1,3,5,10,6,False
2017-09-01,1,2,8,13,6,False
2017-10-01,1,2,7,12,5,False
2017-11-01,1,2,8,14,5,False
2017-12-01,1,2,5,9,4,False
2018-01-01,2,2,7,11,6,False
2018-02-01,1,1,8,11,5,False
2018-03-01,2,2,8,14,4,False
2018-04-01,1,2,7,11,5,False
2018-05-01,1,2,6,12,6,False
2018-06-01,1,2,4,7,6,False
2018-07-01,1,2,4,8,5,False
2018-08-01,1,2,5,10,5,False
2018-09-01,1,1,7,13,6,False
2018-10-01,1,2,6,11,7,False
2018-11-01,1,1,6,11,5,False
2018-12-01,1,1,4,9,5,False
2019-01-01,2,2,4,11,4,False
2019-02-01,1,1,5,8,6,False
2019-03-01,1,1,5,11,5,False
2019-04-01,1,2,5,10,6,False
2019-05-01,1,1,4,9,5,False
2019-06-01,1,2,3,10,6,False
2019-07-01,1,2,3,10,7,False
2019-08-01,1,1,3,12,6,False
2019-09-01,1,2,5,13,5,False
2019-10-01,1,3,7,13,5,False
2019-11-01,1,1,6,12,6,False
2019-12-01,1,2,4,9,6,False
2020-01-01,2,2,3,10,9,False
2020-02-01,1,1,4,9,16,False
2020-03-01,3,1,4,9,7,False
2020-04-01,4,2,6,10,5,False
2020-05-01,3,2,4,8,4,False
2020-06-01,2,1,4,8,5,False
2020-07-01,2,2,3,8,11,False
2020-08-01,1,2,3,9,8,False
2020-09-01,1,2,5,14,6,False
2020-10-01,1,1,4,9,7,False
