date,Rodney Brooks,Noah Feldman,Liz Diller,David Perry,Iraola,isPartial
2011-10-01,2,6,0,75,13,False
2011-11-01,2,2,1,97,12,False
2011-12-01,3,2,0,92,11,False
2012-01-01,2,2,0,92,11,False
2012-02-01,3,2,1,93,13,False
2012-03-01,2,3,1,81,23,False
2012-04-01,3,2,1,85,14,False
2012-05-01,2,1,1,68,17,False
2012-06-01,2,2,0,79,13,False
2012-07-01,1,2,0,87,10,False
2012-08-01,2,1,1,79,10,False
2012-09-01,2,2,1,71,11,False
2012-10-01,4,2,1,56,11,False
2012-11-01,3,2,0,58,11,False
2012-12-01,3,3,1,59,10,False
2013-01-01,3,3,0,61,10,False
2013-02-01,2,2,1,65,10,False
2013-03-01,2,2,0,52,10,False
2013-04-01,2,1,1,55,11,False
2013-05-01,2,5,1,50,9,False
2013-06-01,2,3,1,52,10,False
2013-07-01,2,3,0,65,10,False
2013-08-01,2,1,0,62,10,False
2013-09-01,3,2,0,61,13,False
2013-10-01,2,3,0,63,11,False
2013-11-01,1,2,0,64,10,False
2013-12-01,2,1,0,60,10,False
2014-01-01,2,2,0,64,9,False
2014-02-01,3,2,1,62,10,False
2014-03-01,2,1,0,60,12,False
2014-04-01,2,2,0,64,9,False
2014-05-01,2,18,0,62,10,False
2014-06-01,1,11,0,59,9,False
2014-07-01,2,3,0,61,11,False
2014-08-01,1,1,0,65,14,False
2014-09-01,2,2,0,65,15,False
2014-10-01,1,2,1,58,12,False
2014-11-01,2,2,0,49,11,False
2014-12-01,2,1,0,55,9,False
2015-01-01,3,2,0,81,9,False
2015-02-01,2,2,0,77,11,False
2015-03-01,2,2,0,58,15,False
2015-04-01,2,3,1,61,16,False
2015-05-01,1,2,0,55,42,False
2015-06-01,1,2,0,55,19,False
2015-07-01,1,2,0,60,21,False
2015-08-01,2,2,0,66,14,False
2015-09-01,2,4,1,56,13,False
2015-10-01,2,4,0,48,10,False
2015-11-01,1,4,0,49,10,False
2015-12-01,2,4,0,62,8,False
2016-01-01,1,3,0,67,10,False
2016-02-01,3,3,0,53,10,False
2016-03-01,3,3,0,45,11,False
2016-04-01,2,3,1,45,8,False
2016-05-01,2,2,0,43,13,False
2016-06-01,1,2,0,43,11,False
2016-07-01,1,2,0,48,12,False
2016-08-01,2,2,0,41,8,False
2016-09-01,2,1,1,43,11,False
2016-10-01,2,2,1,41,10,False
2016-11-01,2,2,0,39,14,False
2016-12-01,2,1,0,41,8,False
2017-01-01,2,2,0,47,8,False
2017-02-01,2,2,0,46,9,False
2017-03-01,2,2,1,41,8,False
2017-04-01,2,2,0,42,8,False
2017-05-01,1,3,0,42,10,False
2017-06-01,2,1,0,47,8,False
2017-07-01,3,2,0,44,8,False
2017-08-01,2,2,0,41,7,False
2017-09-01,2,1,0,39,7,False
2017-10-01,2,2,1,37,7,False
2017-11-01,2,2,0,38,6,False
2017-12-01,2,1,0,40,6,False
2018-01-01,1,2,0,48,8,False
2018-02-01,2,1,0,45,7,False
2018-03-01,2,2,0,44,6,False
2018-04-01,1,1,0,38,7,False
2018-05-01,2,1,0,35,7,False
2018-06-01,2,1,1,33,7,False
2018-07-01,2,2,0,38,7,False
2018-08-01,2,1,0,36,7,False
2018-09-01,2,1,0,34,8,False
2018-10-01,2,2,0,31,8,False
2018-11-01,1,1,0,36,7,False
2018-12-01,2,2,0,34,7,False
2019-01-01,1,2,1,42,7,False
2019-02-01,2,1,0,43,8,False
2019-03-01,2,1,0,50,6,False
2019-04-01,1,1,1,33,8,False
2019-05-01,2,1,0,32,7,False
2019-06-01,1,1,1,40,7,False
2019-07-01,1,1,0,37,10,False
2019-08-01,1,1,0,44,8,False
2019-09-01,2,1,0,40,7,False
2019-10-01,2,2,0,42,7,False
2019-11-01,1,1,0,40,7,False
2019-12-01,2,88,0,35,8,False
2020-01-01,2,5,0,36,12,False
2020-02-01,1,2,0,43,23,False
2020-03-01,1,2,0,36,9,False
2020-04-01,2,2,0,43,7,False
2020-05-01,1,3,0,47,6,False
2020-06-01,4,2,0,44,7,False
2020-07-01,2,1,0,39,14,False
2020-08-01,1,1,0,40,11,False
2020-09-01,1,9,0,37,8,False
2020-10-01,1,4,0,36,9,False
