date,Steven  Cowley,Asher Hasan,Michael Sandel,Cat Laine,Iraola,isPartial
2011-10-01,1,0,47,2,33,False
2011-11-01,1,1,44,2,27,False
2011-12-01,1,0,42,2,26,False
2012-01-01,1,1,32,3,26,False
2012-02-01,0,2,32,2,30,False
2012-03-01,1,1,48,1,50,False
2012-04-01,0,0,70,1,35,False
2012-05-01,1,1,68,1,38,False
2012-06-01,1,1,48,1,30,False
2012-07-01,1,0,44,1,22,False
2012-08-01,2,1,37,1,21,False
2012-09-01,1,0,55,0,23,False
2012-10-01,1,1,60,1,26,False
2012-11-01,1,1,61,2,24,False
2012-12-01,1,0,53,1,23,False
2013-01-01,1,0,40,2,23,False
2013-02-01,1,0,40,1,26,False
2013-03-01,1,1,47,1,23,False
2013-04-01,2,1,58,1,23,False
2013-05-01,1,0,60,1,17,False
2013-06-01,1,0,40,1,24,False
2013-07-01,1,0,31,1,20,False
2013-08-01,1,0,37,1,22,False
2013-09-01,1,0,44,1,28,False
2013-10-01,0,1,48,1,24,False
2013-11-01,1,1,45,2,22,False
2013-12-01,1,0,36,0,25,False
2014-01-01,0,1,39,2,21,False
2014-02-01,1,0,30,1,25,False
2014-03-01,1,1,31,2,29,False
2014-04-01,1,1,40,1,21,False
2014-05-01,1,0,43,2,25,False
2014-06-01,1,0,24,0,20,False
2014-07-01,1,0,24,1,27,False
2014-08-01,1,1,22,1,33,False
2014-09-01,1,0,32,1,35,False
2014-10-01,1,1,38,1,27,False
2014-11-01,1,0,32,2,30,False
2014-12-01,1,0,31,2,23,False
2015-01-01,1,0,25,1,23,False
2015-02-01,0,1,29,1,25,False
2015-03-01,0,0,29,1,37,False
2015-04-01,1,1,26,2,39,False
2015-05-01,0,0,26,1,100,False
2015-06-01,1,0,24,1,40,False
2015-07-01,0,0,23,1,48,False
2015-08-01,0,0,21,0,37,False
2015-09-01,0,0,32,1,28,False
2015-10-01,1,0,35,1,23,False
2015-11-01,1,0,29,2,23,False
2015-12-01,1,0,22,1,19,False
2016-01-01,1,0,21,0,21,False
2016-02-01,0,0,22,1,24,False
2016-03-01,0,0,28,1,25,False
2016-04-01,1,0,43,0,19,False
2016-05-01,1,0,33,1,31,False
2016-06-01,0,0,35,1,27,False
2016-07-01,1,0,15,0,29,False
2016-08-01,1,1,20,1,18,False
2016-09-01,0,0,26,0,24,False
2016-10-01,0,0,21,1,26,False
2016-11-01,1,0,28,1,34,False
2016-12-01,1,0,23,0,17,False
2017-01-01,0,0,26,1,19,False
2017-02-01,0,0,26,1,22,False
2017-03-01,0,0,27,2,18,False
2017-04-01,0,0,25,1,18,False
2017-05-01,0,0,26,1,24,False
2017-06-01,1,0,22,0,18,False
2017-07-01,0,0,18,0,19,False
2017-08-01,1,0,16,1,19,False
2017-09-01,0,0,26,2,17,False
2017-10-01,1,0,21,1,16,False
2017-11-01,2,0,22,1,15,False
2017-12-01,0,0,18,2,13,False
2018-01-01,0,0,17,0,18,False
2018-02-01,0,0,16,0,15,False
2018-03-01,0,0,36,0,12,False
2018-04-01,1,0,28,1,16,False
2018-05-01,0,0,27,1,18,False
2018-06-01,1,0,20,1,19,False
2018-07-01,0,0,17,2,15,False
2018-08-01,1,1,22,1,17,False
2018-09-01,0,0,22,1,19,False
2018-10-01,0,0,36,1,21,False
2018-11-01,1,0,22,0,17,False
2018-12-01,0,0,15,1,15,False
2019-01-01,0,0,17,1,14,False
2019-02-01,0,0,19,1,18,False
2019-03-01,0,0,20,1,16,False
2019-04-01,1,0,21,0,20,False
2019-05-01,1,0,20,1,15,False
2019-06-01,0,0,15,1,18,False
2019-07-01,0,0,13,0,24,False
2019-08-01,1,0,17,1,19,False
2019-09-01,1,0,21,1,17,False
2019-10-01,1,0,20,1,17,False
2019-11-01,0,0,17,1,18,False
2019-12-01,0,0,11,1,18,False
2020-01-01,0,0,11,1,28,False
2020-02-01,0,0,15,1,52,False
2020-03-01,0,0,18,1,22,False
2020-04-01,1,0,24,1,16,False
2020-05-01,1,0,23,1,12,False
2020-06-01,0,0,19,1,16,False
2020-07-01,0,0,17,1,35,False
2020-08-01,0,0,18,1,26,False
2020-09-01,0,0,52,0,19,False
2020-10-01,0,0,27,1,21,False
