date,Laura Galante,Karim Abouelnaga,Carolyn Jones,Jorge Drexler,Iraola,isPartial
2014-02-01,0,0,4,17,3,False
2014-03-01,0,0,4,22,4,False
2014-04-01,0,0,4,24,3,False
2014-05-01,0,0,5,26,3,False
2014-06-01,0,0,4,18,3,False
2014-07-01,0,0,4,16,4,False
2014-08-01,0,0,6,15,5,False
2014-09-01,0,0,5,17,5,False
2014-10-01,0,0,6,15,4,False
2014-11-01,0,0,5,17,4,False
2014-12-01,1,0,8,14,3,False
2015-01-01,0,0,4,14,3,False
2015-02-01,0,0,4,15,4,False
2015-03-01,0,0,5,19,5,False
2015-04-01,0,0,5,15,5,False
2015-05-01,0,0,5,19,14,False
2015-06-01,0,0,4,13,6,False
2015-07-01,0,0,4,12,7,False
2015-08-01,0,0,5,12,5,False
2015-09-01,0,0,5,13,4,False
2015-10-01,0,0,6,11,3,False
2015-11-01,0,0,5,13,3,False
2015-12-01,0,0,3,8,3,False
2016-01-01,0,0,4,7,3,False
2016-02-01,0,0,4,8,3,False
2016-03-01,0,0,5,7,4,False
2016-04-01,0,0,5,8,3,False
2016-05-01,0,0,4,8,4,False
2016-06-01,0,0,3,8,4,False
2016-07-01,0,0,4,10,4,False
2016-08-01,0,0,3,7,2,False
2016-09-01,0,0,4,8,4,False
2016-10-01,0,0,5,10,3,False
2016-11-01,0,0,3,8,5,False
2016-12-01,0,0,4,8,3,False
2017-01-01,0,0,3,7,2,False
2017-02-01,0,0,3,8,3,False
2017-03-01,0,0,3,7,3,False
2017-04-01,0,0,4,7,3,False
2017-05-01,1,0,3,9,3,False
2017-06-01,0,0,3,9,3,False
2017-07-01,0,0,2,11,3,False
2017-08-01,0,0,4,10,2,False
2017-09-01,0,0,4,13,2,False
2017-10-01,0,2,5,15,2,False
2017-11-01,0,1,3,13,2,False
2017-12-01,0,1,3,12,2,False
2018-01-01,0,0,3,11,3,False
2018-02-01,0,0,3,15,2,False
2018-03-01,0,0,3,11,2,False
2018-04-01,0,0,4,17,2,False
2018-05-01,0,0,3,12,2,False
2018-06-01,0,0,3,11,2,False
2018-07-01,0,0,4,9,2,False
2018-08-01,0,0,4,9,2,False
2018-09-01,0,0,3,10,3,False
2018-10-01,0,0,6,9,3,False
2018-11-01,0,0,4,20,2,False
2018-12-01,0,0,3,11,2,False
2019-01-01,0,0,3,8,2,False
2019-02-01,0,0,3,10,3,False
2019-03-01,0,0,3,10,2,False
2019-04-01,0,0,3,10,3,False
2019-05-01,0,0,4,9,2,False
2019-06-01,0,0,5,11,2,False
2019-07-01,0,0,4,9,3,False
2019-08-01,0,0,4,9,3,False
2019-09-01,0,0,4,11,2,False
2019-10-01,0,0,10,9,2,False
2019-11-01,0,0,5,10,2,False
2019-12-01,0,0,4,8,3,False
2020-01-01,0,0,3,9,4,False
2020-02-01,0,0,3,9,7,False
2020-03-01,0,0,4,18,3,False
2020-04-01,0,0,4,11,2,False
2020-05-01,0,0,5,8,2,False
2020-06-01,0,0,3,8,2,False
2020-07-01,0,0,3,8,5,False
2020-08-01,0,0,3,6,4,False
2020-09-01,0,0,4,7,3,False
2020-10-01,0,0,6,6,3,False
