date,Franco Sacchi,George Smoot,Bill Joy,Dan Barber,Iraola,isPartial
2014-02-01,1,3,9,5,13,False
2014-03-01,1,4,9,4,15,False
2014-04-01,0,3,8,5,11,False
2014-05-01,0,3,6,10,14,False
2014-06-01,0,2,7,8,11,False
2014-07-01,0,5,8,8,14,False
2014-08-01,0,4,7,9,17,False
2014-09-01,0,2,5,6,19,False
2014-10-01,0,4,9,7,14,False
2014-11-01,0,3,8,6,16,False
2014-12-01,0,5,6,4,12,False
2015-01-01,0,5,8,6,12,False
2015-02-01,1,3,8,6,14,False
2015-03-01,0,2,7,7,20,False
2015-04-01,0,4,8,12,21,False
2015-05-01,0,2,6,30,53,False
2015-06-01,0,4,6,15,21,False
2015-07-01,1,2,9,12,26,False
2015-08-01,0,4,7,12,20,False
2015-09-01,1,2,10,12,15,False
2015-10-01,0,4,7,11,12,False
2015-11-01,1,4,8,10,13,False
2015-12-01,0,2,9,10,10,False
2016-01-01,0,26,10,11,11,False
2016-02-01,0,10,9,11,13,False
2016-03-01,1,3,7,10,13,False
2016-04-01,0,2,7,11,10,False
2016-05-01,0,4,8,10,17,False
2016-06-01,0,2,7,13,14,False
2016-07-01,0,2,7,8,16,False
2016-08-01,0,2,7,11,9,False
2016-09-01,0,1,7,9,13,False
2016-10-01,0,2,9,9,14,False
2016-11-01,0,2,8,10,18,False
2016-12-01,0,2,8,10,9,False
2017-01-01,0,2,8,12,10,False
2017-02-01,0,2,11,12,12,False
2017-03-01,0,2,9,16,9,False
2017-04-01,1,2,9,14,10,False
2017-05-01,0,2,10,9,13,False
2017-06-01,0,2,8,8,10,False
2017-07-01,0,2,7,7,10,False
2017-08-01,0,1,8,9,10,False
2017-09-01,0,2,8,9,9,False
2017-10-01,0,2,7,7,8,False
2017-11-01,0,2,8,8,8,False
2017-12-01,0,2,8,9,7,False
2018-01-01,0,2,9,10,10,False
2018-02-01,0,2,10,8,8,False
2018-03-01,0,3,7,8,6,False
2018-04-01,0,2,10,9,9,False
2018-05-01,0,1,8,8,10,False
2018-06-01,0,1,6,7,10,False
2018-07-01,0,3,5,9,8,False
2018-08-01,0,1,7,9,9,False
2018-09-01,0,2,8,7,10,False
2018-10-01,0,1,7,8,11,False
2018-11-01,0,2,7,8,9,False
2018-12-01,0,2,6,8,8,False
2019-01-01,0,3,7,7,7,False
2019-02-01,0,1,8,7,9,False
2019-03-01,0,1,8,8,8,False
2019-04-01,0,5,7,6,11,False
2019-05-01,0,3,5,8,8,False
2019-06-01,0,2,5,6,9,False
2019-07-01,0,2,5,6,13,False
2019-08-01,0,2,6,8,10,False
2019-09-01,0,2,7,6,9,False
2019-10-01,0,3,8,7,9,False
2019-11-01,1,2,7,5,10,False
2019-12-01,1,1,6,7,10,False
2020-01-01,0,2,6,7,15,False
2020-02-01,0,2,7,7,28,False
2020-03-01,0,2,7,6,12,False
2020-04-01,1,2,7,6,8,False
2020-05-01,0,2,7,7,6,False
2020-06-01,0,3,5,9,9,False
2020-07-01,0,2,6,6,19,False
2020-08-01,0,3,8,6,14,False
2020-09-01,0,3,8,7,10,False
2020-10-01,0,2,8,7,11,False
