date,Joshua Smith,Aala El-Khani,Miriam Zoila Pérez, Rodrigo y Gabriela,Iraola,isPartial
2008-05-01,10,0,0,40,8,False
2008-06-01,10,0,0,46,7,False
2008-07-01,9,0,0,39,4,False
2008-08-01,8,0,0,42,9,False
2008-09-01,7,0,0,36,10,False
2008-10-01,7,0,0,39,9,False
2008-11-01,7,0,0,48,9,False
2008-12-01,8,0,0,43,7,False
2009-01-01,9,0,0,41,9,False
2009-02-01,9,0,0,33,10,False
2009-03-01,9,0,0,33,7,False
2009-04-01,10,0,0,33,9,False
2009-05-01,8,0,0,31,11,False
2009-06-01,8,0,0,43,8,False
2009-07-01,9,0,0,49,8,False
2009-08-01,10,0,0,56,9,False
2009-09-01,7,0,0,100,11,False
2009-10-01,6,0,0,97,8,False
2009-11-01,8,0,0,80,10,False
2009-12-01,6,0,0,64,8,False
2010-01-01,7,0,0,76,10,False
2010-02-01,6,0,0,58,5,False
2010-03-01,9,0,0,73,8,False
2010-04-01,7,0,0,81,8,False
2010-05-01,9,0,0,59,7,False
2010-06-01,7,0,0,61,8,False
2010-07-01,6,0,0,88,6,False
2010-08-01,6,0,0,87,8,False
2010-09-01,7,0,0,57,9,False
2010-10-01,7,0,0,57,10,False
2010-11-01,8,0,0,74,12,False
2010-12-01,7,0,0,45,10,False
2011-01-01,6,0,0,44,8,False
2011-02-01,8,0,0,47,11,False
2011-03-01,11,0,0,37,13,False
2011-04-01,6,0,0,47,10,False
2011-05-01,8,0,0,53,9,False
2011-06-01,7,0,0,49,9,False
2011-07-01,6,0,0,61,8,False
2011-08-01,6,0,0,56,12,False
2011-09-01,6,0,0,48,10,False
2011-10-01,7,0,0,52,9,False
2011-11-01,7,0,0,59,8,False
2011-12-01,6,0,0,58,8,False
2012-01-01,6,0,0,80,7,False
2012-02-01,7,0,0,78,9,False
2012-03-01,8,0,0,58,16,False
2012-04-01,8,0,0,69,10,False
2012-05-01,7,0,0,40,12,False
2012-06-01,8,0,0,40,9,False
2012-07-01,7,0,0,45,7,False
2012-08-01,9,0,0,35,7,False
2012-09-01,9,0,0,33,8,False
2012-10-01,7,0,0,36,7,False
2012-11-01,11,0,0,44,8,False
2012-12-01,9,0,0,29,7,False
2013-01-01,8,0,0,37,7,False
2013-02-01,7,0,0,28,7,False
2013-03-01,8,0,0,27,7,False
2013-04-01,7,0,0,26,7,False
2013-05-01,6,0,0,28,6,False
2013-06-01,8,0,0,27,7,False
2013-07-01,7,0,0,46,7,False
2013-08-01,6,0,0,28,7,False
2013-09-01,7,0,0,20,9,False
2013-10-01,8,0,0,21,7,False
2013-11-01,11,0,0,21,7,False
2013-12-01,8,0,0,28,7,False
2014-01-01,9,0,0,27,6,False
2014-02-01,9,0,0,26,7,False
2014-03-01,8,0,0,24,8,False
2014-04-01,6,0,0,40,6,False
2014-05-01,8,0,0,60,7,False
2014-06-01,6,0,0,42,6,False
2014-07-01,7,0,0,48,7,False
2014-08-01,6,0,0,44,10,False
2014-09-01,8,0,0,29,10,False
2014-10-01,8,0,0,37,8,False
2014-11-01,8,0,0,31,7,False
2014-12-01,9,0,0,30,6,False
2015-01-01,8,0,0,21,6,False
2015-02-01,7,0,0,18,8,False
2015-03-01,11,0,0,22,11,False
2015-04-01,8,0,0,23,11,False
2015-05-01,11,0,0,19,29,False
2015-06-01,9,0,0,24,13,False
2015-07-01,12,0,0,25,14,False
2015-08-01,7,0,0,20,10,False
2015-09-01,11,0,0,19,9,False
2015-10-01,12,0,0,14,7,False
2015-11-01,9,0,0,14,7,False
2015-12-01,9,0,0,14,6,False
2016-01-01,8,0,0,11,7,False
2016-02-01,8,0,0,13,7,False
2016-03-01,7,0,0,14,7,False
2016-04-01,9,0,0,18,5,False
2016-05-01,8,0,0,17,9,False
2016-06-01,8,0,0,15,7,False
2016-07-01,8,0,0,15,8,False
2016-08-01,7,0,0,14,5,False
2016-09-01,8,0,0,9,7,False
2016-10-01,8,0,0,10,7,False
2016-11-01,11,0,0,7,10,False
2016-12-01,9,0,0,7,5,False
2017-01-01,8,0,0,7,5,False
2017-02-01,8,0,0,9,6,False
2017-03-01,11,0,0,10,5,False
2017-04-01,11,0,0,12,5,False
2017-05-01,9,0,0,12,7,False
2017-06-01,10,0,0,16,5,False
2017-07-01,9,0,0,16,6,False
2017-08-01,7,0,0,10,5,False
2017-09-01,7,0,0,8,5,False
2017-10-01,8,0,0,11,5,False
2017-11-01,7,0,0,11,4,False
2017-12-01,6,0,0,7,4,False
2018-01-01,8,0,0,6,6,False
2018-02-01,8,0,0,8,5,False
2018-03-01,8,0,0,8,4,False
2018-04-01,8,0,0,7,5,False
2018-05-01,7,0,0,8,5,False
2018-06-01,9,0,0,7,5,False
2018-07-01,9,0,0,9,4,False
2018-08-01,8,0,0,16,5,False
2018-09-01,9,0,0,10,5,False
2018-10-01,6,0,0,7,6,False
2018-11-01,8,0,0,5,5,False
2018-12-01,9,0,0,6,5,False
2019-01-01,8,0,0,6,5,False
2019-02-01,8,0,0,11,5,False
2019-03-01,7,0,0,11,4,False
2019-04-01,8,0,0,19,6,False
2019-05-01,9,0,0,20,5,False
2019-06-01,15,0,0,13,5,False
2019-07-01,6,0,0,14,7,False
2019-08-01,9,0,0,8,6,False
2019-09-01,8,0,0,12,5,False
2019-10-01,7,0,0,12,5,False
2019-11-01,9,0,0,12,5,False
2019-12-01,12,0,0,8,5,False
2020-01-01,8,0,0,7,8,False
2020-02-01,9,0,0,7,15,False
2020-03-01,7,0,0,7,6,False
2020-04-01,9,0,0,8,5,False
2020-05-01,7,0,0,8,4,False
2020-06-01,8,0,0,6,5,False
2020-07-01,7,0,0,4,10,False
2020-08-01,7,0,0,5,8,False
2020-09-01,6,0,0,4,6,False
2020-10-01,7,0,0,4,6,False
