date,Manoush Zomorodi,Ronald Sullivan,Jack Conte,Peter Calthorpe,Iraola,isPartial
2008-04-01,0,2,14,2,27,False
2008-05-01,0,4,12,3,27,False
2008-06-01,0,2,8,2,24,False
2008-07-01,0,3,6,4,15,False
2008-08-01,0,6,7,0,32,False
2008-09-01,0,4,14,2,35,False
2008-10-01,0,4,4,3,30,False
2008-11-01,0,3,7,5,31,False
2008-12-01,0,4,12,5,25,False
2009-01-01,0,2,11,4,30,False
2009-02-01,0,3,11,4,35,False
2009-03-01,0,5,10,3,24,False
2009-04-01,0,2,6,2,32,False
2009-05-01,0,3,11,5,39,False
2009-06-01,0,3,15,2,27,False
2009-07-01,0,3,10,2,26,False
2009-08-01,0,3,11,2,32,False
2009-09-01,0,2,9,3,38,False
2009-10-01,0,3,13,2,28,False
2009-11-01,0,4,20,6,36,False
2009-12-01,1,2,20,3,27,False
2010-01-01,0,4,12,3,35,False
2010-02-01,0,2,13,3,18,False
2010-03-01,0,3,17,1,26,False
2010-04-01,0,3,14,3,27,False
2010-05-01,0,3,10,4,24,False
2010-06-01,0,3,14,1,29,False
2010-07-01,0,3,14,4,20,False
2010-08-01,0,3,11,4,27,False
2010-09-01,0,3,16,0,32,False
2010-10-01,0,3,11,3,34,False
2010-11-01,0,4,14,2,42,False
2010-12-01,1,4,21,2,34,False
2011-01-01,0,3,13,1,28,False
2011-02-01,0,3,9,2,38,False
2011-03-01,0,1,11,2,46,False
2011-04-01,0,3,14,2,34,False
2011-05-01,0,2,17,1,31,False
2011-06-01,0,2,11,2,33,False
2011-07-01,0,1,7,1,28,False
2011-08-01,1,2,7,1,42,False
2011-09-01,0,3,10,1,34,False
2011-10-01,0,1,9,4,32,False
2011-11-01,0,3,10,2,28,False
2011-12-01,1,3,7,1,27,False
2012-01-01,0,2,8,2,25,False
2012-02-01,1,2,5,1,30,False
2012-03-01,0,2,7,1,54,False
2012-04-01,0,3,6,1,34,False
2012-05-01,0,1,6,1,41,False
2012-06-01,1,2,5,1,32,False
2012-07-01,1,2,5,2,23,False
2012-08-01,0,4,4,2,24,False
2012-09-01,0,1,6,1,26,False
2012-10-01,0,1,6,1,25,False
2012-11-01,0,2,6,1,27,False
2012-12-01,0,2,6,1,23,False
2013-01-01,0,2,4,1,24,False
2013-02-01,1,2,4,3,25,False
2013-03-01,1,3,7,1,23,False
2013-04-01,0,2,20,1,25,False
2013-05-01,2,1,19,1,21,False
2013-06-01,1,1,11,2,23,False
2013-07-01,1,2,11,1,23,False
2013-08-01,1,1,9,1,24,False
2013-09-01,1,1,12,1,30,False
2013-10-01,1,1,10,1,26,False
2013-11-01,0,2,11,1,24,False
2013-12-01,1,2,8,2,25,False
2014-01-01,1,1,7,1,22,False
2014-02-01,1,2,9,1,25,False
2014-03-01,1,2,7,1,28,False
2014-04-01,1,2,10,1,22,False
2014-05-01,1,1,8,1,25,False
2014-06-01,1,2,6,1,21,False
2014-07-01,1,1,8,1,26,False
2014-08-01,1,2,6,1,34,False
2014-09-01,1,1,6,1,35,False
2014-10-01,1,2,8,1,27,False
2014-11-01,1,1,7,1,26,False
2014-12-01,1,2,9,1,22,False
2015-01-01,2,1,6,1,21,False
2015-02-01,2,2,3,1,26,False
2015-03-01,2,1,6,1,37,False
2015-04-01,1,2,6,1,38,False
2015-05-01,1,1,4,1,100,False
2015-06-01,3,3,3,1,44,False
2015-07-01,3,2,4,1,50,False
2015-08-01,2,1,4,1,34,False
2015-09-01,2,3,4,0,30,False
2015-10-01,2,1,8,0,24,False
2015-11-01,2,2,10,1,23,False
2015-12-01,2,2,7,1,20,False
2016-01-01,4,1,3,0,24,False
2016-02-01,5,2,5,0,23,False
2016-03-01,2,2,4,1,26,False
2016-04-01,1,3,6,1,18,False
2016-05-01,2,1,4,0,32,False
2016-06-01,1,2,4,1,26,False
2016-07-01,3,2,4,1,28,False
2016-08-01,1,3,3,1,18,False
2016-09-01,3,1,6,1,25,False
2016-10-01,2,1,5,0,24,False
2016-11-01,1,1,5,1,33,False
2016-12-01,2,3,4,0,19,False
2017-01-01,1,2,5,0,18,False
2017-02-01,3,1,4,0,21,False
2017-03-01,1,2,6,1,18,False
2017-04-01,1,7,5,1,19,False
2017-05-01,2,3,5,1,24,False
2017-06-01,1,2,6,1,19,False
2017-07-01,1,2,6,1,20,False
2017-08-01,4,2,11,2,18,False
2017-09-01,6,3,6,1,18,False
2017-10-01,4,2,4,1,16,False
2017-11-01,1,2,4,1,14,False
2017-12-01,1,2,7,0,14,False
2018-01-01,3,2,6,1,19,False
2018-02-01,3,2,5,1,17,False
2018-03-01,3,2,5,1,14,False
2018-04-01,2,2,28,1,16,False
2018-05-01,2,1,11,1,17,False
2018-06-01,4,1,8,1,17,False
2018-07-01,4,1,7,0,16,False
2018-08-01,2,2,7,1,17,False
2018-09-01,4,2,5,1,18,False
2018-10-01,2,2,5,1,20,False
2018-11-01,2,1,6,2,17,False
2018-12-01,4,2,14,1,16,False
2019-01-01,3,4,10,1,16,False
2019-02-01,2,3,11,1,19,False
2019-03-01,2,8,5,1,15,False
2019-04-01,1,3,4,2,19,False
2019-05-01,2,19,5,1,16,False
2019-06-01,2,6,7,2,17,False
2019-07-01,2,2,6,1,24,False
2019-08-01,1,3,8,1,20,False
2019-09-01,1,2,7,1,17,False
2019-10-01,2,1,9,1,16,False
2019-11-01,2,2,6,1,16,False
2019-12-01,2,2,6,1,19,False
2020-01-01,3,2,6,0,28,False
2020-02-01,2,2,4,1,54,False
2020-03-01,4,2,10,1,21,False
2020-04-01,5,2,7,1,17,False
2020-05-01,3,2,7,1,14,False
2020-06-01,2,1,6,1,16,False
2020-07-01,2,1,11,1,34,False
2020-08-01,2,2,7,1,27,False
2020-09-01,3,1,7,1,19,False
2020-10-01,1,1,6,0,21,False
