date,Charles Moore,Richard Pyle,Miru Kim,Evan Williams,Iraola,isPartial
2009-11-01,30,1,5,35,21,False
2009-12-01,36,2,2,49,15,False
2010-01-01,37,1,2,34,20,False
2010-02-01,29,1,2,33,10,False
2010-03-01,49,1,2,31,15,False
2010-04-01,37,1,2,27,16,False
2010-05-01,30,2,2,29,14,False
2010-06-01,27,3,1,20,17,False
2010-07-01,25,3,2,29,12,False
2010-08-01,31,1,1,32,16,False
2010-09-01,28,1,3,34,19,False
2010-10-01,34,1,1,41,20,False
2010-11-01,26,1,1,37,24,False
2010-12-01,30,1,2,45,20,False
2011-01-01,29,1,1,39,16,False
2011-02-01,34,1,2,34,22,False
2011-03-01,31,1,20,34,26,False
2011-04-01,29,1,6,32,20,False
2011-05-01,28,1,9,28,18,False
2011-06-01,21,2,100,24,19,False
2011-07-01,25,1,36,34,16,False
2011-08-01,36,1,8,31,24,False
2011-09-01,26,1,5,27,20,False
2011-10-01,26,1,5,29,18,False
2011-11-01,29,1,6,39,16,False
2011-12-01,26,1,83,46,16,False
2012-01-01,31,1,7,34,15,False
2012-02-01,26,1,5,29,17,False
2012-03-01,31,1,5,25,31,False
2012-04-01,22,0,3,27,20,False
2012-05-01,26,1,3,25,23,False
2012-06-01,21,1,5,24,19,False
2012-07-01,21,1,5,27,13,False
2012-08-01,24,1,4,32,14,False
2012-09-01,26,1,3,34,15,False
2012-10-01,24,1,3,35,15,False
2012-11-01,28,1,2,40,15,False
2012-12-01,27,1,4,46,13,False
2013-01-01,27,0,3,34,14,False
2013-02-01,25,1,1,32,14,False
2013-03-01,22,1,3,32,13,False
2013-04-01,36,1,2,32,15,False
2013-05-01,26,1,1,30,12,False
2013-06-01,21,1,2,33,13,False
2013-07-01,24,1,1,31,14,False
2013-08-01,26,1,1,29,14,False
2013-09-01,26,1,2,33,17,False
2013-10-01,22,0,3,50,15,False
2013-11-01,24,1,2,60,14,False
2013-12-01,22,1,1,58,14,False
2014-01-01,24,1,2,43,13,False
2014-02-01,24,1,1,38,14,False
2014-03-01,18,1,2,36,16,False
2014-04-01,25,1,3,39,13,False
2014-05-01,18,1,1,42,14,False
2014-06-01,21,1,1,36,12,False
2014-07-01,24,0,2,37,15,False
2014-08-01,22,1,3,57,19,False
2014-09-01,20,1,1,38,20,False
2014-10-01,23,1,1,42,16,False
2014-11-01,21,1,1,46,15,False
2014-12-01,22,1,1,61,13,False
2015-01-01,22,0,1,45,12,False
2015-02-01,22,1,1,38,15,False
2015-03-01,25,1,0,37,21,False
2015-04-01,23,1,1,38,22,False
2015-05-01,20,1,1,35,58,False
2015-06-01,32,0,1,37,26,False
2015-07-01,19,0,1,36,29,False
2015-08-01,21,1,1,35,20,False
2015-09-01,23,0,1,38,17,False
2015-10-01,26,0,1,44,14,False
2015-11-01,23,0,1,47,13,False
2015-12-01,22,1,0,65,12,False
2016-01-01,21,1,1,35,14,False
2016-02-01,23,0,0,35,14,False
2016-03-01,22,1,1,37,15,False
2016-04-01,24,0,0,42,11,False
2016-05-01,21,1,1,37,19,False
2016-06-01,16,1,0,37,15,False
2016-07-01,18,0,1,38,16,False
2016-08-01,22,0,1,33,10,False
2016-09-01,19,1,1,38,15,False
2016-10-01,17,1,1,47,14,False
2016-11-01,18,0,1,42,19,False
2016-12-01,19,1,1,61,11,False
2017-01-01,23,1,0,39,10,False
2017-02-01,20,1,0,39,12,False
2017-03-01,20,1,1,39,10,False
2017-04-01,20,0,0,41,11,False
2017-05-01,20,1,1,47,14,False
2017-06-01,18,1,1,41,11,False
2017-07-01,19,0,1,36,11,False
2017-08-01,20,1,1,37,10,False
2017-09-01,18,1,1,38,10,False
2017-10-01,18,1,0,42,9,False
2017-11-01,34,1,1,45,8,False
2017-12-01,29,1,1,64,8,False
2018-01-01,19,1,0,40,11,False
2018-02-01,18,1,0,38,10,False
2018-03-01,19,1,0,39,8,False
2018-04-01,20,1,0,43,9,False
2018-05-01,15,0,0,38,10,False
2018-06-01,16,0,0,35,10,False
2018-07-01,18,0,1,39,9,False
2018-08-01,15,1,1,40,10,False
2018-09-01,17,0,0,39,11,False
2018-10-01,14,1,0,46,12,False
2018-11-01,16,1,0,51,10,False
2018-12-01,21,1,0,70,9,False
2019-01-01,23,1,0,42,9,False
2019-02-01,25,1,1,40,11,False
2019-03-01,16,1,0,41,9,False
2019-04-01,21,1,1,39,11,False
2019-05-01,20,0,1,35,9,False
2019-06-01,15,0,0,33,10,False
2019-07-01,13,0,0,37,14,False
2019-08-01,19,0,0,63,11,False
2019-09-01,17,1,0,39,10,False
2019-10-01,21,1,0,43,9,False
2019-11-01,19,1,0,52,9,False
2019-12-01,20,1,1,69,11,False
2020-01-01,19,0,1,44,16,False
2020-02-01,17,1,0,40,31,False
2020-03-01,15,1,1,38,12,False
2020-04-01,20,1,1,43,10,False
2020-05-01,17,1,0,41,8,False
2020-06-01,17,0,0,35,9,False
2020-07-01,31,0,0,32,20,False
2020-08-01,16,1,0,35,15,False
2020-09-01,24,0,0,35,11,False
2020-10-01,20,0,1,44,12,False
