date,Nadia Al-Sakkaf,Mikko Hypponen,Thandie Newton,Kevin Slavin,Iraola,isPartial
2010-07-01,0,0,35,0,4,False
2010-08-01,0,0,38,0,5,False
2010-09-01,0,0,29,0,6,False
2010-10-01,0,0,41,0,6,False
2010-11-01,0,0,42,0,8,False
2010-12-01,0,0,42,0,6,False
2011-01-01,0,0,43,0,5,False
2011-02-01,0,0,29,0,7,False
2011-03-01,0,0,30,0,8,False
2011-04-01,0,0,28,0,6,False
2011-05-01,0,0,29,0,6,False
2011-06-01,0,0,31,1,6,False
2011-07-01,0,2,47,4,5,False
2011-08-01,0,1,38,4,8,False
2011-09-01,0,1,30,2,6,False
2011-10-01,0,1,34,1,6,False
2011-11-01,0,0,34,1,5,False
2011-12-01,0,1,52,1,5,False
2012-01-01,0,1,48,1,5,False
2012-02-01,0,0,44,0,5,False
2012-03-01,0,0,36,1,10,False
2012-04-01,0,0,31,0,6,False
2012-05-01,0,1,30,1,7,False
2012-06-01,0,1,39,1,6,False
2012-07-01,0,0,36,0,4,False
2012-08-01,0,0,35,1,4,False
2012-09-01,0,0,27,1,5,False
2012-10-01,0,1,26,0,5,False
2012-11-01,0,0,25,1,5,False
2012-12-01,0,0,34,0,4,False
2013-01-01,0,0,27,1,4,False
2013-02-01,0,0,51,1,4,False
2013-03-01,0,0,37,0,4,False
2013-04-01,0,0,62,1,5,False
2013-05-01,0,0,44,0,4,False
2013-06-01,0,1,34,1,4,False
2013-07-01,0,0,30,1,4,False
2013-08-01,0,0,32,0,4,False
2013-09-01,0,0,36,1,5,False
2013-10-01,0,1,25,0,5,False
2013-11-01,0,2,26,0,4,False
2013-12-01,0,1,32,0,4,False
2014-01-01,0,1,36,0,4,False
2014-02-01,0,0,24,0,5,False
2014-03-01,0,1,30,0,5,False
2014-04-01,0,1,31,0,4,False
2014-05-01,0,0,37,0,4,False
2014-06-01,0,1,26,0,4,False
2014-07-01,0,0,29,0,5,False
2014-08-01,0,0,28,0,6,False
2014-09-01,0,1,24,0,6,False
2014-10-01,0,1,21,0,5,False
2014-11-01,0,0,23,0,5,False
2014-12-01,0,1,31,0,4,False
2015-01-01,0,1,27,0,4,False
2015-02-01,0,0,31,0,5,False
2015-03-01,0,0,25,0,7,False
2015-04-01,0,0,22,0,7,False
2015-05-01,0,0,28,0,18,False
2015-06-01,0,0,25,0,8,False
2015-07-01,0,1,33,0,9,False
2015-08-01,0,0,42,0,6,False
2015-09-01,0,0,23,0,5,False
2015-10-01,0,1,19,0,4,False
2015-11-01,0,0,20,0,4,False
2015-12-01,0,0,21,0,4,False
2016-01-01,0,0,29,0,4,False
2016-02-01,0,0,18,0,4,False
2016-03-01,0,0,19,0,5,False
2016-04-01,0,0,15,0,3,False
2016-05-01,0,0,16,0,6,False
2016-06-01,0,1,19,0,5,False
2016-07-01,0,0,30,0,5,False
2016-08-01,0,0,20,0,3,False
2016-09-01,0,0,19,0,5,False
2016-10-01,0,0,60,0,4,False
2016-11-01,0,0,98,0,6,False
2016-12-01,0,0,66,0,3,False
2017-01-01,0,0,47,0,3,False
2017-02-01,0,0,37,0,4,False
2017-03-01,0,0,39,0,3,False
2017-04-01,0,0,54,0,3,False
2017-05-01,0,0,32,0,4,False
2017-06-01,0,0,23,0,3,False
2017-07-01,0,0,27,0,4,False
2017-08-01,0,0,24,0,3,False
2017-09-01,0,0,25,0,3,False
2017-10-01,0,0,19,0,3,False
2017-11-01,0,0,26,0,3,False
2017-12-01,0,0,21,0,3,False
2018-01-01,0,0,22,0,3,False
2018-02-01,0,0,25,0,3,False
2018-03-01,0,0,25,0,2,False
2018-04-01,0,0,52,0,3,False
2018-05-01,0,0,87,0,3,False
2018-06-01,0,0,59,0,3,False
2018-07-01,0,0,46,0,3,False
2018-08-01,0,0,31,0,3,False
2018-09-01,0,0,60,0,3,False
2018-10-01,0,0,22,0,4,False
2018-11-01,0,0,22,0,3,False
2018-12-01,0,0,25,0,3,False
2019-01-01,0,0,28,0,3,False
2019-02-01,0,0,21,0,3,False
2019-03-01,0,0,35,0,3,False
2019-04-01,0,0,33,0,3,False
2019-05-01,0,0,28,0,3,False
2019-06-01,0,0,21,0,3,False
2019-07-01,0,0,21,0,4,False
2019-08-01,0,0,20,0,4,False
2019-09-01,0,0,16,0,3,False
2019-10-01,0,0,21,0,3,False
2019-11-01,0,0,17,0,3,False
2019-12-01,0,0,18,0,3,False
2020-01-01,0,0,19,0,5,False
2020-02-01,0,0,19,0,10,False
2020-03-01,0,0,51,0,4,False
2020-04-01,0,0,46,0,3,False
2020-05-01,0,0,46,0,2,False
2020-06-01,0,0,28,0,3,False
2020-07-01,0,0,91,0,6,False
2020-08-01,0,0,31,0,5,False
2020-09-01,0,0,22,0,4,False
2020-10-01,0,0,17,0,4,False
