date,Shereen El-Feki,Reggie Watts,David MacKay,Ken Goldberg,Iraola,isPartial
2017-04-01,0,28,4,1,8,False
2017-05-01,0,20,4,1,10,False
2017-06-01,0,25,3,1,8,False
2017-07-01,0,20,4,1,9,False
2017-08-01,0,17,3,1,8,False
2017-09-01,0,31,4,1,8,False
2017-10-01,0,27,3,1,7,False
2017-11-01,0,20,3,1,6,False
2017-12-01,0,20,3,1,6,False
2018-01-01,0,19,3,1,8,False
2018-02-01,0,18,3,1,7,False
2018-03-01,0,17,3,1,6,False
2018-04-01,0,21,3,1,7,False
2018-05-01,0,24,2,1,7,False
2018-06-01,0,21,3,1,7,False
2018-07-01,0,15,2,1,7,False
2018-08-01,0,14,3,1,8,False
2018-09-01,0,13,3,1,8,False
2018-10-01,0,12,3,1,9,False
2018-11-01,0,13,3,1,7,False
2018-12-01,0,13,3,1,7,False
2019-01-01,0,13,3,1,7,False
2019-02-01,0,13,3,1,8,False
2019-03-01,0,11,3,1,7,False
2019-04-01,0,8,2,1,8,False
2019-05-01,0,11,3,1,7,False
2019-06-01,0,24,4,1,7,False
2019-07-01,0,49,3,1,10,False
2019-08-01,0,15,2,0,9,False
2019-09-01,0,11,3,1,8,False
2019-10-01,0,9,2,1,7,False
2019-11-01,0,12,3,1,7,False
2019-12-01,0,11,2,1,8,False
2020-01-01,0,10,3,1,12,False
2020-02-01,0,12,4,1,23,False
2020-03-01,0,10,3,1,9,False
2020-04-01,0,10,2,1,7,False
2020-05-01,0,14,3,1,6,False
2020-06-01,0,68,2,0,7,False
2020-07-01,0,10,3,1,15,False
2020-08-01,0,10,3,1,12,False
2020-09-01,0,10,3,1,8,False
2020-10-01,0,12,2,1,9,False
