date,Sheila Nirenberg,Daniel Goldstein,Karen Tse,Alberto Cairo,Iraola,isPartial
2010-11-01,2,4,4,4,42,False
2010-12-01,1,3,1,2,34,False
2011-01-01,1,3,2,1,28,False
2011-02-01,2,5,0,3,38,False
2011-03-01,1,3,1,2,46,False
2011-04-01,0,5,2,2,34,False
2011-05-01,1,5,1,2,31,False
2011-06-01,1,7,2,1,33,False
2011-07-01,0,5,1,2,28,False
2011-08-01,0,6,1,2,42,False
2011-09-01,1,5,1,3,34,False
2011-10-01,0,4,2,1,32,False
2011-11-01,1,4,2,4,28,False
2011-12-01,4,8,3,4,27,False
2012-01-01,1,8,2,5,25,False
2012-02-01,1,4,2,2,30,False
2012-03-01,3,6,1,3,54,False
2012-04-01,2,4,1,3,34,False
2012-05-01,0,4,1,1,41,False
2012-06-01,1,5,2,1,32,False
2012-07-01,1,5,2,2,23,False
2012-08-01,4,5,1,2,24,False
2012-09-01,1,8,1,2,26,False
2012-10-01,1,7,1,3,25,False
2012-11-01,1,4,2,2,27,False
2012-12-01,0,3,1,2,23,False
2013-01-01,2,4,1,2,24,False
2013-02-01,1,4,1,3,25,False
2013-03-01,1,6,1,2,23,False
2013-04-01,1,5,0,3,25,False
2013-05-01,1,4,2,4,21,False
2013-06-01,1,4,2,2,23,False
2013-07-01,1,3,1,3,23,False
2013-08-01,1,8,1,2,24,False
2013-09-01,2,4,1,3,30,False
2013-10-01,2,4,1,5,26,False
2013-11-01,2,5,1,2,24,False
2013-12-01,1,3,1,2,25,False
2014-01-01,1,4,1,2,22,False
2014-02-01,0,4,1,3,25,False
2014-03-01,1,4,1,2,28,False
2014-04-01,2,3,1,4,22,False
2014-05-01,1,7,0,4,25,False
2014-06-01,1,4,1,3,21,False
2014-07-01,1,3,0,2,26,False
2014-08-01,1,5,1,2,34,False
2014-09-01,1,4,1,2,35,False
2014-10-01,1,5,1,3,27,False
2014-11-01,1,5,1,3,26,False
2014-12-01,1,5,1,3,22,False
2015-01-01,1,4,1,2,21,False
2015-02-01,1,4,1,3,26,False
2015-03-01,0,4,1,3,37,False
2015-04-01,2,3,1,2,38,False
2015-05-01,1,4,0,2,100,False
2015-06-01,1,4,1,3,44,False
2015-07-01,1,3,1,1,50,False
2015-08-01,1,5,1,2,34,False
2015-09-01,0,5,1,3,30,False
2015-10-01,0,4,1,2,24,False
2015-11-01,1,3,1,4,23,False
2015-12-01,0,3,0,2,20,False
2016-01-01,0,3,1,1,24,False
2016-02-01,1,5,1,2,23,False
2016-03-01,0,5,0,2,26,False
2016-04-01,1,3,0,2,18,False
2016-05-01,0,4,0,3,32,False
2016-06-01,1,4,1,3,26,False
2016-07-01,1,3,1,3,28,False
2016-08-01,1,4,1,2,18,False
2016-09-01,1,3,1,2,25,False
2016-10-01,1,5,1,2,24,False
2016-11-01,0,4,0,2,33,False
2016-12-01,1,30,0,2,19,False
2017-01-01,1,8,0,3,18,False
2017-02-01,2,4,1,2,21,False
2017-03-01,0,5,1,2,18,False
2017-04-01,0,3,1,2,19,False
2017-05-01,0,3,1,3,24,False
2017-06-01,1,4,1,2,19,False
2017-07-01,0,4,1,2,20,False
2017-08-01,0,4,0,2,18,False
2017-09-01,0,3,0,2,18,False
2017-10-01,0,5,1,3,16,False
2017-11-01,0,3,1,3,14,False
2017-12-01,1,3,0,2,14,False
2018-01-01,0,4,1,2,19,False
2018-02-01,0,4,1,2,17,False
2018-03-01,1,4,0,3,14,False
2018-04-01,0,3,1,3,16,False
2018-05-01,0,4,0,2,17,False
2018-06-01,0,4,1,2,17,False
2018-07-01,0,3,0,2,16,False
2018-08-01,0,4,1,1,17,False
2018-09-01,0,4,1,3,18,False
2018-10-01,0,4,1,3,20,False
2018-11-01,0,4,1,3,17,False
2018-12-01,0,4,0,1,16,False
2019-01-01,0,3,0,3,16,False
2019-02-01,0,3,0,2,19,False
2019-03-01,0,3,1,1,15,False
2019-04-01,1,4,1,2,19,False
2019-05-01,0,5,1,2,16,False
2019-06-01,0,2,0,2,17,False
2019-07-01,0,3,1,2,24,False
2019-08-01,0,4,1,2,20,False
2019-09-01,0,3,1,2,17,False
2019-10-01,0,3,1,3,16,False
2019-11-01,0,4,1,2,16,False
2019-12-01,0,3,0,2,19,False
2020-01-01,0,4,1,2,28,False
2020-02-01,0,2,1,4,54,False
2020-03-01,0,3,0,1,21,False
2020-04-01,0,3,1,2,17,False
2020-05-01,0,3,1,2,14,False
2020-06-01,0,3,0,2,16,False
2020-07-01,0,3,1,2,34,False
2020-08-01,0,4,1,2,27,False
2020-09-01,0,3,0,1,19,False
2020-10-01,0,3,0,1,21,False
