date,Francis Collins,Mark Shaw,Richard Turere,Colin Camerer,Iraola,isPartial
2011-02-01,31,20,0,2,34,False
2011-03-01,34,18,0,1,41,False
2011-04-01,28,22,0,1,31,False
2011-05-01,25,21,0,3,28,False
2011-06-01,23,20,0,1,29,False
2011-07-01,19,18,0,1,25,False
2011-08-01,28,19,0,1,38,False
2011-09-01,25,18,0,2,31,False
2011-10-01,24,20,0,1,29,False
2011-11-01,23,14,0,2,26,False
2011-12-01,23,22,0,2,24,False
2012-01-01,28,23,0,1,23,False
2012-02-01,25,17,0,1,27,False
2012-03-01,24,19,0,1,49,False
2012-04-01,26,20,0,1,31,False
2012-05-01,34,18,1,1,37,False
2012-06-01,18,22,1,0,29,False
2012-07-01,20,21,0,1,21,False
2012-08-01,24,19,0,2,21,False
2012-09-01,28,20,0,1,24,False
2012-10-01,22,21,1,2,23,False
2012-11-01,23,20,2,2,24,False
2012-12-01,23,17,1,1,21,False
2013-01-01,20,22,1,1,21,False
2013-02-01,37,18,6,1,22,False
2013-03-01,30,19,4,1,21,False
2013-04-01,40,16,3,1,23,False
2013-05-01,23,21,1,1,19,False
2013-06-01,24,20,3,1,21,False
2013-07-01,24,18,2,1,21,False
2013-08-01,19,20,1,1,22,False
2013-09-01,22,19,1,4,27,False
2013-10-01,21,19,2,1,23,False
2013-11-01,25,22,2,3,22,False
2013-12-01,20,21,1,1,22,False
2014-01-01,19,24,1,1,20,False
2014-02-01,26,20,2,2,23,False
2014-03-01,21,21,1,1,26,False
2014-04-01,22,23,1,1,20,False
2014-05-01,20,22,0,2,22,False
2014-06-01,21,22,2,1,19,False
2014-07-01,15,19,1,1,23,False
2014-08-01,17,30,2,1,30,False
2014-09-01,22,19,2,1,32,False
2014-10-01,26,42,2,1,25,False
2014-11-01,16,24,1,0,23,False
2014-12-01,21,20,1,1,20,False
2015-01-01,21,21,1,1,19,False
2015-02-01,22,19,1,1,24,False
2015-03-01,24,22,1,1,33,False
2015-04-01,23,20,2,1,34,False
2015-05-01,19,19,1,0,90,False
2015-06-01,16,20,1,1,40,False
2015-07-01,17,16,2,1,45,False
2015-08-01,18,17,1,1,31,False
2015-09-01,23,17,1,0,27,False
2015-10-01,19,19,1,1,22,False
2015-11-01,21,19,1,1,21,False
2015-12-01,18,25,1,1,18,False
2016-01-01,18,24,1,0,22,False
2016-02-01,17,22,1,1,21,False
2016-03-01,17,18,2,1,23,False
2016-04-01,17,18,1,1,17,False
2016-05-01,16,19,2,1,29,False
2016-06-01,18,16,1,1,23,False
2016-07-01,12,15,1,0,25,False
2016-08-01,13,16,2,1,16,False
2016-09-01,17,16,1,1,23,False
2016-10-01,14,15,2,1,22,False
2016-11-01,14,13,2,1,30,False
2016-12-01,15,22,1,1,17,False
2017-01-01,20,16,1,1,16,False
2017-02-01,19,21,2,1,19,False
2017-03-01,19,18,1,1,16,False
2017-04-01,16,18,1,1,17,False
2017-05-01,21,19,1,1,21,False
2017-06-01,20,15,1,1,17,False
2017-07-01,13,18,1,0,18,False
2017-08-01,13,20,1,1,16,False
2017-09-01,13,14,1,1,16,False
2017-10-01,16,18,2,2,14,False
2017-11-01,15,18,2,1,13,False
2017-12-01,13,17,1,1,13,False
2018-01-01,19,17,1,1,17,False
2018-02-01,17,14,1,1,15,False
2018-03-01,18,13,1,0,12,False
2018-04-01,16,17,1,1,15,False
2018-05-01,14,13,1,1,15,False
2018-06-01,16,13,1,1,16,False
2018-07-01,15,13,2,1,14,False
2018-08-01,19,17,1,0,16,False
2018-09-01,16,15,1,1,16,False
2018-10-01,15,16,1,1,18,False
2018-11-01,17,16,1,1,15,False
2018-12-01,13,13,0,1,14,False
2019-01-01,24,16,1,1,14,False
2019-02-01,16,14,1,1,17,False
2019-03-01,21,16,1,1,14,False
2019-04-01,22,13,2,1,17,False
2019-05-01,14,14,1,0,14,False
2019-06-01,18,14,0,0,15,False
2019-07-01,19,14,1,0,22,False
2019-08-01,14,18,1,1,18,False
2019-09-01,15,16,1,1,16,False
2019-10-01,14,15,0,1,15,False
2019-11-01,18,18,1,0,15,False
2019-12-01,14,15,1,1,17,False
2020-01-01,15,14,2,0,26,False
2020-02-01,28,17,1,0,48,False
2020-03-01,23,13,1,1,19,False
2020-04-01,26,14,2,0,15,False
2020-05-01,30,20,1,0,12,False
2020-06-01,21,19,1,1,14,False
2020-07-01,41,14,1,1,31,False
2020-08-01,23,9,1,0,24,False
2020-09-01,22,14,1,1,17,False
2020-10-01,21,15,1,1,19,False
