date,Elliot Krane,Terry Moore,Improv Everywhere,Aaron Koblin,Iraola,isPartial
2008-10-01,0,15,25,2,13,False
2008-11-01,0,11,29,1,14,False
2008-12-01,0,12,20,1,11,False
2009-01-01,0,16,46,1,11,False
2009-02-01,0,18,39,1,17,False
2009-03-01,0,16,23,2,12,False
2009-04-01,0,16,42,1,15,False
2009-05-01,1,14,32,1,18,False
2009-06-01,0,16,50,1,11,False
2009-07-01,1,19,31,2,10,False
2009-08-01,1,17,33,1,14,False
2009-09-01,0,14,31,2,18,False
2009-10-01,0,13,48,1,10,False
2009-11-01,0,10,43,2,15,False
2009-12-01,0,15,67,2,11,False
2010-01-01,1,15,72,2,15,False
2010-02-01,0,15,27,0,7,False
2010-03-01,0,14,26,3,10,False
2010-04-01,0,15,43,2,13,False
2010-05-01,0,14,46,2,9,False
2010-06-01,0,18,29,1,12,False
2010-07-01,0,14,67,2,9,False
2010-08-01,0,16,35,2,11,False
2010-09-01,0,12,36,2,12,False
2010-10-01,0,12,48,2,13,False
2010-11-01,0,10,39,2,16,False
2010-12-01,0,8,37,1,16,False
2011-01-01,0,12,37,1,10,False
2011-02-01,0,14,26,3,17,False
2011-03-01,0,15,24,1,19,False
2011-04-01,0,11,26,2,13,False
2011-05-01,1,15,19,5,14,False
2011-06-01,0,14,28,5,15,False
2011-07-01,0,13,30,2,11,False
2011-08-01,0,15,25,2,15,False
2011-09-01,0,13,22,1,16,False
2011-10-01,0,10,18,1,14,False
2011-11-01,0,11,32,2,11,False
2011-12-01,0,11,30,1,11,False
2012-01-01,1,12,40,1,11,False
2012-02-01,0,12,19,3,13,False
2012-03-01,0,11,22,2,22,False
2012-04-01,0,14,26,2,15,False
2012-05-01,0,10,17,1,16,False
2012-06-01,1,15,14,2,13,False
2012-07-01,0,14,18,2,10,False
2012-08-01,0,12,13,1,9,False
2012-09-01,0,13,13,1,10,False
2012-10-01,0,11,14,2,11,False
2012-11-01,0,12,14,1,10,False
2012-12-01,0,13,12,1,10,False
2013-01-01,1,14,21,1,10,False
2013-02-01,0,11,10,1,11,False
2013-03-01,0,9,19,1,10,False
2013-04-01,0,10,15,1,10,False
2013-05-01,0,13,11,1,7,False
2013-06-01,0,10,8,1,10,False
2013-07-01,0,10,16,1,9,False
2013-08-01,0,11,7,1,9,False
2013-09-01,0,12,10,1,12,False
2013-10-01,0,10,12,2,10,False
2013-11-01,0,12,22,1,10,False
2013-12-01,0,10,13,1,11,False
2014-01-01,0,10,15,1,9,False
2014-02-01,0,9,9,2,10,False
2014-03-01,0,7,6,1,12,False
2014-04-01,0,9,8,1,9,False
2014-05-01,0,9,7,1,11,False
2014-06-01,0,9,5,1,8,False
2014-07-01,0,10,12,1,11,False
2014-08-01,0,9,7,1,14,False
2014-09-01,0,12,7,0,15,False
2014-10-01,0,8,5,1,12,False
2014-11-01,0,8,6,2,13,False
2014-12-01,0,10,6,1,10,False
2015-01-01,0,10,7,1,10,False
2015-02-01,0,9,4,1,11,False
2015-03-01,0,10,4,1,16,False
2015-04-01,0,10,5,1,17,False
2015-05-01,0,9,4,1,43,False
2015-06-01,0,12,4,0,17,False
2015-07-01,0,10,3,1,20,False
2015-08-01,0,9,4,1,16,False
2015-09-01,0,9,3,1,12,False
2015-10-01,0,9,3,1,10,False
2015-11-01,0,9,2,0,10,False
2015-12-01,0,9,3,1,8,False
2016-01-01,0,12,5,1,9,False
2016-02-01,0,8,2,1,10,False
2016-03-01,0,10,4,1,11,False
2016-04-01,0,10,3,0,8,False
2016-05-01,0,9,3,0,13,False
2016-06-01,0,9,6,1,11,False
2016-07-01,0,7,3,0,12,False
2016-08-01,0,9,2,1,7,False
2016-09-01,0,8,3,1,10,False
2016-10-01,0,8,2,1,11,False
2016-11-01,0,7,2,1,14,False
2016-12-01,0,9,2,0,7,False
2017-01-01,0,9,2,1,8,False
2017-02-01,1,9,1,1,9,False
2017-03-01,0,8,1,1,7,False
2017-04-01,0,8,2,0,8,False
2017-05-01,0,9,2,1,10,False
2017-06-01,0,8,1,0,8,False
2017-07-01,0,9,1,1,8,False
2017-08-01,0,7,1,0,8,False
2017-09-01,0,7,2,0,7,False
2017-10-01,0,7,2,0,7,False
2017-11-01,0,10,2,0,6,False
2017-12-01,0,8,2,0,6,False
2018-01-01,0,8,1,0,8,False
2018-02-01,0,6,1,0,7,False
2018-03-01,0,8,1,0,5,False
2018-04-01,1,7,1,0,7,False
2018-05-01,0,7,1,0,8,False
2018-06-01,0,7,2,0,8,False
2018-07-01,0,8,1,0,6,False
2018-08-01,0,7,1,0,7,False
2018-09-01,0,7,1,1,8,False
2018-10-01,1,7,1,1,9,False
2018-11-01,0,9,1,0,7,False
2018-12-01,0,10,1,0,6,False
2019-01-01,0,7,1,0,6,False
2019-02-01,0,6,1,0,8,False
2019-03-01,1,8,1,0,7,False
2019-04-01,0,7,1,0,8,False
2019-05-01,0,7,1,0,6,False
2019-06-01,0,5,1,0,8,False
2019-07-01,0,7,1,0,10,False
2019-08-01,0,7,1,0,8,False
2019-09-01,0,7,1,0,7,False
2019-10-01,0,7,1,0,7,False
2019-11-01,0,6,1,0,8,False
2019-12-01,0,7,0,0,8,False
2020-01-01,0,11,1,0,12,False
2020-02-01,0,15,0,0,22,False
2020-03-01,0,6,1,0,9,False
2020-04-01,0,8,0,0,7,False
2020-05-01,0,9,0,0,5,False
2020-06-01,0,10,0,0,7,False
2020-07-01,0,7,1,0,15,False
2020-08-01,0,8,0,0,11,False
2020-09-01,0,10,1,0,8,False
2020-10-01,0,8,0,0,9,False
