date,Dennis vanEngelsdorp,Jay Walker,Benjamin Wallace,Penelope Boston,Iraola,isPartial
2014-04-01,0,23,3,1,22,False
2014-05-01,1,19,3,1,25,False
2014-06-01,0,21,2,1,21,False
2014-07-01,1,19,3,1,26,False
2014-08-01,1,18,4,1,34,False
2014-09-01,1,15,6,1,35,False
2014-10-01,1,19,6,1,27,False
2014-11-01,1,19,5,1,26,False
2014-12-01,1,18,5,1,22,False
2015-01-01,0,18,1,1,21,False
2015-02-01,1,19,3,1,26,False
2015-03-01,0,17,2,1,37,False
2015-04-01,1,27,4,1,38,False
2015-05-01,1,20,4,0,100,False
2015-06-01,0,21,3,2,44,False
2015-07-01,0,19,3,0,50,False
2015-08-01,1,29,3,0,34,False
2015-09-01,0,26,5,1,30,False
2015-10-01,0,23,4,1,24,False
2015-11-01,0,19,4,1,23,False
2015-12-01,1,27,3,1,20,False
2016-01-01,0,24,3,1,24,False
2016-02-01,0,20,4,1,23,False
2016-03-01,0,20,4,1,26,False
2016-04-01,0,19,2,1,18,False
2016-05-01,0,19,3,1,32,False
2016-06-01,0,22,3,1,26,False
2016-07-01,0,22,3,1,28,False
2016-08-01,1,16,3,1,18,False
2016-09-01,0,20,6,1,25,False
2016-10-01,0,19,6,0,24,False
2016-11-01,0,20,4,1,33,False
2016-12-01,0,27,2,1,19,False
2017-01-01,0,22,3,1,18,False
2017-02-01,0,20,3,3,21,False
2017-03-01,0,18,2,1,18,False
2017-04-01,1,28,3,0,19,False
2017-05-01,1,21,2,0,24,False
2017-06-01,0,21,2,1,19,False
2017-07-01,0,22,3,1,20,False
2017-08-01,0,22,3,1,18,False
2017-09-01,1,22,3,1,18,False
2017-10-01,0,18,4,1,16,False
2017-11-01,0,19,3,1,14,False
2017-12-01,0,20,3,1,14,False
2018-01-01,0,16,3,1,19,False
2018-02-01,0,15,3,1,17,False
2018-03-01,0,16,3,1,14,False
2018-04-01,0,16,3,2,16,False
2018-05-01,0,17,3,1,17,False
2018-06-01,0,15,2,1,17,False
2018-07-01,0,15,2,1,16,False
2018-08-01,0,18,2,1,17,False
2018-09-01,0,16,2,2,18,False
2018-10-01,0,15,2,1,20,False
2018-11-01,0,16,3,1,17,False
2018-12-01,0,15,2,1,16,False
2019-01-01,0,12,2,1,16,False
2019-02-01,0,14,2,1,19,False
2019-03-01,0,14,2,0,15,False
2019-04-01,0,14,1,1,19,False
2019-05-01,0,16,3,0,16,False
2019-06-01,0,15,2,1,17,False
2019-07-01,0,11,3,1,24,False
2019-08-01,0,14,2,1,20,False
2019-09-01,0,13,2,0,17,False
2019-10-01,0,15,3,1,16,False
2019-11-01,0,14,2,1,16,False
2019-12-01,0,14,2,1,19,False
2020-01-01,0,14,3,0,28,False
2020-02-01,0,13,3,1,54,False
2020-03-01,0,16,3,1,21,False
2020-04-01,0,17,2,1,17,False
2020-05-01,0,16,3,1,14,False
2020-06-01,0,16,2,1,16,False
2020-07-01,0,14,3,1,34,False
2020-08-01,0,16,2,0,27,False
2020-09-01,1,13,2,1,19,False
2020-10-01,0,13,2,1,21,False
