date,Olivier Scalabre,Timothy Ihrig,Vanessa Ruiz,Christopher Bell,Iraola,isPartial
2012-11-01,1,0,6,16,27,False
2012-12-01,0,0,6,17,23,False
2013-01-01,0,0,7,22,24,False
2013-02-01,0,0,8,20,25,False
2013-03-01,0,0,5,17,23,False
2013-04-01,0,0,8,15,25,False
2013-05-01,0,0,6,16,21,False
2013-06-01,0,0,7,14,23,False
2013-07-01,0,0,6,13,23,False
2013-08-01,0,0,7,16,24,False
2013-09-01,0,0,8,19,30,False
2013-10-01,0,1,7,17,26,False
2013-11-01,0,1,7,14,24,False
2013-12-01,0,0,7,17,25,False
2014-01-01,0,0,10,17,22,False
2014-02-01,0,0,6,15,25,False
2014-03-01,0,0,8,15,28,False
2014-04-01,0,0,6,21,22,False
2014-05-01,1,0,7,16,25,False
2014-06-01,0,0,8,12,21,False
2014-07-01,1,0,7,13,26,False
2014-08-01,0,0,5,14,34,False
2014-09-01,0,0,5,18,35,False
2014-10-01,0,0,8,22,27,False
2014-11-01,0,0,6,16,26,False
2014-12-01,0,0,7,17,22,False
2015-01-01,0,0,9,20,21,False
2015-02-01,0,0,6,14,26,False
2015-03-01,0,0,5,13,37,False
2015-04-01,0,0,7,14,38,False
2015-05-01,0,0,10,15,100,False
2015-06-01,0,0,9,14,44,False
2015-07-01,0,0,8,19,50,False
2015-08-01,0,0,14,15,34,False
2015-09-01,0,0,57,20,30,False
2015-10-01,0,0,7,21,24,False
2015-11-01,0,0,7,15,23,False
2015-12-01,0,0,9,14,20,False
2016-01-01,0,0,10,14,24,False
2016-02-01,0,0,8,29,23,False
2016-03-01,0,0,8,15,26,False
2016-04-01,0,0,8,15,18,False
2016-05-01,0,0,5,16,32,False
2016-06-01,0,0,7,15,26,False
2016-07-01,0,0,7,13,28,False
2016-08-01,1,1,8,13,18,False
2016-09-01,2,1,11,21,25,False
2016-10-01,1,1,5,20,24,False
2016-11-01,1,0,5,16,33,False
2016-12-01,1,0,5,13,19,False
2017-01-01,1,0,5,16,18,False
2017-02-01,0,0,9,16,21,False
2017-03-01,1,0,7,17,18,False
2017-04-01,1,0,8,16,19,False
2017-05-01,0,0,14,17,24,False
2017-06-01,0,0,10,15,19,False
2017-07-01,0,0,10,21,20,False
2017-08-01,1,0,7,14,18,False
2017-09-01,0,0,6,16,18,False
2017-10-01,0,0,7,23,16,False
2017-11-01,0,0,6,24,14,False
2017-12-01,0,0,4,16,14,False
2018-01-01,0,0,4,20,19,False
2018-02-01,0,0,4,19,17,False
2018-03-01,0,0,4,19,14,False
2018-04-01,0,0,4,17,16,False
2018-05-01,0,0,4,15,17,False
2018-06-01,0,0,4,18,17,False
2018-07-01,1,0,4,26,16,False
2018-08-01,0,0,4,21,17,False
2018-09-01,0,0,4,23,18,False
2018-10-01,0,0,4,20,20,False
2018-11-01,0,1,4,23,17,False
2018-12-01,0,0,4,15,16,False
2019-01-01,0,0,5,22,16,False
2019-02-01,1,0,18,25,19,False
2019-03-01,0,0,4,18,15,False
2019-04-01,0,0,4,19,19,False
2019-05-01,0,0,5,22,16,False
2019-06-01,0,0,4,18,17,False
2019-07-01,0,0,3,22,24,False
2019-08-01,0,0,5,21,20,False
2019-09-01,0,0,5,29,17,False
2019-10-01,0,0,7,19,16,False
2019-11-01,0,0,6,23,16,False
2019-12-01,0,0,4,20,19,False
2020-01-01,0,0,5,21,28,False
2020-02-01,0,0,4,39,54,False
2020-03-01,1,0,4,15,21,False
2020-04-01,0,0,5,11,17,False
2020-05-01,0,0,4,21,14,False
2020-06-01,0,0,4,20,16,False
2020-07-01,0,0,5,18,34,False
2020-08-01,0,0,5,24,27,False
2020-09-01,0,0,5,16,19,False
2020-10-01,0,0,3,15,21,False
