date,Daniel Wolpert,Paul Lewis,Sandra Fisher-Martins,Martin Hanczyc,Iraola,isPartial
2010-03-01,2,69,0,1,16,False
2010-04-01,1,60,0,1,17,False
2010-05-01,2,66,0,1,15,False
2010-06-01,1,57,0,0,18,False
2010-07-01,2,72,0,0,13,False
2010-08-01,1,66,0,0,17,False
2010-09-01,1,58,0,0,20,False
2010-10-01,1,67,1,0,22,False
2010-11-01,0,66,0,0,26,False
2010-12-01,1,70,0,1,22,False
2011-01-01,1,71,0,0,18,False
2011-02-01,1,64,0,1,24,False
2011-03-01,1,57,1,0,29,False
2011-04-01,1,63,0,0,21,False
2011-05-01,0,65,0,0,20,False
2011-06-01,1,71,0,1,21,False
2011-07-01,1,60,0,1,17,False
2011-08-01,0,69,0,1,27,False
2011-09-01,1,60,0,1,21,False
2011-10-01,1,57,1,0,20,False
2011-11-01,4,67,1,3,18,False
2011-12-01,1,78,1,1,17,False
2012-01-01,2,67,0,1,16,False
2012-02-01,1,61,1,1,19,False
2012-03-01,1,62,0,0,34,False
2012-04-01,1,57,0,1,21,False
2012-05-01,1,55,0,0,26,False
2012-06-01,1,46,0,1,20,False
2012-07-01,1,53,0,0,14,False
2012-08-01,1,67,0,0,15,False
2012-09-01,1,80,0,1,16,False
2012-10-01,1,59,0,1,16,False
2012-11-01,1,66,0,1,17,False
2012-12-01,1,77,0,0,15,False
2013-01-01,1,75,0,0,15,False
2013-02-01,1,73,0,0,16,False
2013-03-01,1,66,0,0,15,False
2013-04-01,1,56,0,0,16,False
2013-05-01,0,55,0,0,13,False
2013-06-01,0,52,0,0,15,False
2013-07-01,1,49,0,1,15,False
2013-08-01,0,51,0,0,15,False
2013-09-01,1,52,0,1,19,False
2013-10-01,1,61,0,1,16,False
2013-11-01,1,62,0,1,15,False
2013-12-01,1,98,0,1,16,False
2014-01-01,1,60,0,0,14,False
2014-02-01,1,52,0,0,16,False
2014-03-01,1,55,0,1,18,False
2014-04-01,1,51,0,0,14,False
2014-05-01,1,51,0,0,16,False
2014-06-01,0,50,0,1,13,False
2014-07-01,1,44,0,0,16,False
2014-08-01,1,48,0,0,21,False
2014-09-01,1,43,0,0,22,False
2014-10-01,1,52,0,1,17,False
2014-11-01,0,55,0,0,16,False
2014-12-01,1,54,0,0,14,False
2015-01-01,1,45,0,0,13,False
2015-02-01,1,46,0,0,17,False
2015-03-01,1,46,0,0,23,False
2015-04-01,1,47,0,0,24,False
2015-05-01,0,43,0,0,63,False
2015-06-01,0,45,0,0,28,False
2015-07-01,1,40,0,0,32,False
2015-08-01,1,43,0,1,22,False
2015-09-01,1,48,0,1,19,False
2015-10-01,1,45,0,0,15,False
2015-11-01,1,52,0,0,14,False
2015-12-01,1,48,0,0,13,False
2016-01-01,1,52,0,0,15,False
2016-02-01,1,47,0,0,15,False
2016-03-01,0,41,0,0,16,False
2016-04-01,1,44,0,0,12,False
2016-05-01,1,38,0,0,20,False
2016-06-01,0,43,0,0,16,False
2016-07-01,1,37,0,0,17,False
2016-08-01,1,38,0,0,11,False
2016-09-01,0,43,0,1,16,False
2016-10-01,1,58,0,0,15,False
2016-11-01,0,46,0,0,21,False
2016-12-01,0,43,0,1,12,False
2017-01-01,0,48,0,0,11,False
2017-02-01,1,44,0,1,13,False
2017-03-01,1,42,0,0,11,False
2017-04-01,1,41,0,0,12,False
2017-05-01,1,38,0,0,15,False
2017-06-01,1,37,0,0,12,False
2017-07-01,0,37,0,0,13,False
2017-08-01,0,41,0,0,11,False
2017-09-01,0,42,0,0,11,False
2017-10-01,1,42,0,0,10,False
2017-11-01,0,47,0,0,9,False
2017-12-01,0,47,0,0,9,False
2018-01-01,0,49,0,0,12,False
2018-02-01,1,55,0,0,11,False
2018-03-01,0,34,0,0,9,False
2018-04-01,0,37,0,0,10,False
2018-05-01,1,31,0,0,11,False
2018-06-01,1,39,0,0,11,False
2018-07-01,1,38,0,1,10,False
2018-08-01,0,38,0,0,11,False
2018-09-01,1,37,0,0,12,False
2018-10-01,0,40,0,0,13,False
2018-11-01,1,42,0,0,11,False
2018-12-01,0,42,0,0,10,False
2019-01-01,1,36,0,0,10,False
2019-02-01,1,33,0,0,12,False
2019-03-01,1,35,0,0,10,False
2019-04-01,1,31,0,0,12,False
2019-05-01,0,31,0,0,10,False
2019-06-01,0,35,0,1,11,False
2019-07-01,0,35,0,0,15,False
2019-08-01,1,31,0,0,12,False
2019-09-01,1,36,0,0,11,False
2019-10-01,1,36,0,0,10,False
2019-11-01,0,49,0,0,10,False
2019-12-01,0,46,0,0,12,False
2020-01-01,0,35,0,0,18,False
2020-02-01,0,37,0,0,34,False
2020-03-01,0,32,0,0,13,False
2020-04-01,1,37,0,0,11,False
2020-05-01,0,39,0,0,9,False
2020-06-01,0,38,0,0,10,False
2020-07-01,0,40,0,0,21,False
2020-08-01,1,37,0,0,17,False
2020-09-01,0,34,0,0,12,False
2020-10-01,1,36,0,0,13,False
