date,Danielle Feinberg,Tabetha Boyajian,Robert Palmer,Linus Torvalds,Iraola,isPartial
2012-07-01,0,0,37,15,5,False
2012-08-01,0,0,38,15,5,False
2012-09-01,0,0,41,15,6,False
2012-10-01,0,0,37,18,5,False
2012-11-01,0,0,33,15,6,False
2012-12-01,0,0,34,15,5,False
2013-01-01,0,0,33,15,5,False
2013-02-01,0,0,36,14,5,False
2013-03-01,0,0,33,15,5,False
2013-04-01,0,0,32,16,5,False
2013-05-01,0,0,32,13,4,False
2013-06-01,0,0,36,12,5,False
2013-07-01,0,0,36,14,5,False
2013-08-01,0,0,38,13,5,False
2013-09-01,0,0,38,17,6,False
2013-10-01,0,0,36,13,6,False
2013-11-01,0,0,44,15,5,False
2013-12-01,0,0,33,12,5,False
2014-01-01,0,0,37,12,5,False
2014-02-01,0,0,31,13,5,False
2014-03-01,0,0,34,12,6,False
2014-04-01,0,0,33,13,5,False
2014-05-01,0,0,35,11,5,False
2014-06-01,0,0,33,10,4,False
2014-07-01,0,0,34,15,5,False
2014-08-01,0,0,37,13,7,False
2014-09-01,0,0,35,14,8,False
2014-10-01,0,0,35,13,6,False
2014-11-01,0,0,35,10,6,False
2014-12-01,0,0,34,11,5,False
2015-01-01,0,0,34,15,5,False
2015-02-01,0,0,33,12,6,False
2015-03-01,0,0,34,12,8,False
2015-04-01,0,0,31,10,8,False
2015-05-01,0,0,31,11,21,False
2015-06-01,0,0,32,10,9,False
2015-07-01,0,0,32,12,11,False
2015-08-01,0,0,34,11,7,False
2015-09-01,0,0,29,12,6,False
2015-10-01,0,2,35,13,5,False
2015-11-01,0,0,29,13,5,False
2015-12-01,0,0,30,10,4,False
2016-01-01,0,0,29,8,5,False
2016-02-01,0,0,27,11,5,False
2016-03-01,0,0,26,10,5,False
2016-04-01,1,1,28,13,4,False
2016-05-01,1,0,27,11,7,False
2016-06-01,1,0,24,8,5,False
2016-07-01,0,0,27,8,6,False
2016-08-01,0,1,25,12,4,False
2016-09-01,0,0,29,11,5,False
2016-10-01,0,0,30,10,5,False
2016-11-01,0,0,23,9,7,False
2016-12-01,0,0,29,10,4,False
2017-01-01,0,0,27,9,4,False
2017-02-01,0,0,26,11,4,False
2017-03-01,0,0,24,13,4,False
2017-04-01,0,0,24,10,4,False
2017-05-01,0,1,25,9,5,False
2017-06-01,0,0,25,9,4,False
2017-07-01,0,0,26,8,4,False
2017-08-01,0,0,27,9,4,False
2017-09-01,0,0,27,10,4,False
2017-10-01,0,0,27,8,3,False
2017-11-01,0,0,27,12,3,False
2017-12-01,0,0,26,9,3,False
2018-01-01,0,0,28,19,4,False
2018-02-01,0,0,23,10,4,False
2018-03-01,0,0,26,10,3,False
2018-04-01,0,0,23,8,3,False
2018-05-01,0,0,23,8,4,False
2018-06-01,0,0,25,10,4,False
2018-07-01,0,0,24,7,3,False
2018-08-01,0,0,25,9,4,False
2018-09-01,0,0,25,25,4,False
2018-10-01,0,0,30,11,4,False
2018-11-01,0,0,22,10,4,False
2018-12-01,0,0,23,8,3,False
2019-01-01,0,0,27,9,3,False
2019-02-01,0,0,26,8,4,False
2019-03-01,0,0,24,9,3,False
2019-04-01,0,0,23,9,4,False
2019-05-01,0,0,22,8,3,False
2019-06-01,0,0,24,8,4,False
2019-07-01,0,0,23,8,5,False
2019-08-01,0,0,26,9,4,False
2019-09-01,0,0,26,8,4,False
2019-10-01,0,0,25,9,3,False
2019-11-01,0,0,25,9,3,False
2019-12-01,0,0,23,8,4,False
2020-01-01,0,0,25,9,6,False
2020-02-01,0,0,30,8,11,False
2020-03-01,0,0,23,7,5,False
2020-04-01,0,0,23,19,4,False
2020-05-01,0,0,26,12,3,False
2020-06-01,0,0,24,10,3,False
2020-07-01,0,0,24,13,7,False
2020-08-01,0,0,22,12,6,False
2020-09-01,0,0,28,9,4,False
2020-10-01,0,0,23,8,5,False
