date,Carolyn Steel,David Logan,Chimamanda Ngozi Adichie,Beau Lotto,Iraola,isPartial
2012-03-01,1,20,6,2,36,False
2012-04-01,1,24,4,2,25,False
2012-05-01,2,19,7,2,28,False
2012-06-01,1,19,6,1,21,False
2012-07-01,1,23,5,1,16,False
2012-08-01,2,24,4,2,15,False
2012-09-01,1,23,5,1,17,False
2012-10-01,1,23,6,4,19,False
2012-11-01,0,19,7,6,17,False
2012-12-01,1,22,2,1,16,False
2013-01-01,1,25,6,2,17,False
2013-02-01,1,19,7,2,19,False
2013-03-01,2,21,7,1,16,False
2013-04-01,1,18,14,2,16,False
2013-05-01,1,21,15,2,13,False
2013-06-01,1,17,12,2,17,False
2013-07-01,0,20,9,1,15,False
2013-08-01,1,25,12,2,16,False
2013-09-01,1,19,10,3,20,False
2013-10-01,1,16,12,1,17,False
2013-11-01,0,20,11,2,16,False
2013-12-01,1,23,79,1,18,False
2014-01-01,1,19,48,2,15,False
2014-02-01,1,22,51,2,18,False
2014-03-01,1,19,65,3,21,False
2014-04-01,1,19,55,1,15,False
2014-05-01,2,18,47,2,18,False
2014-06-01,1,19,43,2,14,False
2014-07-01,1,20,37,1,19,False
2014-08-01,1,21,53,1,24,False
2014-09-01,0,18,56,3,25,False
2014-10-01,1,21,58,2,19,False
2014-11-01,1,18,49,1,21,False
2014-12-01,1,19,52,1,16,False
2015-01-01,1,18,50,2,16,False
2015-02-01,1,20,57,2,18,False
2015-03-01,1,22,50,1,27,False
2015-04-01,1,18,47,1,28,False
2015-05-01,0,19,50,1,72,False
2015-06-01,1,28,48,1,29,False
2015-07-01,1,23,41,1,34,False
2015-08-01,1,19,38,1,27,False
2015-09-01,1,21,42,1,20,False
2015-10-01,1,25,37,1,17,False
2015-11-01,1,21,39,2,17,False
2015-12-01,1,15,43,2,14,False
2016-01-01,1,24,38,1,15,False
2016-02-01,1,20,40,1,17,False
2016-03-01,1,18,47,2,18,False
2016-04-01,0,20,36,1,14,False
2016-05-01,1,17,42,2,22,False
2016-06-01,1,18,32,0,19,False
2016-07-01,0,17,37,1,21,False
2016-08-01,0,14,43,1,13,False
2016-09-01,1,14,42,1,17,False
2016-10-01,1,20,53,1,18,False
2016-11-01,0,18,66,1,24,False
2016-12-01,1,17,48,0,12,False
2017-01-01,1,18,53,1,13,False
2017-02-01,1,28,51,1,16,False
2017-03-01,1,36,100,1,13,False
2017-04-01,1,25,50,3,13,False
2017-05-01,1,19,51,3,17,False
2017-06-01,1,31,34,2,13,False
2017-07-01,0,26,34,3,14,False
2017-08-01,0,24,36,1,14,False
2017-09-01,0,18,46,1,13,False
2017-10-01,1,22,49,2,11,False
2017-11-01,0,21,49,2,11,False
2017-12-01,0,18,42,2,9,False
2018-01-01,1,33,54,2,13,False
2018-02-01,1,23,51,1,11,False
2018-03-01,1,18,49,3,9,False
2018-04-01,1,19,60,1,11,False
2018-05-01,0,16,54,1,13,False
2018-06-01,0,18,56,1,13,False
2018-07-01,0,18,50,1,11,False
2018-08-01,0,23,48,2,12,False
2018-09-01,1,16,49,2,14,False
2018-10-01,1,17,51,2,15,False
2018-11-01,0,12,47,2,12,False
2018-12-01,1,16,40,1,11,False
2019-01-01,1,17,42,1,10,False
2019-02-01,0,17,48,1,13,False
2019-03-01,1,17,58,2,11,False
2019-04-01,1,15,40,1,14,False
2019-05-01,0,18,38,2,11,False
2019-06-01,0,19,31,2,13,False
2019-07-01,1,17,30,1,17,False
2019-08-01,0,43,36,1,14,False
2019-09-01,1,17,50,1,12,False
2019-10-01,0,20,44,3,12,False
2019-11-01,1,23,40,3,13,False
2019-12-01,0,20,35,1,13,False
2020-01-01,1,19,39,1,20,False
2020-02-01,1,22,46,1,37,False
2020-03-01,1,20,40,2,16,False
2020-04-01,1,25,35,2,11,False
2020-05-01,2,23,40,1,9,False
2020-06-01,1,23,58,1,12,False
2020-07-01,1,19,39,1,25,False
2020-08-01,1,20,40,1,19,False
2020-09-01,1,17,51,1,14,False
2020-10-01,1,14,35,1,15,False
