date,Alexander Wagner,Pierre Thiam,Augie Picado,Helen Czerski,Iraola,isPartial
2015-01-01,6,1,0,2,23,False
2015-02-01,8,1,0,1,25,False
2015-03-01,6,1,0,5,37,False
2015-04-01,7,2,0,3,39,False
2015-05-01,7,1,0,3,100,False
2015-06-01,8,1,0,2,40,False
2015-07-01,7,1,0,1,48,False
2015-08-01,7,1,0,3,37,False
2015-09-01,8,1,0,1,28,False
2015-10-01,8,1,0,4,23,False
2015-11-01,6,0,0,20,23,False
2015-12-01,8,1,0,4,19,False
2016-01-01,8,0,0,4,21,False
2016-02-01,6,0,0,3,24,False
2016-03-01,7,1,0,2,25,False
2016-04-01,5,1,0,2,19,False
2016-05-01,6,0,0,3,31,False
2016-06-01,8,1,0,2,27,False
2016-07-01,4,1,0,1,29,False
2016-08-01,6,2,0,1,18,False
2016-09-01,5,0,0,1,24,False
2016-10-01,6,0,0,2,26,False
2016-11-01,4,1,0,8,34,False
2016-12-01,6,0,0,9,17,False
2017-01-01,7,1,0,7,19,False
2017-02-01,7,1,0,4,22,False
2017-03-01,8,0,0,13,18,False
2017-04-01,4,0,0,3,18,False
2017-05-01,6,2,0,2,24,False
2017-06-01,5,0,0,2,18,False
2017-07-01,7,0,0,9,19,False
2017-08-01,7,1,0,2,19,False
2017-09-01,8,1,1,10,17,False
2017-10-01,8,1,0,5,16,False
2017-11-01,5,0,0,4,15,False
2017-12-01,5,1,0,3,13,False
2018-01-01,7,1,0,4,18,False
2018-02-01,8,1,0,18,15,False
2018-03-01,6,1,0,15,12,False
2018-04-01,7,0,0,4,16,False
2018-05-01,5,1,0,4,18,False
2018-06-01,4,1,0,5,19,False
2018-07-01,3,1,0,3,15,False
2018-08-01,4,0,0,4,17,False
2018-09-01,7,2,0,3,19,False
2018-10-01,6,1,0,4,21,False
2018-11-01,8,0,0,4,17,False
2018-12-01,5,1,0,2,15,False
2019-01-01,5,1,0,3,14,False
2019-02-01,5,1,0,3,18,False
2019-03-01,6,0,0,2,16,False
2019-04-01,5,2,0,2,20,False
2019-05-01,6,1,0,1,15,False
2019-06-01,6,1,0,4,18,False
2019-07-01,5,1,0,7,24,False
2019-08-01,5,1,0,5,19,False
2019-09-01,6,0,0,2,17,False
2019-10-01,4,2,0,1,17,False
2019-11-01,7,0,0,2,18,False
2019-12-01,5,1,0,1,18,False
2020-01-01,5,1,0,3,28,False
2020-02-01,6,1,0,1,52,False
2020-03-01,4,1,0,1,22,False
2020-04-01,6,1,0,5,16,False
2020-05-01,5,1,0,3,12,False
2020-06-01,4,1,0,3,16,False
2020-07-01,5,1,0,2,35,False
2020-08-01,6,1,0,2,26,False
2020-09-01,4,1,0,2,19,False
2020-10-01,5,1,0,2,21,False
