date,John Francis,Tim Brown,Luca Turin,Lee Smolin,Iraola,isPartial
2014-02-01,46,18,1,1,5,False
2014-03-01,46,13,1,1,6,False
2014-04-01,53,14,1,1,4,False
2014-05-01,48,15,1,1,5,False
2014-06-01,40,17,1,1,4,False
2014-07-01,43,17,1,1,5,False
2014-08-01,45,20,1,1,7,False
2014-09-01,60,17,1,1,7,False
2014-10-01,63,17,1,1,5,False
2014-11-01,44,17,1,1,5,False
2014-12-01,44,17,1,1,4,False
2015-01-01,55,19,1,2,4,False
2015-02-01,41,28,1,1,5,False
2015-03-01,45,14,1,2,7,False
2015-04-01,44,15,1,1,7,False
2015-05-01,44,14,1,1,20,False
2015-06-01,41,16,1,1,9,False
2015-07-01,43,18,1,1,10,False
2015-08-01,42,39,1,1,7,False
2015-09-01,67,17,1,1,6,False
2015-10-01,48,15,1,1,5,False
2015-11-01,40,15,1,1,5,False
2015-12-01,37,18,1,1,4,False
2016-01-01,37,16,1,1,5,False
2016-02-01,41,17,1,1,5,False
2016-03-01,39,13,1,1,5,False
2016-04-01,38,14,1,0,4,False
2016-05-01,37,15,1,1,6,False
2016-06-01,37,15,1,1,5,False
2016-07-01,34,15,1,1,5,False
2016-08-01,33,13,1,1,4,False
2016-09-01,35,16,1,1,5,False
2016-10-01,37,15,1,1,5,False
2016-11-01,32,15,1,1,7,False
2016-12-01,32,16,1,1,4,False
2017-01-01,35,16,1,0,4,False
2017-02-01,39,16,1,0,4,False
2017-03-01,37,14,1,1,4,False
2017-04-01,35,12,1,1,4,False
2017-05-01,32,13,1,0,5,False
2017-06-01,31,11,0,0,4,False
2017-07-01,32,12,1,0,4,False
2017-08-01,33,14,1,0,4,False
2017-09-01,32,14,1,1,3,False
2017-10-01,34,11,1,0,3,False
2017-11-01,31,13,1,1,3,False
2017-12-01,30,12,1,0,3,False
2018-01-01,33,13,1,1,4,False
2018-02-01,33,14,1,1,3,False
2018-03-01,32,13,1,0,3,False
2018-04-01,30,12,1,0,3,False
2018-05-01,30,11,1,1,3,False
2018-06-01,27,12,1,0,3,False
2018-07-01,25,11,1,1,3,False
2018-08-01,31,12,1,1,3,False
2018-09-01,29,14,1,0,4,False
2018-10-01,27,12,1,0,4,False
2018-11-01,28,15,1,0,3,False
2018-12-01,24,12,1,1,3,False
2019-01-01,28,14,1,0,3,False
2019-02-01,30,13,1,1,4,False
2019-03-01,28,12,1,0,3,False
2019-04-01,26,12,1,1,4,False
2019-05-01,27,10,0,1,3,False
2019-06-01,25,11,1,1,3,False
2019-07-01,24,11,1,1,5,False
2019-08-01,25,13,1,1,4,False
2019-09-01,27,17,1,1,3,False
2019-10-01,28,15,1,1,3,False
2019-11-01,26,11,1,1,3,False
2019-12-01,25,12,1,1,4,False
2020-01-01,27,12,1,1,6,False
2020-02-01,29,12,1,0,11,False
2020-03-01,24,11,0,1,4,False
2020-04-01,26,19,1,0,3,False
2020-05-01,28,11,1,1,3,False
2020-06-01,26,11,1,0,3,False
2020-07-01,24,10,1,1,7,False
2020-08-01,26,11,1,1,5,False
2020-09-01,29,13,1,0,4,False
2020-10-01,28,11,1,0,4,False
