date,Usman Riaz + Preston Reed,Jonathan Eisen,Chris Gerdes,Marc Goodman,Iraola,isPartial
2008-05-01,12,3,0,7,27,False
2008-06-01,15,5,0,11,24,False
2008-07-01,10,4,2,7,15,False
2008-08-01,11,2,2,6,32,False
2008-09-01,15,2,0,9,35,False
2008-10-01,19,2,4,5,30,False
2008-11-01,11,0,2,5,31,False
2008-12-01,10,2,0,9,25,False
2009-01-01,8,4,0,8,30,False
2009-02-01,10,2,0,6,35,False
2009-03-01,17,3,0,8,24,False
2009-04-01,12,2,2,9,32,False
2009-05-01,14,2,0,7,39,False
2009-06-01,12,2,2,4,27,False
2009-07-01,11,3,2,5,26,False
2009-08-01,12,7,2,8,32,False
2009-09-01,11,2,2,6,38,False
2009-10-01,13,1,0,7,28,False
2009-11-01,11,2,1,6,36,False
2009-12-01,13,1,0,12,27,False
2010-01-01,8,3,0,5,35,False
2010-02-01,14,1,0,7,18,False
2010-03-01,11,1,1,8,26,False
2010-04-01,8,2,2,11,27,False
2010-05-01,9,2,0,5,24,False
2010-06-01,9,3,0,7,29,False
2010-07-01,10,2,0,6,20,False
2010-08-01,12,2,0,6,27,False
2010-09-01,10,2,1,8,32,False
2010-10-01,10,2,0,5,34,False
2010-11-01,8,1,1,8,42,False
2010-12-01,7,4,1,11,34,False
2011-01-01,14,1,0,7,28,False
2011-02-01,9,3,1,7,38,False
2011-03-01,15,1,1,4,46,False
2011-04-01,14,2,1,2,34,False
2011-05-01,17,1,1,7,31,False
2011-06-01,11,2,2,4,33,False
2011-07-01,10,1,1,6,28,False
2011-08-01,11,1,1,7,42,False
2011-09-01,10,2,1,5,34,False
2011-10-01,12,1,1,6,32,False
2011-11-01,15,2,1,6,28,False
2011-12-01,10,2,1,7,27,False
2012-01-01,12,1,0,6,25,False
2012-02-01,11,1,0,6,30,False
2012-03-01,10,1,0,5,54,False
2012-04-01,6,2,1,6,34,False
2012-05-01,9,1,1,7,41,False
2012-06-01,15,1,0,5,32,False
2012-07-01,30,2,2,11,23,False
2012-08-01,15,2,1,7,24,False
2012-09-01,15,1,1,5,26,False
2012-10-01,18,2,2,4,25,False
2012-11-01,11,2,1,7,27,False
2012-12-01,12,2,1,7,23,False
2013-01-01,10,1,1,5,24,False
2013-02-01,11,2,0,4,25,False
2013-03-01,11,2,1,5,23,False
2013-04-01,12,1,1,4,25,False
2013-05-01,7,1,1,7,21,False
2013-06-01,12,1,0,6,23,False
2013-07-01,12,1,1,4,23,False
2013-08-01,7,1,1,3,24,False
2013-09-01,12,1,1,5,30,False
2013-10-01,15,2,1,4,26,False
2013-11-01,9,2,1,5,24,False
2013-12-01,12,1,1,4,25,False
2014-01-01,13,1,1,4,22,False
2014-02-01,10,1,1,2,25,False
2014-03-01,11,1,1,3,28,False
2014-04-01,18,1,1,4,22,False
2014-05-01,13,1,0,3,25,False
2014-06-01,8,1,0,3,21,False
2014-07-01,9,1,0,5,26,False
2014-08-01,17,2,0,3,34,False
2014-09-01,9,1,1,5,35,False
2014-10-01,13,1,1,3,27,False
2014-11-01,16,1,1,4,26,False
2014-12-01,11,1,1,7,22,False
2015-01-01,12,2,1,4,21,False
2015-02-01,10,1,1,6,26,False
2015-03-01,11,2,0,9,37,False
2015-04-01,8,1,1,6,38,False
2015-05-01,10,1,0,6,100,False
2015-06-01,11,1,0,4,44,False
2015-07-01,10,0,0,5,50,False
2015-08-01,9,2,0,5,34,False
2015-09-01,9,1,1,5,30,False
2015-10-01,9,1,1,5,24,False
2015-11-01,9,1,1,5,23,False
2015-12-01,10,0,0,5,20,False
2016-01-01,8,1,0,5,24,False
2016-02-01,8,2,1,5,23,False
2016-03-01,7,1,1,4,26,False
2016-04-01,9,1,1,3,18,False
2016-05-01,7,1,1,5,32,False
2016-06-01,8,1,0,4,26,False
2016-07-01,6,1,0,3,28,False
2016-08-01,7,1,1,4,18,False
2016-09-01,6,1,1,4,25,False
2016-10-01,8,1,0,2,24,False
2016-11-01,6,1,0,2,33,False
2016-12-01,7,1,0,3,19,False
2017-01-01,6,1,1,4,18,False
2017-02-01,5,0,1,3,21,False
2017-03-01,6,0,0,4,18,False
2017-04-01,6,1,1,3,19,False
2017-05-01,6,1,0,4,24,False
2017-06-01,6,1,0,3,19,False
2017-07-01,6,1,0,3,20,False
2017-08-01,6,1,0,4,18,False
2017-09-01,7,1,0,3,18,False
2017-10-01,5,1,0,6,16,False
2017-11-01,6,1,1,3,14,False
2017-12-01,4,0,0,3,14,False
2018-01-01,6,1,1,3,19,False
2018-02-01,6,1,0,2,17,False
2018-03-01,4,1,1,3,14,False
2018-04-01,4,1,0,3,16,False
2018-05-01,3,1,0,3,17,False
2018-06-01,4,1,0,2,17,False
2018-07-01,3,0,1,2,16,False
2018-08-01,5,1,0,2,17,False
2018-09-01,4,0,0,2,18,False
2018-10-01,5,1,0,2,20,False
2018-11-01,3,1,1,3,17,False
2018-12-01,3,1,0,2,16,False
2019-01-01,4,1,0,2,16,False
2019-02-01,4,1,1,2,19,False
2019-03-01,3,1,0,3,15,False
2019-04-01,3,1,0,2,19,False
2019-05-01,3,0,0,2,16,False
2019-06-01,2,1,0,2,17,False
2019-07-01,3,1,1,2,24,False
2019-08-01,4,0,0,3,20,False
2019-09-01,5,1,0,2,17,False
2019-10-01,5,1,0,3,16,False
2019-11-01,4,0,0,2,16,False
2019-12-01,4,2,0,2,19,False
2020-01-01,5,0,0,2,28,False
2020-02-01,4,1,0,2,54,False
2020-03-01,24,0,0,2,21,False
2020-04-01,5,2,0,2,17,False
2020-05-01,67,1,0,2,14,False
2020-06-01,12,1,0,2,16,False
2020-07-01,4,1,0,1,34,False
2020-08-01,4,0,0,2,27,False
2020-09-01,3,1,0,1,19,False
2020-10-01,3,0,0,2,21,False
