date,Matt Weinstein,Kartick Satyanarayan,Kiran Sethi,Lalitesh Katragadda,Iraola,isPartial
2015-11-01,1,0,1,0,16,False
2015-12-01,0,0,3,1,14,False
2016-01-01,1,0,1,0,17,False
2016-02-01,1,0,2,0,17,False
2016-03-01,1,0,2,0,18,False
2016-04-01,1,0,2,1,13,False
2016-05-01,1,0,1,0,23,False
2016-06-01,1,0,1,0,18,False
2016-07-01,1,0,1,1,20,False
2016-08-01,1,0,1,0,13,False
2016-09-01,1,0,1,0,18,False
2016-10-01,1,0,1,0,17,False
2016-11-01,1,0,1,1,23,False
2016-12-01,1,0,1,0,13,False
2017-01-01,1,0,0,0,13,False
2017-02-01,1,1,1,0,15,False
2017-03-01,1,0,1,0,13,False
2017-04-01,1,0,1,0,13,False
2017-05-01,1,0,1,0,17,False
2017-06-01,1,1,2,0,13,False
2017-07-01,1,0,1,0,14,False
2017-08-01,0,0,1,0,12,False
2017-09-01,1,1,1,0,12,False
2017-10-01,100,0,1,0,11,False
2017-11-01,25,0,1,0,10,False
2017-12-01,51,1,1,0,10,False
2018-01-01,18,0,2,0,13,False
2018-02-01,8,0,1,1,12,False
2018-03-01,7,0,1,0,10,False
2018-04-01,5,0,2,0,12,False
2018-05-01,7,0,1,0,12,False
2018-06-01,5,0,1,0,12,False
2018-07-01,3,0,1,0,11,False
2018-08-01,4,0,1,0,12,False
2018-09-01,7,0,1,0,13,False
2018-10-01,8,0,1,0,14,False
2018-11-01,3,0,1,0,12,False
2018-12-01,2,0,0,0,11,False
2019-01-01,4,0,1,0,11,False
2019-02-01,2,0,1,0,13,False
2019-03-01,3,0,1,0,11,False
2019-04-01,1,0,1,0,14,False
2019-05-01,2,0,2,0,11,False
2019-06-01,2,0,1,0,12,False
2019-07-01,2,0,1,0,17,False
2019-08-01,2,0,1,0,14,False
2019-09-01,2,0,1,0,12,False
2019-10-01,7,0,1,0,12,False
2019-11-01,3,0,1,0,11,False
2019-12-01,4,0,1,0,13,False
2020-01-01,7,1,1,0,20,False
2020-02-01,5,0,1,0,38,False
2020-03-01,5,0,1,0,15,False
2020-04-01,3,0,1,1,12,False
2020-05-01,3,0,1,1,10,False
2020-06-01,4,0,1,0,11,False
2020-07-01,3,0,1,0,24,False
2020-08-01,3,0,1,0,19,False
2020-09-01,2,0,0,0,14,False
2020-10-01,1,0,1,0,15,False
