date,Jennifer Healey,Nilofer Merchant,Sebastião Salgado,Rita Pierson,Iraola,isPartial
2012-08-01,1,0,17,0,15,False
2012-09-01,1,2,16,1,16,False
2012-10-01,1,2,13,0,16,False
2012-11-01,1,2,12,0,17,False
2012-12-01,1,2,10,0,15,False
2013-01-01,1,1,9,0,15,False
2013-02-01,2,3,10,0,15,False
2013-03-01,1,4,17,1,14,False
2013-04-01,2,4,25,0,16,False
2013-05-01,1,4,34,11,13,False
2013-06-01,1,2,35,5,15,False
2013-07-01,1,2,24,6,15,False
2013-08-01,1,2,40,14,15,False
2013-09-01,0,1,68,6,19,False
2013-10-01,0,2,41,5,16,False
2013-11-01,1,3,36,7,15,False
2013-12-01,1,2,21,4,15,False
2014-01-01,1,1,17,4,14,False
2014-02-01,0,1,31,4,16,False
2014-03-01,1,2,36,4,18,False
2014-04-01,1,1,24,3,14,False
2014-05-01,1,1,31,4,15,False
2014-06-01,1,1,21,4,13,False
2014-07-01,0,1,19,3,16,False
2014-08-01,0,1,25,14,21,False
2014-09-01,1,1,32,17,22,False
2014-10-01,1,9,33,7,17,False
2014-11-01,1,2,30,7,16,False
2014-12-01,1,1,19,5,14,False
2015-01-01,1,1,25,6,13,False
2015-02-01,0,1,33,5,16,False
2015-03-01,2,1,35,5,23,False
2015-04-01,1,2,58,6,23,False
2015-05-01,1,2,46,5,62,False
2015-06-01,1,1,38,5,28,False
2015-07-01,0,1,30,5,31,False
2015-08-01,1,1,30,16,22,False
2015-09-01,1,1,31,12,19,False
2015-10-01,1,2,29,7,15,False
2015-11-01,0,1,39,6,14,False
2015-12-01,1,0,17,4,13,False
2016-01-01,0,0,14,5,15,False
2016-02-01,0,1,12,5,15,False
2016-03-01,0,1,16,6,16,False
2016-04-01,1,1,17,5,11,False
2016-05-01,1,0,18,3,20,False
2016-06-01,1,1,18,4,16,False
2016-07-01,1,0,12,4,17,False
2016-08-01,1,1,16,9,11,False
2016-09-01,0,1,12,7,16,False
2016-10-01,1,1,16,5,15,False
2016-11-01,1,1,16,5,21,False
2016-12-01,1,0,10,2,12,False
2017-01-01,1,0,9,5,11,False
2017-02-01,1,1,13,5,13,False
2017-03-01,0,1,18,5,11,False
2017-04-01,1,1,13,4,12,False
2017-05-01,1,0,100,4,15,False
2017-06-01,2,1,14,5,12,False
2017-07-01,2,1,10,3,12,False
2017-08-01,1,2,13,9,11,False
2017-09-01,1,1,13,6,11,False
2017-10-01,0,2,14,5,10,False
2017-11-01,1,2,15,7,9,False
2017-12-01,0,1,12,3,9,False
2018-01-01,0,1,7,5,12,False
2018-02-01,1,0,14,5,10,False
2018-03-01,0,1,14,4,8,False
2018-04-01,0,1,14,4,10,False
2018-05-01,0,1,12,5,11,False
2018-06-01,0,0,10,4,11,False
2018-07-01,0,0,9,4,10,False
2018-08-01,0,1,12,8,11,False
2018-09-01,0,1,15,7,11,False
2018-10-01,1,1,12,8,12,False
2018-11-01,0,0,13,6,11,False
2018-12-01,1,1,8,3,10,False
2019-01-01,0,0,10,5,10,False
2019-02-01,1,1,11,5,12,False
2019-03-01,0,1,12,4,10,False
2019-04-01,0,3,19,4,12,False
2019-05-01,1,0,16,4,10,False
2019-06-01,1,1,15,3,11,False
2019-07-01,0,1,14,4,15,False
2019-08-01,1,1,22,8,12,False
2019-09-01,1,0,19,6,11,False
2019-10-01,1,0,22,5,10,False
2019-11-01,0,0,14,5,10,False
2019-12-01,1,0,7,3,12,False
2020-01-01,1,0,9,5,18,False
2020-02-01,0,0,11,4,33,False
2020-03-01,0,1,12,4,13,False
2020-04-01,0,0,20,4,11,False
2020-05-01,0,0,24,5,9,False
2020-06-01,0,1,16,4,10,False
2020-07-01,0,0,15,3,21,False
2020-08-01,0,0,14,6,17,False
2020-09-01,0,0,13,5,12,False
2020-10-01,0,0,9,4,13,False
