date,Frank Gehry,Raul Midon,Bill Strickland,Bernie Dunlap,Iraola,isPartial
2009-03-01,43,7,2,0,5,False
2009-04-01,43,10,2,0,7,False
2009-05-01,40,6,2,0,8,False
2009-06-01,32,7,2,0,6,False
2009-07-01,29,10,2,0,6,False
2009-08-01,28,8,2,0,7,False
2009-09-01,39,10,2,0,8,False
2009-10-01,42,12,2,0,6,False
2009-11-01,45,12,2,0,8,False
2009-12-01,36,6,1,0,6,False
2010-01-01,35,6,1,0,7,False
2010-02-01,32,6,2,0,4,False
2010-03-01,42,7,2,0,6,False
2010-04-01,39,10,1,0,6,False
2010-05-01,37,8,1,0,5,False
2010-06-01,32,8,2,0,6,False
2010-07-01,29,6,2,0,4,False
2010-08-01,28,4,2,0,6,False
2010-09-01,32,7,2,0,7,False
2010-10-01,39,7,2,0,7,False
2010-11-01,36,4,1,0,9,False
2010-12-01,33,4,1,0,7,False
2011-01-01,33,7,2,0,6,False
2011-02-01,40,6,2,0,8,False
2011-03-01,39,6,2,0,10,False
2011-04-01,38,8,1,0,7,False
2011-05-01,37,7,1,0,7,False
2011-06-01,30,6,1,0,7,False
2011-07-01,25,7,1,0,6,False
2011-08-01,29,5,1,0,9,False
2011-09-01,37,5,1,0,7,False
2011-10-01,40,6,1,0,7,False
2011-11-01,35,6,2,0,6,False
2011-12-01,29,5,1,0,6,False
2012-01-01,29,5,1,0,5,False
2012-02-01,32,6,1,0,6,False
2012-03-01,34,6,1,0,12,False
2012-04-01,33,4,1,0,7,False
2012-05-01,32,4,1,0,9,False
2012-06-01,25,4,1,0,7,False
2012-07-01,25,5,1,0,5,False
2012-08-01,36,4,1,0,5,False
2012-09-01,32,4,1,0,6,False
2012-10-01,36,6,1,0,5,False
2012-11-01,33,4,1,0,6,False
2012-12-01,25,4,1,0,5,False
2013-01-01,25,3,1,0,5,False
2013-02-01,27,4,1,0,5,False
2013-03-01,29,4,1,0,5,False
2013-04-01,29,3,1,0,5,False
2013-05-01,26,3,1,0,4,False
2013-06-01,23,2,1,0,5,False
2013-07-01,21,2,1,0,5,False
2013-08-01,23,3,1,0,5,False
2013-09-01,27,3,1,0,6,False
2013-10-01,31,5,1,0,6,False
2013-11-01,29,4,1,0,5,False
2013-12-01,22,2,1,0,5,False
2014-01-01,25,3,1,0,5,False
2014-02-01,32,3,1,0,5,False
2014-03-01,29,3,1,0,6,False
2014-04-01,27,4,1,0,5,False
2014-05-01,30,3,1,0,5,False
2014-06-01,22,2,1,0,4,False
2014-07-01,22,2,1,0,6,False
2014-08-01,22,2,1,0,7,False
2014-09-01,27,2,1,0,8,False
2014-10-01,73,3,1,0,6,False
2014-11-01,44,2,1,0,6,False
2014-12-01,30,2,1,0,5,False
2015-01-01,29,1,0,0,5,False
2015-02-01,35,2,1,0,6,False
2015-03-01,33,2,0,0,8,False
2015-04-01,31,2,1,0,8,False
2015-05-01,28,2,1,0,22,False
2015-06-01,30,2,1,0,10,False
2015-07-01,22,2,1,0,11,False
2015-08-01,25,2,0,0,7,False
2015-09-01,34,3,0,0,6,False
2015-10-01,30,1,0,0,5,False
2015-11-01,30,2,0,0,5,False
2015-12-01,22,2,1,0,4,False
2016-01-01,24,1,2,0,5,False
2016-02-01,28,1,1,0,5,False
2016-03-01,26,2,1,0,6,False
2016-04-01,26,2,1,0,4,False
2016-05-01,28,1,1,0,7,False
2016-06-01,19,1,1,0,6,False
2016-07-01,17,1,1,0,6,False
2016-08-01,19,1,1,0,4,False
2016-09-01,21,1,1,0,5,False
2016-10-01,24,1,1,0,5,False
2016-11-01,27,1,1,0,7,False
2016-12-01,20,1,1,0,4,False
2017-01-01,18,1,0,0,4,False
2017-02-01,27,1,0,0,5,False
2017-03-01,27,2,0,0,4,False
2017-04-01,24,2,1,0,4,False
2017-05-01,22,2,1,0,5,False
2017-06-01,20,1,1,0,4,False
2017-07-01,18,2,0,0,4,False
2017-08-01,19,1,1,0,4,False
2017-09-01,24,1,0,0,4,False
2017-10-01,25,1,0,0,3,False
2017-11-01,23,1,1,0,3,False
2017-12-01,18,1,1,0,3,False
2018-01-01,20,1,1,0,4,False
2018-02-01,23,2,0,0,4,False
2018-03-01,21,1,1,0,3,False
2018-04-01,23,1,0,0,4,False
2018-05-01,21,1,0,0,4,False
2018-06-01,17,1,0,0,4,False
2018-07-01,17,1,0,0,3,False
2018-08-01,18,1,0,0,4,False
2018-09-01,19,1,0,0,4,False
2018-10-01,19,1,0,0,4,False
2018-11-01,19,1,0,0,4,False
2018-12-01,16,1,0,0,3,False
2019-01-01,17,1,0,0,3,False
2019-02-01,20,1,0,0,4,False
2019-03-01,22,1,1,0,3,False
2019-04-01,21,1,0,0,4,False
2019-05-01,20,1,1,0,3,False
2019-06-01,15,1,0,0,4,False
2019-07-01,16,1,0,0,5,False
2019-08-01,17,1,0,0,4,False
2019-09-01,18,0,0,0,4,False
2019-10-01,19,1,1,0,4,False
2019-11-01,16,2,0,0,4,False
2019-12-01,16,1,0,0,4,False
2020-01-01,17,1,0,0,6,False
2020-02-01,20,1,0,0,12,False
2020-03-01,16,1,0,0,5,False
2020-04-01,19,1,0,0,4,False
2020-05-01,16,1,0,0,3,False
2020-06-01,13,1,0,0,3,False
2020-07-01,11,0,0,0,7,False
2020-08-01,13,0,1,0,6,False
2020-09-01,15,1,0,0,4,False
2020-10-01,15,0,0,0,5,False
