date,Murray Gell-Mann,Amory Lovins,Arthur Benjamin,Daniel Goleman,Iraola,isPartial
2011-09-01,3,4,9,64,19,False
2011-10-01,4,4,9,62,18,False
2011-11-01,5,4,11,63,16,False
2011-12-01,4,3,12,51,15,False
2012-01-01,2,3,12,52,15,False
2012-02-01,3,5,14,54,17,False
2012-03-01,11,5,11,55,31,False
2012-04-01,3,5,10,56,19,False
2012-05-01,3,7,14,61,23,False
2012-06-01,1,4,9,48,18,False
2012-07-01,2,3,9,45,13,False
2012-08-01,2,2,7,48,14,False
2012-09-01,2,3,8,57,15,False
2012-10-01,3,6,9,58,14,False
2012-11-01,4,3,10,52,15,False
2012-12-01,2,3,7,41,13,False
2013-01-01,2,2,9,49,13,False
2013-02-01,3,2,12,50,14,False
2013-03-01,2,2,10,54,13,False
2013-04-01,2,3,7,58,14,False
2013-05-01,2,4,9,63,12,False
2013-06-01,2,2,9,57,13,False
2013-07-01,1,2,8,52,13,False
2013-08-01,2,2,5,51,14,False
2013-09-01,2,3,8,62,17,False
2013-10-01,2,2,9,76,15,False
2013-11-01,4,4,15,72,14,False
2013-12-01,2,2,9,60,14,False
2014-01-01,2,2,10,60,13,False
2014-02-01,3,2,10,71,14,False
2014-03-01,1,3,10,65,16,False
2014-04-01,2,2,8,72,12,False
2014-05-01,2,1,10,68,14,False
2014-06-01,1,1,8,61,12,False
2014-07-01,2,2,11,54,15,False
2014-08-01,1,2,9,60,19,False
2014-09-01,3,2,9,66,20,False
2014-10-01,3,3,11,67,16,False
2014-11-01,3,2,9,64,15,False
2014-12-01,2,1,9,54,12,False
2015-01-01,2,2,9,57,12,False
2015-02-01,2,3,9,61,15,False
2015-03-01,2,2,10,64,21,False
2015-04-01,2,2,9,67,21,False
2015-05-01,1,1,8,69,57,False
2015-06-01,2,1,8,62,25,False
2015-07-01,1,1,8,51,29,False
2015-08-01,1,1,8,56,20,False
2015-09-01,2,2,9,65,17,False
2015-10-01,2,1,9,63,14,False
2015-11-01,2,2,9,70,13,False
2015-12-01,1,2,9,50,12,False
2016-01-01,1,1,9,48,14,False
2016-02-01,2,1,11,57,13,False
2016-03-01,2,2,9,62,15,False
2016-04-01,1,1,7,65,10,False
2016-05-01,2,2,9,59,18,False
2016-06-01,1,1,6,50,15,False
2016-07-01,0,1,7,45,16,False
2016-08-01,1,1,6,55,10,False
2016-09-01,2,1,6,75,15,False
2016-10-01,2,1,8,58,14,False
2016-11-01,2,2,9,61,19,False
2016-12-01,1,1,9,47,11,False
2017-01-01,1,1,9,47,10,False
2017-02-01,5,1,12,54,12,False
2017-03-01,1,1,8,61,10,False
2017-04-01,2,1,9,54,11,False
2017-05-01,2,1,7,57,14,False
2017-06-01,1,1,6,53,11,False
2017-07-01,1,1,6,51,11,False
2017-08-01,2,1,6,59,10,False
2017-09-01,2,1,5,58,10,False
2017-10-01,2,1,8,66,9,False
2017-11-01,2,1,7,62,8,False
2017-12-01,1,1,7,45,8,False
2018-01-01,2,1,8,49,11,False
2018-02-01,1,1,11,60,10,False
2018-03-01,2,1,10,50,8,False
2018-04-01,1,1,6,58,9,False
2018-05-01,2,1,6,57,10,False
2018-06-01,1,0,7,55,10,False
2018-07-01,1,1,7,48,9,False
2018-08-01,2,1,7,54,10,False
2018-09-01,2,1,10,61,10,False
2018-10-01,2,1,7,63,11,False
2018-11-01,2,1,8,65,10,False
2018-12-01,1,1,9,46,9,False
2019-01-01,1,1,7,49,9,False
2019-02-01,3,1,9,54,11,False
2019-03-01,2,1,7,59,9,False
2019-04-01,1,2,5,61,11,False
2019-05-01,10,1,6,66,9,False
2019-06-01,7,1,7,54,10,False
2019-07-01,2,1,6,55,14,False
2019-08-01,2,1,6,53,11,False
2019-09-01,2,1,8,64,10,False
2019-10-01,2,1,7,57,9,False
2019-11-01,2,1,7,60,9,False
2019-12-01,1,1,6,44,11,False
2020-01-01,1,0,6,50,16,False
2020-02-01,1,1,7,52,31,False
2020-03-01,2,1,6,53,12,False
2020-04-01,1,1,6,63,10,False
2020-05-01,2,1,6,65,8,False
2020-06-01,1,0,5,61,9,False
2020-07-01,1,1,5,53,19,False
2020-08-01,1,0,6,51,15,False
2020-09-01,1,1,5,54,11,False
2020-10-01,1,0,7,54,12,False
