date,Keith Bellows,Ann Cooper,Jonathan Haidt,David S. Rose,Iraola,isPartial
2012-06-01,0,9,11,0,13,False
2012-07-01,0,11,7,0,9,False
2012-08-01,0,9,6,0,10,False
2012-09-01,0,10,6,0,11,False
2012-10-01,0,9,8,0,10,False
2012-11-01,0,8,6,0,11,False
2012-12-01,0,8,5,0,10,False
2013-01-01,0,11,5,0,10,False
2013-02-01,1,7,4,1,10,False
2013-03-01,1,9,5,0,10,False
2013-04-01,0,10,4,1,11,False
2013-05-01,0,10,3,0,9,False
2013-06-01,0,7,3,0,10,False
2013-07-01,1,7,3,0,10,False
2013-08-01,0,6,5,0,10,False
2013-09-01,0,8,4,0,12,False
2013-10-01,0,7,5,0,11,False
2013-11-01,0,6,4,0,10,False
2013-12-01,0,7,6,0,10,False
2014-01-01,0,8,5,0,9,False
2014-02-01,0,7,5,0,10,False
2014-03-01,0,6,4,1,12,False
2014-04-01,0,7,4,0,9,False
2014-05-01,0,6,4,1,10,False
2014-06-01,0,7,5,0,9,False
2014-07-01,0,6,2,0,11,False
2014-08-01,0,7,3,0,14,False
2014-09-01,0,6,4,1,15,False
2014-10-01,0,7,3,0,11,False
2014-11-01,0,7,5,0,11,False
2014-12-01,0,8,3,0,9,False
2015-01-01,0,8,4,0,9,False
2015-02-01,0,9,4,0,11,False
2015-03-01,0,8,4,1,15,False
2015-04-01,0,7,4,0,16,False
2015-05-01,0,8,3,0,41,False
2015-06-01,0,7,4,0,18,False
2015-07-01,0,5,3,0,21,False
2015-08-01,2,7,5,0,14,False
2015-09-01,1,7,4,0,12,False
2015-10-01,1,9,5,0,10,False
2015-11-01,0,7,6,0,9,False
2015-12-01,0,8,5,0,8,False
2016-01-01,0,5,5,0,10,False
2016-02-01,0,7,5,0,10,False
2016-03-01,0,7,8,0,11,False
2016-04-01,0,6,6,0,8,False
2016-05-01,0,5,7,0,13,False
2016-06-01,0,6,6,0,11,False
2016-07-01,0,6,6,0,11,False
2016-08-01,0,5,6,0,7,False
2016-09-01,0,5,5,0,11,False
2016-10-01,0,6,6,0,10,False
2016-11-01,0,6,13,0,14,False
2016-12-01,0,4,9,0,8,False
2017-01-01,0,6,8,0,7,False
2017-02-01,0,8,9,0,9,False
2017-03-01,0,6,10,0,7,False
2017-04-01,0,6,10,0,8,False
2017-05-01,0,7,7,0,10,False
2017-06-01,0,5,7,0,8,False
2017-07-01,0,4,5,0,8,False
2017-08-01,0,5,6,0,7,False
2017-09-01,0,5,7,0,7,False
2017-10-01,0,4,10,0,7,False
2017-11-01,0,5,10,0,6,False
2017-12-01,0,6,9,0,6,False
2018-01-01,0,5,10,0,8,False
2018-02-01,0,5,10,0,7,False
2018-03-01,0,5,9,0,6,False
2018-04-01,0,5,9,0,7,False
2018-05-01,0,5,9,0,7,False
2018-06-01,0,5,8,0,7,False
2018-07-01,0,5,8,0,6,False
2018-08-01,1,4,8,0,7,False
2018-09-01,0,4,15,0,8,False
2018-10-01,0,6,20,0,8,False
2018-11-01,0,4,17,0,7,False
2018-12-01,0,5,16,0,7,False
2019-01-01,0,5,41,0,7,False
2019-02-01,0,6,15,0,8,False
2019-03-01,0,4,11,0,6,False
2019-04-01,0,5,12,0,8,False
2019-05-01,0,5,10,0,6,False
2019-06-01,0,4,10,0,7,False
2019-07-01,0,5,9,0,10,False
2019-08-01,0,4,10,0,8,False
2019-09-01,0,5,8,0,7,False
2019-10-01,0,4,9,0,7,False
2019-11-01,0,4,9,0,7,False
2019-12-01,0,4,8,0,8,False
2020-01-01,0,4,9,0,12,False
2020-02-01,0,4,9,0,22,False
2020-03-01,0,4,7,0,9,False
2020-04-01,0,4,8,0,7,False
2020-05-01,0,7,11,0,6,False
2020-06-01,0,5,13,0,7,False
2020-07-01,0,4,14,0,14,False
2020-08-01,0,5,11,0,11,False
2020-09-01,0,4,12,0,8,False
2020-10-01,0,5,10,0,9,False
