date,Heribert Watzke,Dianna Cohen,Patrick Chappatte,"David Byrne, Ethel + Thomas Dolby",Iraola,isPartial
2014-03-01,0,1,1,18,21,False
2014-04-01,0,1,1,15,16,False
2014-05-01,0,1,1,15,19,False
2014-06-01,0,0,1,13,16,False
2014-07-01,0,1,0,18,19,False
2014-08-01,0,2,1,16,25,False
2014-09-01,1,1,0,16,26,False
2014-10-01,0,2,1,16,21,False
2014-11-01,1,2,1,13,19,False
2014-12-01,0,1,0,13,16,False
2015-01-01,0,1,3,14,16,False
2015-02-01,1,1,1,14,20,False
2015-03-01,0,1,1,13,27,False
2015-04-01,0,1,1,11,28,False
2015-05-01,0,1,1,12,75,False
2015-06-01,0,1,1,13,33,False
2015-07-01,0,1,0,12,38,False
2015-08-01,0,1,0,16,26,False
2015-09-01,0,2,1,16,22,False
2015-10-01,0,1,1,15,18,False
2015-11-01,0,1,1,14,17,False
2015-12-01,0,1,1,11,15,False
2016-01-01,0,2,1,12,18,False
2016-02-01,0,2,1,12,18,False
2016-03-01,0,1,2,12,19,False
2016-04-01,0,1,1,13,14,False
2016-05-01,1,2,1,14,24,False
2016-06-01,0,1,1,13,19,False
2016-07-01,0,1,1,12,21,False
2016-08-01,0,1,1,14,13,False
2016-09-01,0,1,0,12,19,False
2016-10-01,0,1,0,19,18,False
2016-11-01,0,1,1,11,25,False
2016-12-01,0,1,1,10,14,False
2017-01-01,0,1,1,14,13,False
2017-02-01,0,1,1,17,16,False
2017-03-01,1,1,1,13,14,False
2017-04-01,0,1,1,17,14,False
2017-05-01,0,1,1,11,18,False
2017-06-01,0,1,0,17,14,False
2017-07-01,0,1,0,17,15,False
2017-08-01,0,1,1,11,13,False
2017-09-01,0,1,1,12,13,False
2017-10-01,0,1,1,11,12,False
2017-11-01,0,1,1,12,11,False
2017-12-01,0,1,1,17,10,False
2018-01-01,0,1,1,14,14,False
2018-02-01,0,1,1,12,13,False
2018-03-01,0,1,1,10,10,False
2018-04-01,0,1,1,13,12,False
2018-05-01,0,1,1,13,13,False
2018-06-01,0,2,1,11,13,False
2018-07-01,0,1,1,14,12,False
2018-08-01,0,1,0,14,13,False
2018-09-01,0,2,0,11,14,False
2018-10-01,0,1,1,13,15,False
2018-11-01,0,1,1,11,13,False
2018-12-01,0,1,1,10,12,False
2019-01-01,0,1,1,11,12,False
2019-02-01,0,1,1,10,14,False
2019-03-01,0,2,1,12,12,False
2019-04-01,0,1,1,10,14,False
2019-05-01,0,1,1,12,12,False
2019-06-01,0,1,3,11,13,False
2019-07-01,0,2,1,13,18,False
2019-08-01,0,2,0,12,15,False
2019-09-01,0,1,1,11,13,False
2019-10-01,0,1,2,10,12,False
2019-11-01,0,1,1,9,12,False
2019-12-01,0,1,1,11,14,False
2020-01-01,0,1,1,11,21,False
2020-02-01,0,1,0,12,40,False
2020-03-01,0,2,1,10,16,False
2020-04-01,0,1,1,16,13,False
2020-05-01,0,2,1,14,10,False
2020-06-01,0,1,1,11,12,False
2020-07-01,0,1,0,11,25,False
2020-08-01,0,1,1,10,20,False
2020-09-01,0,1,0,10,14,False
2020-10-01,0,1,1,13,16,False
