date,Joan Halifax,Edward Tenner,Sarah Kaminsky,Lee Cronin,Iraola,isPartial
2012-03-01,4,1,1,1,54,False
2012-04-01,4,1,1,2,34,False
2012-05-01,6,1,1,4,41,False
2012-06-01,5,1,1,3,32,False
2012-07-01,3,1,1,5,23,False
2012-08-01,4,1,1,3,24,False
2012-09-01,3,1,0,4,26,False
2012-10-01,3,1,1,2,25,False
2012-11-01,4,1,1,2,27,False
2012-12-01,4,2,1,3,23,False
2013-01-01,8,1,0,2,24,False
2013-02-01,6,1,1,4,25,False
2013-03-01,4,1,1,3,23,False
2013-04-01,5,1,2,2,25,False
2013-05-01,4,1,1,4,21,False
2013-06-01,4,1,1,4,23,False
2013-07-01,4,0,1,3,23,False
2013-08-01,4,1,1,2,24,False
2013-09-01,5,1,1,3,30,False
2013-10-01,4,1,1,2,26,False
2013-11-01,3,1,1,2,24,False
2013-12-01,6,1,1,3,25,False
2014-01-01,6,1,1,4,22,False
2014-02-01,4,1,0,2,25,False
2014-03-01,5,1,0,2,28,False
2014-04-01,7,1,1,3,22,False
2014-05-01,3,1,1,3,25,False
2014-06-01,5,1,1,2,21,False
2014-07-01,5,1,1,1,26,False
2014-08-01,5,0,0,3,34,False
2014-09-01,7,1,1,4,35,False
2014-10-01,4,1,1,3,27,False
2014-11-01,5,1,0,3,26,False
2014-12-01,4,1,0,3,22,False
2015-01-01,8,1,1,2,21,False
2015-02-01,5,1,1,2,26,False
2015-03-01,4,0,1,4,37,False
2015-04-01,3,1,1,1,38,False
2015-05-01,5,0,0,1,100,False
2015-06-01,4,1,1,2,44,False
2015-07-01,3,0,1,2,50,False
2015-08-01,2,0,0,2,34,False
2015-09-01,4,0,0,2,30,False
2015-10-01,2,1,0,2,24,False
2015-11-01,3,0,0,1,23,False
2015-12-01,6,0,0,2,20,False
2016-01-01,3,0,0,1,24,False
2016-02-01,4,0,1,3,23,False
2016-03-01,4,0,1,2,26,False
2016-04-01,3,1,1,4,18,False
2016-05-01,3,0,0,1,32,False
2016-06-01,2,0,0,2,26,False
2016-07-01,3,1,1,2,28,False
2016-08-01,4,0,1,1,18,False
2016-09-01,3,1,2,2,25,False
2016-10-01,3,0,1,2,24,False
2016-11-01,4,0,1,1,33,False
2016-12-01,3,0,1,2,19,False
2017-01-01,3,1,1,1,18,False
2017-02-01,3,0,1,1,21,False
2017-03-01,4,0,0,2,18,False
2017-04-01,2,0,0,2,19,False
2017-05-01,4,0,1,3,24,False
2017-06-01,3,0,1,2,19,False
2017-07-01,2,0,1,3,20,False
2017-08-01,2,0,1,1,18,False
2017-09-01,3,0,1,3,18,False
2017-10-01,10,0,7,2,16,False
2017-11-01,4,1,2,2,14,False
2017-12-01,5,1,1,4,14,False
2018-01-01,5,0,1,2,19,False
2018-02-01,6,1,2,3,17,False
2018-03-01,4,0,1,3,14,False
2018-04-01,4,1,0,4,16,False
2018-05-01,4,1,1,2,17,False
2018-06-01,5,1,0,2,17,False
2018-07-01,5,1,0,2,16,False
2018-08-01,5,0,1,2,17,False
2018-09-01,3,1,0,3,18,False
2018-10-01,3,0,0,3,20,False
2018-11-01,3,0,1,1,17,False
2018-12-01,2,0,0,2,16,False
2019-01-01,3,1,1,5,16,False
2019-02-01,5,0,1,4,19,False
2019-03-01,3,1,0,4,15,False
2019-04-01,5,0,0,3,19,False
2019-05-01,3,0,1,3,16,False
2019-06-01,5,1,0,2,17,False
2019-07-01,3,0,0,2,24,False
2019-08-01,4,1,0,12,20,False
2019-09-01,3,0,1,10,17,False
2019-10-01,3,0,1,5,16,False
2019-11-01,4,0,0,5,16,False
2019-12-01,3,0,0,6,19,False
2020-01-01,4,1,1,3,28,False
2020-02-01,4,1,1,6,54,False
2020-03-01,2,1,1,8,21,False
2020-04-01,5,1,0,4,17,False
2020-05-01,4,0,0,4,14,False
2020-06-01,4,0,0,8,16,False
2020-07-01,4,0,0,2,34,False
2020-08-01,4,0,0,3,27,False
2020-09-01,3,1,1,3,19,False
2020-10-01,3,0,0,4,21,False
