date,Jon Nguyen,Nirmalya Kumar,Massimo Banzi,Don Tapscott,Iraola,isPartial
2008-03-01,5,2,0,4,25,False
2008-04-01,2,2,2,5,27,False
2008-05-01,4,2,5,11,27,False
2008-06-01,4,2,0,9,24,False
2008-07-01,2,2,2,6,15,False
2008-08-01,2,2,0,5,32,False
2008-09-01,2,3,2,10,35,False
2008-10-01,3,0,4,6,30,False
2008-11-01,0,4,0,11,31,False
2008-12-01,2,2,0,10,25,False
2009-01-01,2,2,0,12,30,False
2009-02-01,4,0,4,9,35,False
2009-03-01,3,2,2,11,24,False
2009-04-01,2,5,2,8,32,False
2009-05-01,3,2,0,10,39,False
2009-06-01,2,2,2,10,27,False
2009-07-01,2,2,2,7,26,False
2009-08-01,2,2,2,8,32,False
2009-09-01,2,3,0,8,38,False
2009-10-01,1,2,1,11,28,False
2009-11-01,3,2,1,12,36,False
2009-12-01,3,1,2,5,27,False
2010-01-01,1,1,1,7,35,False
2010-02-01,1,1,1,7,18,False
2010-03-01,4,2,2,9,26,False
2010-04-01,3,3,2,5,27,False
2010-05-01,2,2,1,6,24,False
2010-06-01,1,3,2,10,29,False
2010-07-01,2,0,1,5,20,False
2010-08-01,3,1,1,6,27,False
2010-09-01,1,2,2,8,32,False
2010-10-01,3,1,1,9,34,False
2010-11-01,2,1,1,8,42,False
2010-12-01,2,1,2,3,34,False
2011-01-01,3,1,3,9,28,False
2011-02-01,2,1,3,6,38,False
2011-03-01,2,2,1,9,46,False
2011-04-01,2,2,3,7,34,False
2011-05-01,2,2,2,9,31,False
2011-06-01,1,2,2,5,33,False
2011-07-01,1,1,3,8,28,False
2011-08-01,1,2,1,5,42,False
2011-09-01,3,1,2,5,34,False
2011-10-01,2,3,2,7,32,False
2011-11-01,2,3,2,6,28,False
2011-12-01,2,1,3,5,27,False
2012-01-01,2,2,1,7,25,False
2012-02-01,2,2,2,6,30,False
2012-03-01,1,2,4,9,54,False
2012-04-01,1,1,3,4,34,False
2012-05-01,2,0,2,4,41,False
2012-06-01,1,2,2,6,32,False
2012-07-01,2,2,4,10,23,False
2012-08-01,3,2,3,7,24,False
2012-09-01,2,2,3,6,26,False
2012-10-01,2,2,4,8,25,False
2012-11-01,1,2,2,7,27,False
2012-12-01,2,2,4,3,23,False
2013-01-01,1,1,2,4,24,False
2013-02-01,1,1,2,6,25,False
2013-03-01,1,1,3,4,23,False
2013-04-01,2,1,3,6,25,False
2013-05-01,2,2,4,5,21,False
2013-06-01,1,1,2,4,23,False
2013-07-01,3,9,3,4,23,False
2013-08-01,3,1,2,3,24,False
2013-09-01,1,3,2,3,30,False
2013-10-01,2,2,4,5,26,False
2013-11-01,1,2,3,6,24,False
2013-12-01,1,2,3,3,25,False
2014-01-01,2,2,4,3,22,False
2014-02-01,3,2,3,3,25,False
2014-03-01,1,2,3,5,28,False
2014-04-01,1,1,3,3,22,False
2014-05-01,2,1,3,3,25,False
2014-06-01,1,1,3,5,21,False
2014-07-01,1,2,2,2,26,False
2014-08-01,2,2,2,2,34,False
2014-09-01,2,1,5,2,35,False
2014-10-01,1,2,5,3,27,False
2014-11-01,1,2,2,3,26,False
2014-12-01,2,1,2,4,22,False
2015-01-01,1,2,3,2,21,False
2015-02-01,2,1,3,4,26,False
2015-03-01,1,1,3,3,37,False
2015-04-01,1,1,3,4,38,False
2015-05-01,2,1,3,3,100,False
2015-06-01,2,1,3,2,44,False
2015-07-01,2,2,1,2,50,False
2015-08-01,1,3,2,2,34,False
2015-09-01,1,1,1,3,30,False
2015-10-01,2,1,3,3,24,False
2015-11-01,2,1,3,3,23,False
2015-12-01,2,0,1,1,20,False
2016-01-01,1,1,2,3,24,False
2016-02-01,2,1,1,2,23,False
2016-03-01,1,1,3,3,26,False
2016-04-01,1,0,2,3,18,False
2016-05-01,2,0,2,4,32,False
2016-06-01,2,1,2,4,26,False
2016-07-01,2,1,1,2,28,False
2016-08-01,1,1,2,6,18,False
2016-09-01,2,2,1,6,25,False
2016-10-01,2,2,1,5,24,False
2016-11-01,1,13,1,6,33,False
2016-12-01,1,1,1,4,19,False
2017-01-01,1,1,1,4,18,False
2017-02-01,1,1,1,5,21,False
2017-03-01,2,1,1,4,18,False
2017-04-01,1,1,2,5,19,False
2017-05-01,1,1,2,4,24,False
2017-06-01,1,1,1,4,19,False
2017-07-01,1,2,0,4,20,False
2017-08-01,2,1,1,6,18,False
2017-09-01,2,2,3,6,18,False
2017-10-01,2,1,2,7,16,False
2017-11-01,1,1,1,6,14,False
2017-12-01,2,0,2,8,14,False
2018-01-01,1,1,2,12,19,False
2018-02-01,2,1,2,7,17,False
2018-03-01,1,1,1,6,14,False
2018-04-01,1,1,2,5,16,False
2018-05-01,1,1,1,5,17,False
2018-06-01,1,1,1,5,17,False
2018-07-01,1,1,2,3,16,False
2018-08-01,1,1,1,3,17,False
2018-09-01,0,1,1,4,18,False
2018-10-01,1,1,2,4,20,False
2018-11-01,2,1,1,4,17,False
2018-12-01,1,0,1,3,16,False
2019-01-01,1,0,1,4,16,False
2019-02-01,1,0,1,3,19,False
2019-03-01,1,1,1,3,15,False
2019-04-01,1,1,0,3,19,False
2019-05-01,1,1,1,3,16,False
2019-06-01,1,1,1,2,17,False
2019-07-01,2,1,1,1,24,False
2019-08-01,1,1,1,3,20,False
2019-09-01,1,1,1,4,17,False
2019-10-01,2,0,2,3,16,False
2019-11-01,1,0,1,2,16,False
2019-12-01,0,1,1,2,19,False
2020-01-01,1,0,1,3,28,False
2020-02-01,1,1,1,2,54,False
2020-03-01,0,0,1,2,21,False
2020-04-01,1,0,1,1,17,False
2020-05-01,2,0,1,2,14,False
2020-06-01,2,1,1,1,16,False
2020-07-01,1,1,0,1,34,False
2020-08-01,1,1,0,2,27,False
2020-09-01,1,1,1,2,19,False
2020-10-01,1,1,1,2,21,False
