date,Ken Robinson,Al Gore,David Pogue,Majora Carter,Iraola,isPartial
2019-09-01,1,7,0,0,0,False
2019-10-01,1,6,0,0,0,False
2019-11-01,1,5,0,0,0,False
2019-12-01,1,5,0,0,0,False
2020-01-01,1,5,0,0,1,False
2020-02-01,1,5,0,0,1,False
2020-03-01,1,5,0,0,1,False
2020-04-01,1,6,0,0,0,False
2020-05-01,1,6,0,0,0,False
2020-06-01,1,4,0,0,0,False
2020-07-01,1,5,0,0,1,False
2020-08-01,6,6,0,0,1,False
2020-09-01,2,6,0,0,1,False
2020-10-01,1,8,0,0,1,False
2020-11-01,1,15,0,0,1,True
