date,Ed Yong,Del Harvey,Hugh Herr,Geena Rocero,Iraola,isPartial
2010-11-01,1,6,1,1,22,False
2010-12-01,1,7,2,0,18,False
2011-01-01,1,7,1,1,15,False
2011-02-01,1,5,1,1,20,False
2011-03-01,0,7,1,0,24,False
2011-04-01,1,7,1,0,18,False
2011-05-01,1,6,2,0,16,False
2011-06-01,2,7,1,1,17,False
2011-07-01,1,5,1,0,14,False
2011-08-01,2,11,7,0,22,False
2011-09-01,1,9,3,0,18,False
2011-10-01,1,10,1,0,17,False
2011-11-01,1,7,3,1,15,False
2011-12-01,1,9,2,1,14,False
2012-01-01,1,8,1,1,13,False
2012-02-01,1,6,2,0,16,False
2012-03-01,1,6,2,0,28,False
2012-04-01,1,7,2,0,18,False
2012-05-01,2,5,2,0,21,False
2012-06-01,1,6,3,0,17,False
2012-07-01,2,7,2,0,12,False
2012-08-01,2,6,5,0,12,False
2012-09-01,2,7,2,0,14,False
2012-10-01,2,7,2,0,13,False
2012-11-01,2,9,1,0,14,False
2012-12-01,1,8,2,0,12,False
2013-01-01,3,5,2,0,12,False
2013-02-01,2,7,2,0,13,False
2013-03-01,2,7,2,0,12,False
2013-04-01,1,5,3,0,13,False
2013-05-01,2,7,2,1,11,False
2013-06-01,2,5,1,0,12,False
2013-07-01,1,7,1,0,12,False
2013-08-01,2,8,1,0,13,False
2013-09-01,1,8,1,0,16,False
2013-10-01,2,7,2,1,14,False
2013-11-01,2,7,2,0,13,False
2013-12-01,1,6,1,0,13,False
2014-01-01,1,6,1,0,12,False
2014-02-01,1,6,3,1,13,False
2014-03-01,3,7,9,13,15,False
2014-04-01,4,8,9,100,11,False
2014-05-01,2,6,7,22,13,False
2014-06-01,2,8,4,9,11,False
2014-07-01,1,6,4,4,13,False
2014-08-01,1,7,3,46,18,False
2014-09-01,1,7,7,27,19,False
2014-10-01,1,8,5,11,14,False
2014-11-01,3,5,5,7,14,False
2014-12-01,1,5,4,7,11,False
2015-01-01,2,6,4,4,11,False
2015-02-01,1,8,4,5,14,False
2015-03-01,1,5,6,5,19,False
2015-04-01,2,6,4,17,20,False
2015-05-01,2,5,4,9,53,False
2015-06-01,1,5,4,17,23,False
2015-07-01,1,4,4,18,26,False
2015-08-01,1,7,4,10,18,False
2015-09-01,2,8,3,6,16,False
2015-10-01,2,10,4,7,13,False
2015-11-01,2,7,3,8,12,False
2015-12-01,1,18,3,4,11,False
2016-01-01,1,9,3,3,13,False
2016-02-01,2,6,3,4,12,False
2016-03-01,1,6,3,4,13,False
2016-04-01,1,7,2,5,10,False
2016-05-01,1,6,3,3,17,False
2016-06-01,1,6,17,2,13,False
2016-07-01,1,5,3,2,15,False
2016-08-01,5,5,3,2,9,False
2016-09-01,3,6,4,4,13,False
2016-10-01,3,6,11,3,13,False
2016-11-01,2,5,4,2,17,False
2016-12-01,2,5,5,2,10,False
2017-01-01,2,6,4,2,9,False
2017-02-01,2,5,6,4,11,False
2017-03-01,3,6,5,2,9,False
2017-04-01,2,6,5,2,10,False
2017-05-01,2,7,3,3,12,False
2017-06-01,3,4,3,2,10,False
2017-07-01,2,4,2,2,10,False
2017-08-01,2,83,2,1,9,False
2017-09-01,1,31,4,2,9,False
2017-10-01,3,32,2,2,8,False
2017-11-01,2,16,3,2,7,False
2017-12-01,2,9,3,1,7,False
2018-01-01,2,9,3,2,10,False
2018-02-01,3,10,3,2,9,False
2018-03-01,2,8,3,3,7,False
2018-04-01,2,7,2,2,9,False
2018-05-01,2,9,3,3,9,False
2018-06-01,2,6,4,2,9,False
2018-07-01,1,7,3,2,8,False
2018-08-01,2,7,2,2,9,False
2018-09-01,2,7,3,2,10,False
2018-10-01,2,5,3,2,10,False
2018-11-01,2,6,3,3,9,False
2018-12-01,2,6,3,6,8,False
2019-01-01,2,5,4,7,8,False
2019-02-01,2,5,4,2,10,False
2019-03-01,2,5,3,2,8,False
2019-04-01,2,5,2,2,10,False
2019-05-01,1,7,2,1,8,False
2019-06-01,1,5,4,8,9,False
2019-07-01,1,4,2,3,13,False
2019-08-01,1,6,2,12,10,False
2019-09-01,1,6,3,5,9,False
2019-10-01,2,7,2,3,9,False
2019-11-01,1,6,3,3,9,False
2019-12-01,1,5,2,1,10,False
2020-01-01,2,7,2,2,15,False
2020-02-01,1,7,2,1,28,False
2020-03-01,12,8,2,3,11,False
2020-04-01,12,7,2,3,9,False
2020-05-01,10,9,1,2,7,False
2020-06-01,3,7,2,3,8,False
2020-07-01,6,6,2,3,18,False
2020-08-01,15,6,2,2,14,False
2020-09-01,9,5,2,1,10,False
2020-10-01,2,5,2,1,11,False
