date,Andy Hobsbawm,Gregory Petsko,Richard Preston,Philip Rosedale,Iraola,isPartial
2017-11-01,0,0,9,1,14,False
2017-12-01,0,0,8,0,14,False
2018-01-01,0,0,10,0,19,False
2018-02-01,0,0,6,1,17,False
2018-03-01,0,0,9,1,14,False
2018-04-01,0,0,9,0,16,False
2018-05-01,0,0,10,0,17,False
2018-06-01,1,0,8,1,17,False
2018-07-01,0,0,9,1,16,False
2018-08-01,0,0,14,1,17,False
2018-09-01,0,0,8,1,18,False
2018-10-01,0,0,6,1,20,False
2018-11-01,0,1,7,1,17,False
2018-12-01,0,0,7,0,16,False
2019-01-01,0,0,7,0,16,False
2019-02-01,0,1,7,1,19,False
2019-03-01,0,0,8,2,15,False
2019-04-01,0,0,10,1,19,False
2019-05-01,0,0,13,1,16,False
2019-06-01,0,0,11,0,17,False
2019-07-01,0,0,8,1,24,False
2019-08-01,0,0,9,1,20,False
2019-09-01,0,0,9,1,17,False
2019-10-01,0,1,9,0,16,False
2019-11-01,0,0,7,0,16,False
2019-12-01,0,0,11,1,19,False
2020-01-01,0,1,9,1,28,False
2020-02-01,0,0,10,1,54,False
2020-03-01,0,0,11,1,21,False
2020-04-01,0,1,14,1,17,False
2020-05-01,0,0,11,1,14,False
2020-06-01,0,0,9,0,16,False
2020-07-01,0,1,21,1,34,False
2020-08-01,0,1,8,1,27,False
2020-09-01,0,0,9,0,19,False
2020-10-01,0,0,8,0,21,False
