date,Tom Thum,John Searle,Kate Stone,Roberto D'Angelo + Francesca Fedeli,Iraola,isPartial
2011-06-01,2,24,43,2,33,False
2011-07-01,2,18,64,2,28,False
2011-08-01,3,17,66,0,42,False
2011-09-01,1,16,45,2,34,False
2011-10-01,3,18,38,1,32,False
2011-11-01,3,24,43,0,28,False
2011-12-01,3,14,56,2,27,False
2012-01-01,3,16,56,1,25,False
2012-02-01,4,22,74,0,30,False
2012-03-01,3,19,46,1,54,False
2012-04-01,2,22,52,1,34,False
2012-05-01,4,19,47,1,41,False
2012-06-01,3,20,66,1,32,False
2012-07-01,2,12,85,0,23,False
2012-08-01,4,12,60,0,24,False
2012-09-01,5,15,96,0,26,False
2012-10-01,2,20,56,1,25,False
2012-11-01,2,17,58,1,27,False
2012-12-01,2,17,91,1,23,False
2013-01-01,3,16,64,0,24,False
2013-02-01,3,21,71,0,25,False
2013-03-01,3,19,61,1,23,False
2013-04-01,3,18,83,1,25,False
2013-05-01,5,16,53,1,21,False
2013-06-01,2,12,58,2,23,False
2013-07-01,92,20,86,1,23,False
2013-08-01,29,17,57,1,24,False
2013-09-01,20,18,50,1,30,False
2013-10-01,22,18,43,1,26,False
2013-11-01,23,20,41,1,24,False
2013-12-01,19,19,55,1,25,False
2014-01-01,23,15,64,1,22,False
2014-02-01,27,13,71,1,25,False
2014-03-01,23,18,52,0,28,False
2014-04-01,20,16,70,1,22,False
2014-05-01,24,13,99,1,25,False
2014-06-01,21,16,71,1,21,False
2014-07-01,24,14,61,1,26,False
2014-08-01,25,13,65,1,34,False
2014-09-01,23,17,74,1,35,False
2014-10-01,22,15,44,1,27,False
2014-11-01,24,13,44,1,26,False
2014-12-01,24,13,56,1,22,False
2015-01-01,21,12,68,1,21,False
2015-02-01,23,17,54,1,26,False
2015-03-01,21,16,48,1,37,False
2015-04-01,26,16,51,1,38,False
2015-05-01,18,18,59,1,100,False
2015-06-01,13,14,56,1,44,False
2015-07-01,21,11,50,1,50,False
2015-08-01,21,10,49,1,34,False
2015-09-01,22,17,50,1,30,False
2015-10-01,20,14,42,1,24,False
2015-11-01,17,16,43,1,23,False
2015-12-01,15,13,50,2,20,False
2016-01-01,15,13,63,1,24,False
2016-02-01,18,14,46,1,23,False
2016-03-01,20,15,42,0,26,False
2016-04-01,21,15,45,0,18,False
2016-05-01,15,12,39,0,32,False
2016-06-01,13,13,38,1,26,False
2016-07-01,14,10,37,1,28,False
2016-08-01,11,12,30,1,18,False
2016-09-01,13,15,33,1,25,False
2016-10-01,12,13,33,0,24,False
2016-11-01,13,25,37,0,33,False
2016-12-01,11,13,45,1,19,False
2017-01-01,12,11,49,0,18,False
2017-02-01,14,12,52,0,21,False
2017-03-01,14,33,37,1,18,False
2017-04-01,11,23,36,1,19,False
2017-05-01,9,15,30,0,24,False
2017-06-01,10,12,32,1,19,False
2017-07-01,9,9,32,1,20,False
2017-08-01,9,10,36,0,18,False
2017-09-01,7,11,33,1,18,False
2017-10-01,7,15,35,1,16,False
2017-11-01,8,15,32,1,14,False
2017-12-01,7,11,35,1,14,False
2018-01-01,8,11,38,1,19,False
2018-02-01,6,10,30,1,17,False
2018-03-01,5,11,30,1,14,False
2018-04-01,7,14,30,1,16,False
2018-05-01,6,10,35,1,17,False
2018-06-01,5,10,39,1,17,False
2018-07-01,6,12,25,1,16,False
2018-08-01,5,7,39,1,17,False
2018-09-01,6,12,32,1,18,False
2018-10-01,7,10,29,0,20,False
2018-11-01,7,10,30,1,17,False
2018-12-01,6,9,36,1,16,False
2019-01-01,6,9,37,1,16,False
2019-02-01,7,10,30,1,19,False
2019-03-01,8,13,28,0,15,False
2019-04-01,7,11,33,1,19,False
2019-05-01,5,8,26,0,16,False
2019-06-01,5,11,27,0,17,False
2019-07-01,3,8,32,0,24,False
2019-08-01,4,10,26,1,20,False
2019-09-01,7,9,22,1,17,False
2019-10-01,6,8,26,1,16,False
2019-11-01,6,8,27,1,16,False
2019-12-01,4,6,26,0,19,False
2020-01-01,2,6,26,1,28,False
2020-02-01,6,6,26,1,54,False
2020-03-01,4,8,20,1,21,False
2020-04-01,5,9,30,1,17,False
2020-05-01,6,10,31,1,14,False
2020-06-01,5,10,23,0,16,False
2020-07-01,4,7,23,0,34,False
2020-08-01,4,6,25,1,27,False
2020-09-01,4,6,23,1,19,False
2020-10-01,5,7,23,0,21,False
