date,Michael Pollan,Howard Rheingold,Pamelia Kurstin,George Dyson,Iraola,isPartial
2008-07-01,28,1,1,2,7,False
2008-08-01,26,2,2,2,14,False
2008-09-01,22,2,1,3,16,False
2008-10-01,43,3,1,5,13,False
2008-11-01,40,3,2,3,14,False
2008-12-01,48,3,1,1,11,False
2009-01-01,34,2,1,3,13,False
2009-02-01,40,2,1,2,15,False
2009-03-01,44,2,3,2,11,False
2009-04-01,48,4,1,2,14,False
2009-05-01,50,2,1,2,17,False
2009-06-01,43,2,1,1,12,False
2009-07-01,41,5,1,2,12,False
2009-08-01,53,1,1,2,14,False
2009-09-01,55,3,1,2,17,False
2009-10-01,55,3,1,4,12,False
2009-11-01,45,3,1,2,16,False
2009-12-01,42,3,1,2,12,False
2010-01-01,100,3,1,3,15,False
2010-02-01,85,1,1,2,8,False
2010-03-01,76,2,2,2,11,False
2010-04-01,63,2,1,2,12,False
2010-05-01,46,3,1,2,10,False
2010-06-01,42,4,1,2,13,False
2010-07-01,36,2,1,2,9,False
2010-08-01,47,2,1,2,12,False
2010-09-01,36,3,1,2,14,False
2010-10-01,43,2,1,2,15,False
2010-11-01,44,2,1,3,18,False
2010-12-01,35,3,1,3,15,False
2011-01-01,40,2,1,2,12,False
2011-02-01,56,2,1,2,17,False
2011-03-01,37,2,1,2,20,False
2011-04-01,44,1,1,2,15,False
2011-05-01,31,2,1,2,14,False
2011-06-01,25,1,1,2,14,False
2011-07-01,22,1,2,2,12,False
2011-08-01,25,1,1,1,18,False
2011-09-01,31,2,1,2,15,False
2011-10-01,33,1,0,3,14,False
2011-11-01,38,1,1,2,12,False
2011-12-01,28,1,1,2,12,False
2012-01-01,30,1,1,2,11,False
2012-02-01,32,2,1,2,13,False
2012-03-01,30,1,1,6,24,False
2012-04-01,29,2,0,3,15,False
2012-05-01,26,3,1,3,18,False
2012-06-01,20,1,1,2,14,False
2012-07-01,25,2,0,2,10,False
2012-08-01,23,1,1,2,10,False
2012-09-01,28,1,0,2,11,False
2012-10-01,29,1,0,2,11,False
2012-11-01,25,2,1,2,12,False
2012-12-01,22,1,1,2,10,False
2013-01-01,28,2,1,1,10,False
2013-02-01,26,2,0,1,11,False
2013-03-01,26,2,1,4,10,False
2013-04-01,52,2,1,2,11,False
2013-05-01,62,2,1,2,9,False
2013-06-01,41,2,1,1,10,False
2013-07-01,31,1,0,2,10,False
2013-08-01,29,0,0,2,11,False
2013-09-01,47,1,1,2,13,False
2013-10-01,35,1,0,1,11,False
2013-11-01,29,1,0,2,10,False
2013-12-01,26,1,0,1,11,False
2014-01-01,31,1,0,2,10,False
2014-02-01,28,1,0,2,11,False
2014-03-01,27,1,1,2,12,False
2014-04-01,33,1,0,2,10,False
2014-05-01,32,1,0,2,11,False
2014-06-01,22,1,0,1,9,False
2014-07-01,22,1,1,2,11,False
2014-08-01,26,1,0,1,15,False
2014-09-01,20,1,0,1,15,False
2014-10-01,28,1,0,2,12,False
2014-11-01,24,1,0,2,11,False
2014-12-01,19,0,0,1,10,False
2015-01-01,20,1,0,2,9,False
2015-02-01,21,1,0,1,12,False
2015-03-01,25,1,1,1,16,False
2015-04-01,21,1,0,2,16,False
2015-05-01,21,1,0,3,44,False
2015-06-01,16,1,0,1,19,False
2015-07-01,19,1,0,2,22,False
2015-08-01,16,0,0,2,15,False
2015-09-01,18,1,0,2,13,False
2015-10-01,37,1,0,2,11,False
2015-11-01,17,1,0,2,10,False
2015-12-01,25,1,0,2,9,False
2016-01-01,30,1,0,1,11,False
2016-02-01,44,1,0,2,10,False
2016-03-01,53,0,0,1,11,False
2016-04-01,40,0,1,1,8,False
2016-05-01,25,1,0,2,14,False
2016-06-01,23,1,0,1,11,False
2016-07-01,20,1,0,1,12,False
2016-08-01,17,0,0,1,8,False
2016-09-01,19,1,0,1,11,False
2016-10-01,20,1,0,2,10,False
2016-11-01,18,1,0,2,15,False
2016-12-01,15,0,0,5,8,False
2017-01-01,19,0,0,1,8,False
2017-02-01,25,0,0,2,9,False
2017-03-01,21,0,0,2,8,False
2017-04-01,20,1,0,1,8,False
2017-05-01,20,1,0,2,10,False
2017-06-01,17,1,0,2,8,False
2017-07-01,17,0,0,2,9,False
2017-08-01,16,1,0,2,8,False
2017-09-01,16,0,0,2,8,False
2017-10-01,16,0,0,1,7,False
2017-11-01,17,1,0,3,6,False
2017-12-01,13,0,0,3,6,False
2018-01-01,19,0,0,2,8,False
2018-02-01,20,1,0,2,7,False
2018-03-01,20,0,0,1,6,False
2018-04-01,19,0,0,2,7,False
2018-05-01,80,0,0,2,7,False
2018-06-01,53,1,0,2,8,False
2018-07-01,36,0,0,2,7,False
2018-08-01,29,0,0,2,8,False
2018-09-01,28,0,0,1,8,False
2018-10-01,26,1,0,2,9,False
2018-11-01,25,1,0,3,7,False
2018-12-01,34,1,0,3,7,False
2019-01-01,32,0,0,2,7,False
2019-02-01,28,0,0,2,8,False
2019-03-01,28,1,0,1,7,False
2019-04-01,31,0,0,2,8,False
2019-05-01,30,0,0,2,7,False
2019-06-01,25,0,0,2,7,False
2019-07-01,27,0,0,2,11,False
2019-08-01,22,0,0,2,9,False
2019-09-01,22,0,0,1,8,False
2019-10-01,23,0,0,2,7,False
2019-11-01,22,1,0,3,7,False
2019-12-01,23,0,0,3,8,False
2020-01-01,23,0,0,2,12,False
2020-02-01,36,0,0,2,24,False
2020-03-01,23,0,0,1,9,False
2020-04-01,25,0,0,2,7,False
2020-05-01,22,1,0,3,6,False
2020-06-01,19,0,0,3,7,False
2020-07-01,18,0,0,2,15,False
2020-08-01,19,0,0,2,12,False
2020-09-01,18,0,0,2,8,False
2020-10-01,17,0,0,2,9,False
