date,Andrew Mwenda,Theo Jansen,Steven Pinker,Deborah Scranton,Iraola,isPartial
2009-03-01,1,19,25,1,12,False
2009-04-01,2,26,23,0,15,False
2009-05-01,2,21,15,0,19,False
2009-06-01,1,22,24,0,13,False
2009-07-01,2,16,21,0,13,False
2009-08-01,1,22,20,1,16,False
2009-09-01,1,23,24,1,19,False
2009-10-01,1,22,25,1,14,False
2009-11-01,2,34,29,1,18,False
2009-12-01,3,18,22,0,13,False
2010-01-01,1,19,18,0,17,False
2010-02-01,2,19,21,1,9,False
2010-03-01,1,20,19,1,13,False
2010-04-01,2,27,17,1,13,False
2010-05-01,1,25,22,1,12,False
2010-06-01,2,24,17,0,14,False
2010-07-01,1,15,16,1,10,False
2010-08-01,1,15,20,0,13,False
2010-09-01,1,35,21,1,16,False
2010-10-01,2,24,19,0,17,False
2010-11-01,2,30,24,1,21,False
2010-12-01,1,21,18,1,17,False
2011-01-01,2,21,16,0,14,False
2011-02-01,1,32,20,0,19,False
2011-03-01,2,21,19,0,22,False
2011-04-01,1,27,17,0,17,False
2011-05-01,2,44,16,1,15,False
2011-06-01,1,23,16,0,16,False
2011-07-01,0,24,16,0,13,False
2011-08-01,1,18,17,0,21,False
2011-09-01,2,37,24,0,17,False
2011-10-01,2,32,52,0,16,False
2011-11-01,1,23,43,0,14,False
2011-12-01,1,18,32,0,13,False
2012-01-01,1,23,28,0,12,False
2012-02-01,1,18,25,0,15,False
2012-03-01,3,16,29,0,27,False
2012-04-01,1,16,24,0,17,False
2012-05-01,1,15,19,1,20,False
2012-06-01,0,11,19,0,16,False
2012-07-01,1,11,16,0,11,False
2012-08-01,1,18,17,0,12,False
2012-09-01,1,14,21,0,13,False
2012-10-01,1,15,26,0,12,False
2012-11-01,2,15,24,0,13,False
2012-12-01,1,13,23,0,11,False
2013-01-01,1,22,22,1,12,False
2013-02-01,1,13,21,0,12,False
2013-03-01,0,11,24,0,11,False
2013-04-01,1,12,23,0,12,False
2013-05-01,1,12,21,0,10,False
2013-06-01,1,10,18,0,11,False
2013-07-01,1,11,20,0,12,False
2013-08-01,1,10,27,1,12,False
2013-09-01,0,11,27,0,15,False
2013-10-01,1,13,25,0,13,False
2013-11-01,1,21,25,0,12,False
2013-12-01,1,19,21,0,12,False
2014-01-01,1,10,20,0,11,False
2014-02-01,2,12,23,1,12,False
2014-03-01,1,20,22,0,14,False
2014-04-01,1,14,23,0,11,False
2014-05-01,1,15,19,1,12,False
2014-06-01,1,13,14,0,10,False
2014-07-01,1,11,17,0,13,False
2014-08-01,1,15,18,1,16,False
2014-09-01,1,13,29,0,17,False
2014-10-01,1,10,30,0,13,False
2014-11-01,1,13,27,0,13,False
2014-12-01,1,14,25,0,11,False
2015-01-01,1,9,26,0,10,False
2015-02-01,1,13,22,0,13,False
2015-03-01,1,10,21,0,18,False
2015-04-01,0,13,21,0,18,False
2015-05-01,1,9,19,0,49,False
2015-06-01,1,10,18,0,22,False
2015-07-01,2,7,15,0,25,False
2015-08-01,1,11,19,0,17,False
2015-09-01,1,14,20,0,15,False
2015-10-01,1,22,22,0,12,False
2015-11-01,1,16,24,0,11,False
2015-12-01,1,12,24,0,10,False
2016-01-01,1,15,22,0,12,False
2016-02-01,1,11,21,0,11,False
2016-03-01,1,10,19,0,13,False
2016-04-01,1,17,20,0,9,False
2016-05-01,1,10,16,0,16,False
2016-06-01,1,10,14,0,13,False
2016-07-01,1,6,13,0,14,False
2016-08-01,1,12,15,0,9,False
2016-09-01,0,10,18,0,12,False
2016-10-01,0,6,17,0,12,False
2016-11-01,1,8,19,0,16,False
2016-12-01,1,8,16,0,9,False
2017-01-01,0,11,20,0,9,False
2017-02-01,1,9,20,0,10,False
2017-03-01,1,6,18,0,9,False
2017-04-01,1,6,18,0,9,False
2017-05-01,1,12,35,0,12,False
2017-06-01,0,8,16,0,9,False
2017-07-01,0,6,18,0,10,False
2017-08-01,0,9,20,0,9,False
2017-09-01,1,7,19,0,9,False
2017-10-01,1,9,24,0,8,False
2017-11-01,1,7,20,0,7,False
2017-12-01,1,7,21,0,7,False
2018-01-01,0,7,38,0,9,False
2018-02-01,1,6,100,0,8,False
2018-03-01,1,7,64,0,7,False
2018-04-01,1,14,43,0,8,False
2018-05-01,1,13,43,0,8,False
2018-06-01,0,12,32,0,8,False
2018-07-01,1,7,31,0,8,False
2018-08-01,1,16,41,0,9,False
2018-09-01,2,9,38,0,9,False
2018-10-01,0,7,35,0,10,False
2018-11-01,1,8,42,0,8,False
2018-12-01,1,5,38,0,8,False
2019-01-01,1,8,37,0,8,False
2019-02-01,0,13,32,0,9,False
2019-03-01,1,9,31,0,8,False
2019-04-01,1,7,28,0,9,False
2019-05-01,1,7,30,0,8,False
2019-06-01,1,5,25,0,8,False
2019-07-01,1,6,27,0,12,False
2019-08-01,1,6,34,0,10,False
2019-09-01,1,6,31,0,8,False
2019-10-01,1,5,33,0,8,False
2019-11-01,1,6,28,0,8,False
2019-12-01,0,5,26,0,9,False
2020-01-01,0,6,26,0,14,False
2020-02-01,0,6,26,0,26,False
2020-03-01,1,5,23,0,10,False
2020-04-01,1,5,27,0,8,False
2020-05-01,1,7,23,1,7,False
2020-06-01,1,6,27,0,8,False
2020-07-01,1,12,60,0,17,False
2020-08-01,3,8,26,0,13,False
2020-09-01,1,9,27,0,9,False
2020-10-01,0,7,19,0,10,False
