date,Sugata Mitra,Ory Okolloh,Einstein the Parrot,Peter Hirshberg,Iraola,isPartial
2016-11-01,5,1,1,1,30,False
2016-12-01,4,1,1,0,17,False
2017-01-01,4,2,2,1,16,False
2017-02-01,4,1,2,0,19,False
2017-03-01,6,2,2,0,16,False
2017-04-01,6,1,10,0,17,False
2017-05-01,4,1,1,0,21,False
2017-06-01,4,1,2,0,17,False
2017-07-01,3,3,2,0,18,False
2017-08-01,5,1,1,0,16,False
2017-09-01,3,2,1,0,16,False
2017-10-01,5,1,1,0,14,False
2017-11-01,5,1,2,0,13,False
2017-12-01,5,1,1,0,12,False
2018-01-01,5,1,2,0,17,False
2018-02-01,4,1,1,0,15,False
2018-03-01,4,1,3,0,12,False
2018-04-01,4,1,1,1,15,False
2018-05-01,4,1,2,0,15,False
2018-06-01,4,1,2,0,15,False
2018-07-01,3,1,1,0,14,False
2018-08-01,3,1,1,0,16,False
2018-09-01,5,1,1,0,16,False
2018-10-01,3,1,1,1,18,False
2018-11-01,3,1,1,0,15,False
2018-12-01,2,1,1,0,14,False
2019-01-01,3,1,1,0,14,False
2019-02-01,5,0,1,0,17,False
2019-03-01,4,1,2,0,14,False
2019-04-01,2,0,2,0,17,False
2019-05-01,2,1,1,0,14,False
2019-06-01,3,1,0,0,15,False
2019-07-01,2,1,3,0,22,False
2019-08-01,8,1,1,0,17,False
2019-09-01,2,1,2,0,15,False
2019-10-01,3,1,1,1,15,False
2019-11-01,1,1,1,0,14,False
2019-12-01,2,1,1,0,17,False
2020-01-01,2,1,1,0,25,False
2020-02-01,2,1,2,0,48,False
2020-03-01,2,1,3,0,19,False
2020-04-01,3,1,1,0,15,False
2020-05-01,3,1,2,0,12,False
2020-06-01,2,1,3,0,14,False
2020-07-01,2,0,2,0,30,False
2020-08-01,2,1,2,0,24,False
2020-09-01,3,0,1,0,17,False
2020-10-01,2,0,3,0,19,False
