date,Jeff Speck,Amanda Bennett,Iwan Baan,Alessandro Acquisti,Iraola,isPartial
2013-03-01,2,13,4,1,23,False
2013-04-01,2,7,6,1,25,False
2013-05-01,2,14,6,1,21,False
2013-06-01,2,8,3,2,23,False
2013-07-01,1,12,4,1,23,False
2013-08-01,3,23,2,1,24,False
2013-09-01,3,12,2,1,30,False
2013-10-01,5,13,9,4,26,False
2013-11-01,3,8,6,2,24,False
2013-12-01,3,9,9,2,25,False
2014-01-01,3,12,8,1,22,False
2014-02-01,3,12,4,2,25,False
2014-03-01,3,9,6,2,28,False
2014-04-01,3,9,8,1,22,False
2014-05-01,3,11,5,1,25,False
2014-06-01,3,10,4,2,21,False
2014-07-01,1,10,5,2,26,False
2014-08-01,2,9,4,1,34,False
2014-09-01,4,9,4,1,35,False
2014-10-01,2,9,6,2,27,False
2014-11-01,4,10,4,2,26,False
2014-12-01,2,11,5,1,22,False
2015-01-01,2,8,6,1,21,False
2015-02-01,2,10,5,1,26,False
2015-03-01,3,8,5,1,37,False
2015-04-01,2,9,4,2,38,False
2015-05-01,1,7,4,1,100,False
2015-06-01,2,10,4,1,44,False
2015-07-01,1,11,3,2,50,False
2015-08-01,2,8,2,1,34,False
2015-09-01,1,8,3,1,30,False
2015-10-01,3,9,3,0,24,False
2015-11-01,1,8,2,1,23,False
2015-12-01,1,11,3,2,20,False
2016-01-01,2,7,5,1,24,False
2016-02-01,1,10,3,2,23,False
2016-03-01,2,7,3,1,26,False
2016-04-01,2,9,4,1,18,False
2016-05-01,2,10,4,1,32,False
2016-06-01,2,9,3,1,26,False
2016-07-01,1,7,2,1,28,False
2016-08-01,1,10,2,1,18,False
2016-09-01,2,9,3,1,25,False
2016-10-01,1,9,4,1,24,False
2016-11-01,1,7,2,1,33,False
2016-12-01,1,7,3,0,19,False
2017-01-01,2,8,2,1,18,False
2017-02-01,3,5,3,1,21,False
2017-03-01,3,8,3,1,18,False
2017-04-01,2,7,3,2,19,False
2017-05-01,1,5,2,1,24,False
2017-06-01,2,7,1,1,19,False
2017-07-01,1,6,2,1,20,False
2017-08-01,1,7,2,1,18,False
2017-09-01,2,5,3,1,18,False
2017-10-01,2,6,2,1,16,False
2017-11-01,2,6,3,0,14,False
2017-12-01,1,6,2,0,14,False
2018-01-01,1,6,3,1,19,False
2018-02-01,3,4,3,1,17,False
2018-03-01,2,7,2,1,14,False
2018-04-01,1,5,3,1,16,False
2018-05-01,1,11,3,1,17,False
2018-06-01,2,7,3,1,17,False
2018-07-01,2,6,2,1,16,False
2018-08-01,2,10,1,1,17,False
2018-09-01,3,7,2,0,18,False
2018-10-01,3,6,2,1,20,False
2018-11-01,3,6,2,0,17,False
2018-12-01,2,6,1,0,16,False
2019-01-01,2,6,2,1,16,False
2019-02-01,1,4,2,1,19,False
2019-03-01,2,6,3,1,15,False
2019-04-01,2,7,2,2,19,False
2019-05-01,2,5,2,1,16,False
2019-06-01,1,4,2,1,17,False
2019-07-01,1,6,2,1,24,False
2019-08-01,2,6,1,0,20,False
2019-09-01,3,7,2,1,17,False
2019-10-01,1,7,2,1,16,False
2019-11-01,1,5,1,1,16,False
2019-12-01,2,3,1,0,19,False
2020-01-01,1,5,2,0,28,False
2020-02-01,2,6,2,1,54,False
2020-03-01,1,5,2,0,21,False
2020-04-01,1,7,2,0,17,False
2020-05-01,2,6,3,1,14,False
2020-06-01,1,9,1,0,16,False
2020-07-01,1,6,1,1,34,False
2020-08-01,1,7,1,1,27,False
2020-09-01,1,6,1,1,19,False
2020-10-01,1,6,2,1,21,False
