date,Keith Nolan,Tyrone Hayes + Penelope Jagessar Chaffer,Jenna McCarthy,Inara George,Iraola,isPartial
2013-01-01,4,2,17,4,24,False
2013-02-01,2,3,18,4,25,False
2013-03-01,2,3,9,3,23,False
2013-04-01,3,6,13,5,25,False
2013-05-01,3,2,14,5,21,False
2013-06-01,2,1,13,5,23,False
2013-07-01,4,2,12,4,23,False
2013-08-01,6,4,10,5,24,False
2013-09-01,3,3,11,3,30,False
2013-10-01,4,3,12,4,26,False
2013-11-01,2,2,10,4,24,False
2013-12-01,2,3,13,3,25,False
2014-01-01,2,2,17,4,22,False
2014-02-01,2,48,12,3,25,False
2014-03-01,2,8,13,3,28,False
2014-04-01,2,9,11,3,22,False
2014-05-01,2,5,9,4,25,False
2014-06-01,2,10,11,3,21,False
2014-07-01,1,4,13,3,26,False
2014-08-01,2,3,7,2,34,False
2014-09-01,3,2,13,2,35,False
2014-10-01,2,4,10,2,27,False
2014-11-01,5,4,11,3,26,False
2014-12-01,3,3,9,3,22,False
2015-01-01,2,7,18,4,21,False
2015-02-01,2,6,9,3,26,False
2015-03-01,2,4,11,2,37,False
2015-04-01,4,8,12,3,38,False
2015-05-01,2,3,11,3,100,False
2015-06-01,3,4,10,2,44,False
2015-07-01,2,3,10,5,50,False
2015-08-01,1,3,12,4,34,False
2015-09-01,2,3,11,3,30,False
2015-10-01,3,2,9,1,24,False
2015-11-01,2,3,12,5,23,False
2015-12-01,2,3,9,2,20,False
2016-01-01,2,4,13,2,24,False
2016-02-01,2,8,8,3,23,False
2016-03-01,2,4,7,2,26,False
2016-04-01,2,2,10,2,18,False
2016-05-01,3,5,8,2,32,False
2016-06-01,2,3,9,2,26,False
2016-07-01,2,2,7,3,28,False
2016-08-01,1,2,4,3,18,False
2016-09-01,2,4,5,3,25,False
2016-10-01,2,4,3,1,24,False
2016-11-01,1,4,6,2,33,False
2016-12-01,2,3,8,2,19,False
2017-01-01,2,3,13,2,18,False
2017-02-01,3,3,8,2,21,False
2017-03-01,4,3,8,3,18,False
2017-04-01,2,3,7,2,19,False
2017-05-01,3,2,8,1,24,False
2017-06-01,2,2,7,2,19,False
2017-07-01,2,1,6,2,20,False
2017-08-01,2,2,6,1,18,False
2017-09-01,2,2,6,3,18,False
2017-10-01,2,3,5,2,16,False
2017-11-01,3,3,6,2,14,False
2017-12-01,2,2,3,1,14,False
2018-01-01,2,3,6,5,19,False
2018-02-01,2,3,3,5,17,False
2018-03-01,1,2,4,2,14,False
2018-04-01,1,3,3,3,16,False
2018-05-01,4,2,3,6,17,False
2018-06-01,2,3,3,1,17,False
2018-07-01,1,1,3,3,16,False
2018-08-01,2,1,5,2,17,False
2018-09-01,2,2,5,3,18,False
2018-10-01,2,2,2,5,20,False
2018-11-01,1,2,4,2,17,False
2018-12-01,2,3,3,2,16,False
2019-01-01,2,2,8,2,16,False
2019-02-01,2,2,7,2,19,False
2019-03-01,3,2,4,1,15,False
2019-04-01,2,3,3,3,19,False
2019-05-01,1,1,6,2,16,False
2019-06-01,1,1,2,1,17,False
2019-07-01,2,1,4,1,24,False
2019-08-01,1,2,3,4,20,False
2019-09-01,1,3,4,3,17,False
2019-10-01,1,2,5,1,16,False
2019-11-01,1,2,3,2,16,False
2019-12-01,2,2,4,2,19,False
2020-01-01,2,1,3,2,28,False
2020-02-01,2,3,3,2,54,False
2020-03-01,2,4,3,2,21,False
2020-04-01,1,2,9,2,17,False
2020-05-01,1,1,5,2,14,False
2020-06-01,2,3,4,2,16,False
2020-07-01,1,1,2,2,34,False
2020-08-01,3,1,3,2,27,False
2020-09-01,2,2,3,1,19,False
2020-10-01,2,3,3,1,21,False
