date,Nathalie Miebach,Richard Wilkinson,Iain McGilchrist,Jay Bradner,Iraola,isPartial
2017-02-01,0,8,1,1,21,False
2017-03-01,1,8,1,1,18,False
2017-04-01,0,8,1,0,19,False
2017-05-01,1,4,1,2,24,False
2017-06-01,0,8,1,1,19,False
2017-07-01,0,6,1,1,20,False
2017-08-01,0,5,2,1,18,False
2017-09-01,0,7,2,1,18,False
2017-10-01,1,9,2,1,16,False
2017-11-01,0,5,1,1,14,False
2017-12-01,0,6,2,1,14,False
2018-01-01,1,6,1,1,19,False
2018-02-01,0,5,7,1,17,False
2018-03-01,1,7,3,1,14,False
2018-04-01,1,7,1,1,16,False
2018-05-01,0,4,4,1,17,False
2018-06-01,0,8,3,1,17,False
2018-07-01,0,5,1,1,16,False
2018-08-01,0,5,2,0,17,False
2018-09-01,1,7,2,0,18,False
2018-10-01,0,5,2,1,20,False
2018-11-01,0,6,4,0,17,False
2018-12-01,0,6,3,1,16,False
2019-01-01,0,6,2,0,16,False
2019-02-01,0,8,7,1,19,False
2019-03-01,1,6,4,1,15,False
2019-04-01,0,4,2,1,19,False
2019-05-01,1,5,2,1,16,False
2019-06-01,0,6,2,1,17,False
2019-07-01,1,5,3,1,24,False
2019-08-01,0,5,4,0,20,False
2019-09-01,0,8,3,1,17,False
2019-10-01,1,6,2,0,16,False
2019-11-01,2,6,2,0,16,False
2019-12-01,0,4,2,1,19,False
2020-01-01,0,6,2,0,28,False
2020-02-01,0,8,3,1,54,False
2020-03-01,1,8,2,0,21,False
2020-04-01,0,4,2,1,17,False
2020-05-01,0,6,2,1,14,False
2020-06-01,0,5,2,1,16,False
2020-07-01,1,5,2,1,34,False
2020-08-01,0,5,3,0,27,False
2020-09-01,1,4,4,1,19,False
2020-10-01,1,5,1,0,21,False
