date,David Brooks,Janna Levin,Mark Bezos,Rogier van der Heide,Iraola,isPartial
2017-05-01,44,1,3,0,6,False
2017-06-01,34,0,4,0,5,False
2017-07-01,55,0,7,0,5,False
2017-08-01,36,1,4,0,4,False
2017-09-01,31,1,5,0,5,False
2017-10-01,33,1,6,0,4,False
2017-11-01,38,0,12,0,4,False
2017-12-01,32,1,7,0,4,False
2018-01-01,31,10,11,0,5,False
2018-02-01,30,1,9,0,5,False
2018-03-01,25,2,11,0,3,False
2018-04-01,24,1,14,0,5,False
2018-05-01,26,1,7,0,4,False
2018-06-01,29,2,7,0,4,False
2018-07-01,27,1,12,0,4,False
2018-08-01,24,2,8,0,5,False
2018-09-01,25,1,10,0,5,False
2018-10-01,34,1,10,0,5,False
2018-11-01,28,1,9,0,5,False
2018-12-01,30,1,9,0,4,False
2019-01-01,35,1,14,0,5,False
2019-02-01,37,1,10,0,5,False
2019-03-01,35,1,9,0,4,False
2019-04-01,48,1,10,0,5,False
2019-05-01,43,1,8,0,4,False
2019-06-01,35,0,8,0,4,False
2019-07-01,31,11,10,0,6,False
2019-08-01,30,3,10,0,5,False
2019-09-01,28,3,11,0,5,False
2019-10-01,27,1,11,0,4,False
2019-11-01,22,1,9,0,4,False
2019-12-01,21,2,10,0,5,False
2020-01-01,23,2,12,0,7,False
2020-02-01,33,1,13,0,15,False
2020-03-01,23,3,11,0,5,False
2020-04-01,29,2,15,0,5,False
2020-05-01,24,1,19,0,4,False
2020-06-01,28,2,16,0,4,False
2020-07-01,37,3,23,0,9,False
2020-08-01,52,1,26,0,7,False
2020-09-01,29,1,18,0,6,False
2020-10-01,26,1,16,0,5,False
