date,Jennifer Senior,Norman Spack,Jeremy Kasdin,Matthew Carter,Iraola,isPartial
2011-09-01,9,1,1,12,34,False
2011-10-01,5,1,1,14,32,False
2011-11-01,4,1,1,16,28,False
2011-12-01,5,1,0,12,27,False
2012-01-01,4,2,1,18,25,False
2012-02-01,5,1,2,18,30,False
2012-03-01,6,1,0,18,54,False
2012-04-01,5,1,1,16,34,False
2012-05-01,5,1,0,17,41,False
2012-06-01,6,0,0,13,32,False
2012-07-01,8,1,0,13,23,False
2012-08-01,8,0,0,13,24,False
2012-09-01,8,0,1,13,26,False
2012-10-01,3,1,0,16,25,False
2012-11-01,7,1,1,14,27,False
2012-12-01,2,1,1,14,23,False
2013-01-01,9,1,0,12,24,False
2013-02-01,11,1,1,14,25,False
2013-03-01,8,1,1,16,23,False
2013-04-01,7,1,0,14,25,False
2013-05-01,7,1,1,10,21,False
2013-06-01,5,0,0,9,23,False
2013-07-01,5,1,0,11,23,False
2013-08-01,8,1,1,14,24,False
2013-09-01,5,0,1,14,30,False
2013-10-01,12,1,0,17,26,False
2013-11-01,8,0,1,11,24,False
2013-12-01,7,0,0,12,25,False
2014-01-01,13,0,1,20,22,False
2014-02-01,27,1,1,27,25,False
2014-03-01,11,1,0,43,28,False
2014-04-01,10,2,1,47,22,False
2014-05-01,10,1,1,35,25,False
2014-06-01,10,1,0,42,21,False
2014-07-01,11,1,0,39,26,False
2014-08-01,7,1,0,32,34,False
2014-09-01,10,0,0,25,35,False
2014-10-01,7,1,0,24,27,False
2014-11-01,9,1,1,22,26,False
2014-12-01,7,1,1,28,22,False
2015-01-01,11,1,0,26,21,False
2015-02-01,11,1,1,21,26,False
2015-03-01,7,1,0,20,37,False
2015-04-01,7,2,1,23,38,False
2015-05-01,6,1,0,21,100,False
2015-06-01,8,2,0,29,44,False
2015-07-01,8,1,0,26,50,False
2015-08-01,7,0,0,21,34,False
2015-09-01,10,1,0,19,30,False
2015-10-01,8,1,0,18,24,False
2015-11-01,7,1,0,18,23,False
2015-12-01,5,0,0,21,20,False
2016-01-01,7,0,0,20,24,False
2016-02-01,6,1,1,17,23,False
2016-03-01,8,1,0,18,26,False
2016-04-01,7,0,0,17,18,False
2016-05-01,7,0,0,16,32,False
2016-06-01,6,0,0,17,26,False
2016-07-01,8,1,1,16,28,False
2016-08-01,6,0,0,12,18,False
2016-09-01,7,1,1,14,25,False
2016-10-01,8,1,0,18,24,False
2016-11-01,7,1,0,13,33,False
2016-12-01,10,0,0,10,19,False
2017-01-01,6,0,0,15,18,False
2017-02-01,6,0,0,13,21,False
2017-03-01,8,0,0,10,18,False
2017-04-01,8,0,0,12,19,False
2017-05-01,6,0,0,9,24,False
2017-06-01,5,1,0,14,19,False
2017-07-01,5,1,0,14,20,False
2017-08-01,6,0,0,11,18,False
2017-09-01,7,0,0,12,18,False
2017-10-01,8,1,0,11,16,False
2017-11-01,7,1,0,12,14,False
2017-12-01,7,0,0,11,14,False
2018-01-01,7,1,0,11,19,False
2018-02-01,7,0,0,9,17,False
2018-03-01,5,1,0,10,14,False
2018-04-01,6,0,0,13,16,False
2018-05-01,6,0,0,12,17,False
2018-06-01,7,0,0,9,17,False
2018-07-01,4,0,1,11,16,False
2018-08-01,7,0,0,11,17,False
2018-09-01,6,0,0,12,18,False
2018-10-01,7,1,1,11,20,False
2018-11-01,6,0,0,14,17,False
2018-12-01,6,0,0,11,16,False
2019-01-01,6,0,0,10,16,False
2019-02-01,6,0,1,13,19,False
2019-03-01,6,0,0,9,15,False
2019-04-01,7,0,0,11,19,False
2019-05-01,5,0,0,9,16,False
2019-06-01,5,1,0,8,17,False
2019-07-01,4,0,0,10,24,False
2019-08-01,5,0,0,12,20,False
2019-09-01,7,0,0,12,17,False
2019-10-01,8,1,0,12,16,False
2019-11-01,6,0,0,10,16,False
2019-12-01,5,0,0,8,19,False
2020-01-01,8,1,0,19,28,False
2020-02-01,7,0,0,10,54,False
2020-03-01,9,0,0,9,21,False
2020-04-01,10,0,1,11,17,False
2020-05-01,7,0,0,10,14,False
2020-06-01,7,0,0,9,16,False
2020-07-01,9,0,0,9,34,False
2020-08-01,7,0,0,11,27,False
2020-09-01,6,0,0,9,19,False
2020-10-01,5,0,0,8,21,False
