date,John Delaney,Laurie Santos,Jason Clay,Sheryl WuDunn,Iraola,isPartial
2018-09-01,10,2,4,0,8,False
2018-10-01,10,1,3,0,8,False
2018-11-01,22,1,4,0,7,False
2018-12-01,16,2,4,0,7,False
2019-01-01,23,2,4,0,7,False
2019-02-01,25,1,2,0,8,False
2019-03-01,74,1,3,0,7,False
2019-04-01,67,1,3,0,8,False
2019-05-01,20,1,4,0,7,False
2019-06-01,78,1,3,0,7,False
2019-07-01,100,1,2,0,10,False
2019-08-01,55,2,3,0,8,False
2019-09-01,30,3,4,0,7,False
2019-10-01,17,7,4,0,7,False
2019-11-01,21,4,3,0,7,False
2019-12-01,31,2,4,0,8,False
2020-01-01,33,3,4,3,12,False
2020-02-01,28,2,2,1,23,False
2020-03-01,15,8,3,1,9,False
2020-04-01,8,14,3,0,7,False
2020-05-01,6,11,4,1,6,False
2020-06-01,11,9,6,1,7,False
2020-07-01,8,4,5,0,14,False
2020-08-01,7,5,6,0,11,False
2020-09-01,10,5,7,0,8,False
2020-10-01,14,5,6,0,9,False
