date,Ron Finley,Kakenya Ntaiya,Shane Koyczan,Dan Pallotta,Iraola,isPartial
2011-03-01,0,1,5,1,23,False
2011-04-01,1,1,8,1,17,False
2011-05-01,1,0,4,0,16,False
2011-06-01,0,0,6,1,17,False
2011-07-01,1,0,6,0,14,False
2011-08-01,0,0,4,1,21,False
2011-09-01,1,0,5,1,17,False
2011-10-01,1,0,4,1,16,False
2011-11-01,1,1,5,1,14,False
2011-12-01,1,0,4,1,14,False
2012-01-01,0,0,4,1,13,False
2012-02-01,1,0,6,1,15,False
2012-03-01,1,0,6,1,28,False
2012-04-01,0,0,10,1,17,False
2012-05-01,1,0,7,1,21,False
2012-06-01,1,0,5,1,16,False
2012-07-01,1,0,4,0,12,False
2012-08-01,0,0,5,1,12,False
2012-09-01,1,0,5,2,13,False
2012-10-01,1,0,7,1,13,False
2012-11-01,0,0,5,1,14,False
2012-12-01,1,0,5,0,12,False
2013-01-01,1,0,6,1,12,False
2013-02-01,1,0,98,1,13,False
2013-03-01,11,1,98,15,12,False
2013-04-01,8,0,49,9,13,False
2013-05-01,8,1,36,9,11,False
2013-06-01,3,1,23,6,12,False
2013-07-01,6,0,17,5,12,False
2013-08-01,5,0,16,4,12,False
2013-09-01,3,0,24,4,15,False
2013-10-01,3,1,38,4,13,False
2013-11-01,4,1,32,5,12,False
2013-12-01,4,2,27,5,13,False
2014-01-01,2,1,33,2,11,False
2014-02-01,3,1,29,4,13,False
2014-03-01,3,1,24,4,14,False
2014-04-01,3,0,28,3,11,False
2014-05-01,5,0,22,2,13,False
2014-06-01,3,0,17,1,11,False
2014-07-01,2,1,15,2,13,False
2014-08-01,3,0,13,3,17,False
2014-09-01,3,0,21,3,18,False
2014-10-01,3,0,25,2,14,False
2014-11-01,2,0,22,2,13,False
2014-12-01,11,0,21,2,11,False
2015-01-01,4,1,19,3,11,False
2015-02-01,3,0,23,3,13,False
2015-03-01,3,1,20,2,19,False
2015-04-01,5,0,27,2,19,False
2015-05-01,4,0,16,2,51,False
2015-06-01,2,1,15,2,23,False
2015-07-01,2,0,13,1,26,False
2015-08-01,2,0,17,2,18,False
2015-09-01,3,0,16,2,15,False
2015-10-01,2,1,23,2,12,False
2015-11-01,2,0,15,2,12,False
2015-12-01,2,0,11,1,10,False
2016-01-01,2,0,13,1,12,False
2016-02-01,2,0,19,3,12,False
2016-03-01,3,1,17,1,13,False
2016-04-01,3,0,16,1,9,False
2016-05-01,3,0,16,4,16,False
2016-06-01,1,0,9,2,13,False
2016-07-01,2,1,8,1,14,False
2016-08-01,2,0,11,1,9,False
2016-09-01,2,1,14,2,13,False
2016-10-01,2,0,12,1,12,False
2016-11-01,3,1,12,3,17,False
2016-12-01,2,0,10,2,10,False
2017-01-01,2,0,11,1,9,False
2017-02-01,2,1,13,2,11,False
2017-03-01,3,2,12,2,9,False
2017-04-01,3,1,14,2,10,False
2017-05-01,2,1,10,1,12,False
2017-06-01,3,0,7,1,10,False
2017-07-01,2,0,6,1,10,False
2017-08-01,3,0,8,1,9,False
2017-09-01,1,0,9,1,9,False
2017-10-01,1,0,11,1,8,False
2017-11-01,2,1,9,1,7,False
2017-12-01,1,0,9,1,7,False
2018-01-01,1,0,8,1,10,False
2018-02-01,1,0,9,2,9,False
2018-03-01,2,0,8,1,7,False
2018-04-01,2,0,7,1,8,False
2018-05-01,1,0,8,2,9,False
2018-06-01,1,0,7,1,9,False
2018-07-01,1,0,4,1,8,False
2018-08-01,2,0,5,1,9,False
2018-09-01,1,0,9,1,9,False
2018-10-01,1,0,9,1,10,False
2018-11-01,1,0,6,1,9,False
2018-12-01,1,0,5,1,8,False
2019-01-01,2,0,9,1,8,False
2019-02-01,1,0,7,1,10,False
2019-03-01,1,0,6,1,8,False
2019-04-01,2,0,7,1,10,False
2019-05-01,2,1,6,1,8,False
2019-06-01,1,0,5,1,9,False
2019-07-01,1,1,3,1,12,False
2019-08-01,2,0,3,0,10,False
2019-09-01,2,0,7,1,9,False
2019-10-01,1,0,4,1,8,False
2019-11-01,1,0,5,1,8,False
2019-12-01,1,0,4,2,10,False
2020-01-01,1,0,6,1,15,False
2020-02-01,1,0,4,1,27,False
2020-03-01,1,0,3,1,11,False
2020-04-01,24,0,4,1,9,False
2020-05-01,27,0,4,1,7,False
2020-06-01,11,0,3,1,8,False
2020-07-01,7,0,2,1,17,False
2020-08-01,3,0,2,3,14,False
2020-09-01,3,0,4,1,10,False
2020-10-01,3,0,3,1,11,False
