date,Jeremy Howard,Carol Dweck,Bruno Torturra,Mundano,Iraola,isPartial
2017-01-01,22,42,1,23,18,False
2017-02-01,12,47,0,26,21,False
2017-03-01,13,44,0,28,18,False
2017-04-01,15,43,0,27,19,False
2017-05-01,13,45,2,24,24,False
2017-06-01,18,37,0,24,19,False
2017-07-01,12,36,0,24,20,False
2017-08-01,15,52,0,25,18,False
2017-09-01,14,58,0,24,18,False
2017-10-01,15,55,1,26,16,False
2017-11-01,12,45,0,22,14,False
2017-12-01,13,40,1,22,14,False
2018-01-01,15,46,1,23,19,False
2018-02-01,12,48,1,23,17,False
2018-03-01,13,46,1,23,14,False
2018-04-01,11,44,0,24,16,False
2018-05-01,10,41,0,23,17,False
2018-06-01,13,39,1,25,17,False
2018-07-01,12,37,0,22,16,False
2018-08-01,13,42,0,25,17,False
2018-09-01,9,50,1,23,18,False
2018-10-01,10,42,2,20,20,False
2018-11-01,12,44,1,20,17,False
2018-12-01,11,37,0,20,16,False
2019-01-01,12,42,1,21,16,False
2019-02-01,10,48,1,23,19,False
2019-03-01,11,49,1,26,15,False
2019-04-01,11,44,1,22,19,False
2019-05-01,10,41,0,22,16,False
2019-06-01,9,38,1,24,17,False
2019-07-01,12,39,1,20,24,False
2019-08-01,13,44,0,22,20,False
2019-09-01,12,50,0,22,17,False
2019-10-01,12,48,1,19,16,False
2019-11-01,11,43,1,21,16,False
2019-12-01,11,33,1,17,19,False
2020-01-01,8,42,1,19,28,False
2020-02-01,10,47,1,28,54,False
2020-03-01,13,38,1,26,21,False
2020-04-01,18,43,2,27,17,False
2020-05-01,12,47,2,28,14,False
2020-06-01,9,38,2,22,16,False
2020-07-01,11,38,1,25,34,False
2020-08-01,14,42,1,28,27,False
2020-09-01,11,47,1,22,19,False
2020-10-01,10,40,1,26,21,False
