date,Sam Martin,Eric Sanderson,David Hanson,Rory Sutherland,Iraola,isPartial
2012-08-01,10,0,4,2,6,False
2012-09-01,11,0,4,2,6,False
2012-10-01,13,0,4,1,6,False
2012-11-01,13,0,5,1,6,False
2012-12-01,10,0,4,2,6,False
2013-01-01,12,0,4,1,6,False
2013-02-01,11,0,4,2,6,False
2013-03-01,9,1,5,2,5,False
2013-04-01,13,1,4,1,6,False
2013-05-01,10,0,3,1,5,False
2013-06-01,12,0,5,1,6,False
2013-07-01,11,0,4,1,6,False
2013-08-01,13,0,4,1,6,False
2013-09-01,11,1,3,1,7,False
2013-10-01,13,1,4,2,6,False
2013-11-01,13,0,4,2,6,False
2013-12-01,11,0,4,1,6,False
2014-01-01,14,0,3,1,5,False
2014-02-01,15,0,3,1,6,False
2014-03-01,13,0,3,1,7,False
2014-04-01,12,1,3,1,5,False
2014-05-01,14,0,4,2,6,False
2014-06-01,16,0,4,1,5,False
2014-07-01,30,0,3,1,6,False
2014-08-01,41,0,2,1,8,False
2014-09-01,43,0,4,1,8,False
2014-10-01,72,1,4,1,7,False
2014-11-01,100,0,3,1,6,False
2014-12-01,97,0,3,1,5,False
2015-01-01,75,0,4,1,5,False
2015-02-01,54,0,4,1,6,False
2015-03-01,35,0,2,2,9,False
2015-04-01,32,0,3,1,9,False
2015-05-01,38,0,4,1,24,False
2015-06-01,30,1,3,1,11,False
2015-07-01,24,0,3,1,12,False
2015-08-01,25,1,3,1,8,False
2015-09-01,22,0,4,1,7,False
2015-10-01,21,0,3,1,6,False
2015-11-01,21,1,3,1,5,False
2015-12-01,20,0,4,1,5,False
2016-01-01,19,0,3,1,6,False
2016-02-01,20,1,3,1,6,False
2016-03-01,17,0,5,1,6,False
2016-04-01,15,0,5,1,4,False
2016-05-01,16,0,3,2,8,False
2016-06-01,17,0,3,1,6,False
2016-07-01,15,0,4,0,7,False
2016-08-01,14,0,3,1,4,False
2016-09-01,14,0,3,1,6,False
2016-10-01,13,0,3,1,6,False
2016-11-01,15,0,3,1,8,False
2016-12-01,14,0,3,1,5,False
2017-01-01,14,0,3,1,4,False
2017-02-01,15,0,4,1,5,False
2017-03-01,13,1,4,1,4,False
2017-04-01,14,0,3,1,4,False
2017-05-01,13,0,3,1,6,False
2017-06-01,12,0,3,1,4,False
2017-07-01,13,0,3,1,5,False
2017-08-01,15,0,3,1,4,False
2017-09-01,20,0,3,1,4,False
2017-10-01,16,0,5,1,4,False
2017-11-01,15,0,5,1,3,False
2017-12-01,13,0,5,1,3,False
2018-01-01,18,0,5,1,5,False
2018-02-01,14,0,5,1,4,False
2018-03-01,15,0,4,1,3,False
2018-04-01,13,0,4,1,4,False
2018-05-01,10,0,4,1,4,False
2018-06-01,10,0,4,1,4,False
2018-07-01,11,0,6,1,4,False
2018-08-01,12,0,3,1,4,False
2018-09-01,12,0,4,1,4,False
2018-10-01,12,0,3,1,5,False
2018-11-01,13,0,4,1,4,False
2018-12-01,11,0,3,1,4,False
2019-01-01,13,0,3,1,4,False
2019-02-01,13,1,4,1,4,False
2019-03-01,11,0,9,1,4,False
2019-04-01,11,0,4,1,5,False
2019-05-01,11,0,3,2,4,False
2019-06-01,11,0,3,1,4,False
2019-07-01,12,0,3,1,6,False
2019-08-01,10,0,3,2,5,False
2019-09-01,11,0,3,2,4,False
2019-10-01,12,0,4,2,4,False
2019-11-01,12,0,4,1,4,False
2019-12-01,11,0,4,2,4,False
2020-01-01,18,0,3,2,7,False
2020-02-01,12,0,4,2,13,False
2020-03-01,12,0,3,2,5,False
2020-04-01,13,0,3,2,4,False
2020-05-01,12,0,3,2,3,False
2020-06-01,12,0,3,1,4,False
2020-07-01,12,0,3,1,8,False
2020-08-01,10,0,3,1,6,False
2020-09-01,12,0,3,2,5,False
2020-10-01,10,1,3,2,5,False
