date,Sarah Kay,Isabel Behncke,Paul Root Wolpe,Eythor Bender,Iraola,isPartial
2009-12-01,51,0,0,0,18,False
2010-01-01,46,0,0,0,24,False
2010-02-01,65,0,1,0,12,False
2010-03-01,53,1,0,0,18,False
2010-04-01,60,0,0,0,19,False
2010-05-01,69,0,0,0,16,False
2010-06-01,66,1,1,0,20,False
2010-07-01,67,0,1,0,14,False
2010-08-01,78,0,0,0,18,False
2010-09-01,62,0,1,0,22,False
2010-10-01,58,0,0,0,23,False
2010-11-01,81,0,0,1,29,False
2010-12-01,49,0,0,1,23,False
2011-01-01,67,0,0,1,19,False
2011-02-01,58,1,0,1,26,False
2011-03-01,99,3,2,3,31,False
2011-04-01,100,1,1,1,23,False
2011-05-01,76,1,1,1,21,False
2011-06-01,81,1,1,2,22,False
2011-07-01,81,1,1,1,19,False
2011-08-01,75,2,1,1,29,False
2011-09-01,79,1,1,2,23,False
2011-10-01,76,0,1,2,22,False
2011-11-01,76,1,1,1,19,False
2011-12-01,89,0,1,1,18,False
2012-01-01,78,1,1,1,17,False
2012-02-01,74,1,0,1,21,False
2012-03-01,75,1,1,1,37,False
2012-04-01,92,1,0,1,23,False
2012-05-01,82,1,0,1,28,False
2012-06-01,77,1,1,1,22,False
2012-07-01,75,1,1,1,16,False
2012-08-01,72,1,1,1,16,False
2012-09-01,78,1,0,1,18,False
2012-10-01,73,1,0,0,17,False
2012-11-01,65,1,1,0,18,False
2012-12-01,60,0,0,0,16,False
2013-01-01,67,0,0,0,16,False
2013-02-01,79,0,0,0,17,False
2013-03-01,81,0,1,0,16,False
2013-04-01,81,0,1,1,17,False
2013-05-01,69,0,0,1,14,False
2013-06-01,70,0,0,0,16,False
2013-07-01,67,0,0,0,16,False
2013-08-01,66,1,1,1,16,False
2013-09-01,68,0,0,0,21,False
2013-10-01,65,0,0,1,18,False
2013-11-01,76,1,0,0,16,False
2013-12-01,62,1,0,0,17,False
2014-01-01,68,0,0,0,15,False
2014-02-01,72,0,0,0,17,False
2014-03-01,85,0,0,1,19,False
2014-04-01,80,0,1,0,15,False
2014-05-01,80,0,0,0,17,False
2014-06-01,60,0,0,0,14,False
2014-07-01,62,1,0,0,18,False
2014-08-01,55,1,0,0,23,False
2014-09-01,63,0,1,0,24,False
2014-10-01,98,1,1,1,19,False
2014-11-01,63,1,0,0,18,False
2014-12-01,60,0,1,0,15,False
2015-01-01,63,0,0,0,15,False
2015-02-01,71,0,1,0,18,False
2015-03-01,69,1,0,0,25,False
2015-04-01,59,1,0,0,26,False
2015-05-01,64,0,1,1,68,False
2015-06-01,55,0,0,1,30,False
2015-07-01,51,0,0,0,34,False
2015-08-01,64,1,0,0,24,False
2015-09-01,54,0,0,0,20,False
2015-10-01,58,1,0,0,17,False
2015-11-01,55,0,0,0,16,False
2015-12-01,50,0,0,0,14,False
2016-01-01,54,0,0,0,16,False
2016-02-01,54,0,1,0,16,False
2016-03-01,60,0,0,0,17,False
2016-04-01,62,0,0,0,13,False
2016-05-01,57,0,0,1,22,False
2016-06-01,48,0,0,0,17,False
2016-07-01,49,0,0,0,19,False
2016-08-01,51,0,0,0,12,False
2016-09-01,53,0,1,0,17,False
2016-10-01,60,0,0,0,16,False
2016-11-01,53,1,1,0,23,False
2016-12-01,46,0,0,0,13,False
2017-01-01,57,0,0,0,12,False
2017-02-01,58,0,0,0,14,False
2017-03-01,57,1,0,0,12,False
2017-04-01,55,0,0,1,13,False
2017-05-01,48,1,0,0,16,False
2017-06-01,44,0,0,0,13,False
2017-07-01,48,0,0,0,14,False
2017-08-01,48,0,0,1,12,False
2017-09-01,49,0,0,0,12,False
2017-10-01,47,1,0,0,11,False
2017-11-01,43,0,0,0,10,False
2017-12-01,42,0,0,1,9,False
2018-01-01,41,0,0,0,13,False
2018-02-01,48,1,0,1,11,False
2018-03-01,46,1,0,1,9,False
2018-04-01,54,0,1,0,11,False
2018-05-01,45,0,1,0,12,False
2018-06-01,43,0,0,0,12,False
2018-07-01,42,0,0,0,11,False
2018-08-01,44,0,0,0,12,False
2018-09-01,42,0,0,0,12,False
2018-10-01,38,0,0,0,14,False
2018-11-01,40,0,0,0,11,False
2018-12-01,40,1,0,0,11,False
2019-01-01,44,0,0,0,11,False
2019-02-01,46,1,0,1,13,False
2019-03-01,43,0,0,0,11,False
2019-04-01,43,0,0,0,13,False
2019-05-01,43,0,0,0,11,False
2019-06-01,38,0,0,0,11,False
2019-07-01,39,0,0,0,17,False
2019-08-01,34,1,0,0,13,False
2019-09-01,42,1,0,1,12,False
2019-10-01,39,0,0,0,11,False
2019-11-01,35,0,0,0,11,False
2019-12-01,34,0,1,0,13,False
2020-01-01,37,0,0,0,19,False
2020-02-01,40,0,0,0,37,False
2020-03-01,33,1,0,0,15,False
2020-04-01,42,1,0,0,12,False
2020-05-01,38,0,0,0,9,False
2020-06-01,34,0,0,0,11,False
2020-07-01,35,1,0,0,23,False
2020-08-01,38,0,0,0,18,False
2020-09-01,37,1,0,0,13,False
2020-10-01,31,0,0,0,14,False
