date,Diane J. Savino,Peter Molyneux,Jamil Abu-Wardeh,Maz Jobrani,Iraola,isPartial
2011-04-01,0,15,0,22,29,False
2011-05-01,0,13,1,12,27,False
2011-06-01,1,26,1,23,28,False
2011-07-01,0,15,1,16,24,False
2011-08-01,1,9,0,16,36,False
2011-09-01,0,11,1,20,29,False
2011-10-01,0,9,0,22,27,False
2011-11-01,0,12,0,18,24,False
2011-12-01,0,11,0,13,23,False
2012-01-01,0,9,0,18,22,False
2012-02-01,1,13,0,14,26,False
2012-03-01,0,54,1,25,47,False
2012-04-01,0,21,0,26,29,False
2012-05-01,0,14,0,15,35,False
2012-06-01,0,30,0,15,28,False
2012-07-01,0,24,1,15,20,False
2012-08-01,0,20,0,11,20,False
2012-09-01,1,17,1,19,22,False
2012-10-01,0,22,0,18,22,False
2012-11-01,1,78,0,15,23,False
2012-12-01,0,69,1,28,20,False
2013-01-01,0,21,1,29,20,False
2013-02-01,1,16,0,27,21,False
2013-03-01,0,16,0,27,20,False
2013-04-01,1,16,0,26,22,False
2013-05-01,0,59,0,20,18,False
2013-06-01,1,24,0,17,20,False
2013-07-01,0,17,0,14,20,False
2013-08-01,0,19,0,16,21,False
2013-09-01,0,31,0,22,26,False
2013-10-01,0,14,0,20,22,False
2013-11-01,0,11,0,21,21,False
2013-12-01,0,16,0,24,21,False
2014-01-01,0,13,0,19,19,False
2014-02-01,0,29,0,27,21,False
2014-03-01,0,21,0,26,24,False
2014-04-01,0,19,0,25,19,False
2014-05-01,0,7,0,25,21,False
2014-06-01,1,13,0,21,18,False
2014-07-01,0,17,0,16,22,False
2014-08-01,0,20,0,19,29,False
2014-09-01,0,16,0,18,30,False
2014-10-01,0,12,0,24,24,False
2014-11-01,0,8,0,28,22,False
2014-12-01,0,12,0,25,19,False
2015-01-01,0,9,0,25,18,False
2015-02-01,0,100,0,36,23,False
2015-03-01,0,18,0,25,32,False
2015-04-01,0,11,0,24,32,False
2015-05-01,0,11,0,17,86,False
2015-06-01,0,12,0,16,38,False
2015-07-01,0,20,0,14,43,False
2015-08-01,0,12,0,27,30,False
2015-09-01,0,9,0,24,26,False
2015-10-01,0,10,0,24,21,False
2015-11-01,0,11,0,24,20,False
2015-12-01,0,10,0,27,17,False
2016-01-01,0,11,0,22,21,False
2016-02-01,0,14,0,23,20,False
2016-03-01,0,17,0,19,22,False
2016-04-01,0,12,0,22,16,False
2016-05-01,0,11,0,23,28,False
2016-06-01,0,14,0,16,22,False
2016-07-01,0,8,0,19,24,False
2016-08-01,0,30,0,22,15,False
2016-09-01,0,15,0,25,22,False
2016-10-01,0,13,0,27,21,False
2016-11-01,0,17,0,30,29,False
2016-12-01,0,9,0,28,16,False
2017-01-01,0,10,0,21,15,False
2017-02-01,0,6,0,30,18,False
2017-03-01,0,9,0,42,16,False
2017-04-01,0,15,0,25,16,False
2017-05-01,0,9,0,21,20,False
2017-06-01,0,8,0,17,16,False
2017-07-01,0,7,0,17,17,False
2017-08-01,0,6,0,68,15,False
2017-09-01,0,10,0,20,15,False
2017-10-01,0,10,0,23,14,False
2017-11-01,0,7,0,22,12,False
2017-12-01,0,9,0,18,12,False
2018-01-01,0,9,0,27,16,False
2018-02-01,0,6,0,18,14,False
2018-03-01,0,9,0,15,12,False
2018-04-01,0,7,0,22,14,False
2018-05-01,0,6,0,24,15,False
2018-06-01,0,6,0,20,15,False
2018-07-01,0,6,0,15,13,False
2018-08-01,0,8,0,15,15,False
2018-09-01,0,5,0,14,16,False
2018-10-01,0,5,0,15,17,False
2018-11-01,0,6,0,22,14,False
2018-12-01,0,5,0,17,14,False
2019-01-01,0,7,0,19,14,False
2019-02-01,0,8,0,18,16,False
2019-03-01,0,5,0,19,13,False
2019-04-01,0,5,0,18,17,False
2019-05-01,0,7,0,16,13,False
2019-06-01,0,8,0,20,14,False
2019-07-01,0,8,0,16,21,False
2019-08-01,0,6,0,16,17,False
2019-09-01,0,5,0,17,15,False
2019-10-01,0,7,0,15,14,False
2019-11-01,0,7,0,17,14,False
2019-12-01,0,6,0,18,16,False
2020-01-01,0,8,0,17,24,False
2020-02-01,0,5,0,16,46,False
2020-03-01,0,5,0,11,18,False
2020-04-01,0,5,0,7,15,False
2020-05-01,0,6,0,8,12,False
2020-06-01,0,6,0,8,14,False
2020-07-01,0,13,0,7,29,False
2020-08-01,0,7,0,8,23,False
2020-09-01,0,6,0,6,17,False
2020-10-01,0,4,0,8,18,False
