date,Philip Evans,Christopher Soghoian,Gabe Barcia-Colombo,Manu Prakash,Iraola,isPartial
2012-02-01,7,1,0,2,30,False
2012-03-01,5,1,0,1,54,False
2012-04-01,6,1,0,2,34,False
2012-05-01,9,3,0,1,41,False
2012-06-01,9,1,0,2,32,False
2012-07-01,5,1,0,1,23,False
2012-08-01,8,1,0,1,24,False
2012-09-01,11,1,0,1,26,False
2012-10-01,8,1,0,1,25,False
2012-11-01,7,2,0,2,27,False
2012-12-01,7,1,0,1,23,False
2013-01-01,7,1,0,1,24,False
2013-02-01,6,1,0,1,25,False
2013-03-01,5,0,0,1,23,False
2013-04-01,5,1,0,1,25,False
2013-05-01,9,0,0,2,21,False
2013-06-01,5,1,0,2,23,False
2013-07-01,7,0,0,1,23,False
2013-08-01,7,1,0,2,24,False
2013-09-01,7,2,0,1,30,False
2013-10-01,6,0,0,1,26,False
2013-11-01,10,1,0,1,24,False
2013-12-01,6,1,0,1,25,False
2014-01-01,7,1,0,2,22,False
2014-02-01,13,1,0,1,25,False
2014-03-01,13,3,0,21,28,False
2014-04-01,7,1,0,11,22,False
2014-05-01,7,1,0,2,25,False
2014-06-01,5,1,0,4,21,False
2014-07-01,8,1,0,3,26,False
2014-08-01,6,1,0,3,34,False
2014-09-01,8,1,0,4,35,False
2014-10-01,7,1,0,3,27,False
2014-11-01,6,1,0,3,26,False
2014-12-01,7,1,0,3,22,False
2015-01-01,9,1,0,3,21,False
2015-02-01,8,2,0,2,26,False
2015-03-01,6,1,0,2,37,False
2015-04-01,5,1,0,2,38,False
2015-05-01,7,1,0,2,100,False
2015-06-01,7,1,0,9,44,False
2015-07-01,6,0,0,3,50,False
2015-08-01,4,1,0,2,34,False
2015-09-01,8,1,0,4,30,False
2015-10-01,5,1,0,3,24,False
2015-11-01,7,0,0,2,23,False
2015-12-01,6,1,0,12,20,False
2016-01-01,5,0,0,11,24,False
2016-02-01,5,0,0,2,23,False
2016-03-01,7,1,0,1,26,False
2016-04-01,6,1,0,1,18,False
2016-05-01,5,1,0,2,32,False
2016-06-01,6,1,0,2,26,False
2016-07-01,8,1,0,1,28,False
2016-08-01,5,1,0,1,18,False
2016-09-01,6,1,0,10,25,False
2016-10-01,7,1,0,3,24,False
2016-11-01,6,2,0,5,33,False
2016-12-01,5,0,0,3,19,False
2017-01-01,5,1,0,8,18,False
2017-02-01,7,0,0,6,21,False
2017-03-01,9,1,0,8,18,False
2017-04-01,6,1,0,4,19,False
2017-05-01,6,0,0,3,24,False
2017-06-01,5,0,0,3,19,False
2017-07-01,6,0,0,6,20,False
2017-08-01,4,0,0,2,18,False
2017-09-01,6,1,0,4,18,False
2017-10-01,6,0,0,3,16,False
2017-11-01,6,0,0,3,14,False
2017-12-01,6,1,0,7,14,False
2018-01-01,5,0,0,3,19,False
2018-02-01,7,0,0,3,17,False
2018-03-01,8,0,0,4,14,False
2018-04-01,7,1,0,3,16,False
2018-05-01,5,0,0,2,17,False
2018-06-01,6,0,0,4,17,False
2018-07-01,5,1,0,4,16,False
2018-08-01,5,0,0,4,17,False
2018-09-01,4,1,0,3,18,False
2018-10-01,7,0,0,3,20,False
2018-11-01,5,0,0,3,17,False
2018-12-01,6,0,0,4,16,False
2019-01-01,5,0,0,3,16,False
2019-02-01,6,0,0,3,19,False
2019-03-01,5,1,0,2,15,False
2019-04-01,4,0,0,1,19,False
2019-05-01,6,0,0,3,16,False
2019-06-01,4,0,0,3,17,False
2019-07-01,5,0,0,2,24,False
2019-08-01,3,0,0,3,20,False
2019-09-01,5,0,0,3,17,False
2019-10-01,5,0,0,5,16,False
2019-11-01,6,0,0,6,16,False
2019-12-01,7,0,0,3,19,False
2020-01-01,5,0,0,3,28,False
2020-02-01,7,0,0,2,54,False
2020-03-01,4,0,0,2,21,False
2020-04-01,3,0,0,3,17,False
2020-05-01,3,0,0,4,14,False
2020-06-01,5,0,0,3,16,False
2020-07-01,7,0,0,2,34,False
2020-08-01,8,0,0,2,27,False
2020-09-01,8,0,0,3,19,False
2020-10-01,4,0,0,3,21,False
