date,David Lang,Enrique Peñalosa,Boyd Varty,Diébédo Francis Kéré,Iraola,isPartial
2013-02-01,20,2,0,3,19,False
2013-03-01,18,1,0,0,18,False
2013-04-01,21,1,0,1,19,False
2013-05-01,17,2,0,1,16,False
2013-06-01,20,2,0,0,18,False
2013-07-01,21,1,0,1,18,False
2013-08-01,27,3,0,1,18,False
2013-09-01,24,3,0,1,23,False
2013-10-01,27,3,0,1,20,False
2013-11-01,21,1,0,0,18,False
2013-12-01,21,3,5,1,19,False
2014-01-01,21,3,3,1,17,False
2014-02-01,25,4,1,1,19,False
2014-03-01,23,29,1,2,22,False
2014-04-01,25,29,2,1,17,False
2014-05-01,19,77,1,1,19,False
2014-06-01,24,6,0,1,16,False
2014-07-01,21,3,1,0,20,False
2014-08-01,21,3,0,0,26,False
2014-09-01,17,2,1,1,27,False
2014-10-01,22,3,1,0,21,False
2014-11-01,19,2,0,1,20,False
2014-12-01,21,2,1,0,17,False
2015-01-01,22,1,1,0,16,False
2015-02-01,22,3,0,1,20,False
2015-03-01,19,3,0,1,28,False
2015-04-01,21,3,0,1,29,False
2015-05-01,32,8,1,1,77,False
2015-06-01,22,4,0,0,34,False
2015-07-01,18,8,1,0,39,False
2015-08-01,16,17,1,1,26,False
2015-09-01,22,20,0,1,23,False
2015-10-01,24,100,0,0,19,False
2015-11-01,23,19,1,1,17,False
2015-12-01,23,8,1,0,15,False
2016-01-01,31,23,0,1,18,False
2016-02-01,24,21,0,1,18,False
2016-03-01,22,9,0,0,20,False
2016-04-01,23,20,0,1,14,False
2016-05-01,18,15,0,1,25,False
2016-06-01,20,8,2,1,20,False
2016-07-01,16,5,1,1,21,False
2016-08-01,20,6,0,0,14,False
2016-09-01,14,4,1,0,19,False
2016-10-01,16,6,1,1,18,False
2016-11-01,19,5,1,1,25,False
2016-12-01,20,6,0,0,15,False
2017-01-01,25,5,0,1,14,False
2017-02-01,18,7,1,2,16,False
2017-03-01,20,7,0,0,14,False
2017-04-01,19,5,1,1,14,False
2017-05-01,19,7,1,0,18,False
2017-06-01,17,7,0,1,14,False
2017-07-01,15,5,0,1,15,False
2017-08-01,15,5,0,1,14,False
2017-09-01,17,7,1,1,14,False
2017-10-01,15,5,1,1,12,False
2017-11-01,17,6,0,0,11,False
2017-12-01,14,5,1,1,11,False
2018-01-01,17,4,0,0,15,False
2018-02-01,20,8,1,1,13,False
2018-03-01,16,7,1,1,10,False
2018-04-01,13,8,0,1,13,False
2018-05-01,11,6,0,0,13,False
2018-06-01,14,4,2,1,13,False
2018-07-01,14,3,1,1,12,False
2018-08-01,13,9,1,0,13,False
2018-09-01,15,5,0,0,14,False
2018-10-01,13,14,0,1,15,False
2018-11-01,17,5,1,0,13,False
2018-12-01,14,3,0,0,12,False
2019-01-01,15,5,1,0,12,False
2019-02-01,16,7,0,0,14,False
2019-03-01,15,5,0,0,12,False
2019-04-01,13,5,0,0,15,False
2019-05-01,12,5,1,0,12,False
2019-06-01,15,5,0,0,13,False
2019-07-01,11,5,0,1,19,False
2019-08-01,14,7,0,0,15,False
2019-09-01,14,5,1,1,13,False
2019-10-01,12,8,1,0,13,False
2019-11-01,13,8,1,0,12,False
2019-12-01,13,5,0,0,14,False
2020-01-01,16,3,0,0,22,False
2020-02-01,13,1,0,1,41,False
2020-03-01,11,2,0,1,16,False
2020-04-01,16,2,2,0,13,False
2020-05-01,16,1,1,0,10,False
2020-06-01,13,2,1,0,12,False
2020-07-01,12,2,0,0,26,False
2020-08-01,12,1,0,0,20,False
2020-09-01,10,2,1,1,15,False
2020-10-01,11,1,0,0,16,False
