date,Morgan Spurlock,Mick Ebeling,Caroline Casey,Jackson Browne,Iraola,isPartial
2009-11-01,6,0,1,34,5,False
2009-12-01,4,0,1,30,4,False
2010-01-01,10,0,1,26,5,False
2010-02-01,6,0,0,24,2,False
2010-03-01,8,0,1,33,3,False
2010-04-01,7,0,1,37,4,False
2010-05-01,7,0,1,35,3,False
2010-06-01,5,0,1,43,4,False
2010-07-01,6,0,1,41,3,False
2010-08-01,4,0,1,40,4,False
2010-09-01,7,0,1,35,4,False
2010-10-01,7,0,1,24,5,False
2010-11-01,8,0,1,22,6,False
2010-12-01,6,0,1,24,5,False
2011-01-01,5,0,1,28,4,False
2011-02-01,6,0,1,31,5,False
2011-03-01,8,0,1,33,6,False
2011-04-01,25,1,4,32,4,False
2011-05-01,14,0,2,29,4,False
2011-06-01,8,0,2,31,4,False
2011-07-01,7,0,2,28,4,False
2011-08-01,14,0,1,26,6,False
2011-09-01,13,0,1,28,4,False
2011-10-01,13,0,1,28,4,False
2011-11-01,11,0,1,23,4,False
2011-12-01,8,0,1,25,4,False
2012-01-01,9,0,1,22,3,False
2012-02-01,9,0,1,21,4,False
2012-03-01,13,0,1,20,7,False
2012-04-01,18,0,1,21,5,False
2012-05-01,14,0,1,24,5,False
2012-06-01,8,0,1,24,4,False
2012-07-01,6,0,1,30,3,False
2012-08-01,6,0,1,26,3,False
2012-09-01,6,0,1,21,3,False
2012-10-01,7,0,1,25,3,False
2012-11-01,9,0,0,28,4,False
2012-12-01,7,0,1,22,3,False
2013-01-01,7,0,1,25,3,False
2013-02-01,6,0,1,26,3,False
2013-03-01,7,0,1,21,3,False
2013-04-01,8,0,1,21,3,False
2013-05-01,5,0,1,22,3,False
2013-06-01,10,0,1,28,3,False
2013-07-01,12,0,1,26,3,False
2013-08-01,15,0,1,23,3,False
2013-09-01,8,0,1,20,4,False
2013-10-01,7,0,0,19,3,False
2013-11-01,7,0,1,19,3,False
2013-12-01,6,0,1,19,3,False
2014-01-01,6,0,1,19,3,False
2014-02-01,5,0,1,18,3,False
2014-03-01,6,0,1,20,4,False
2014-04-01,13,0,1,29,3,False
2014-05-01,14,0,1,24,3,False
2014-06-01,7,0,1,23,3,False
2014-07-01,5,0,1,32,3,False
2014-08-01,7,0,1,30,4,False
2014-09-01,5,0,0,23,5,False
2014-10-01,6,0,1,35,4,False
2014-11-01,5,0,0,33,3,False
2014-12-01,4,0,1,25,3,False
2015-01-01,12,0,0,20,3,False
2015-02-01,12,0,1,24,3,False
2015-03-01,9,0,1,24,5,False
2015-04-01,6,0,1,20,5,False
2015-05-01,5,0,1,22,13,False
2015-06-01,4,0,1,28,6,False
2015-07-01,4,0,1,23,7,False
2015-08-01,6,0,1,31,5,False
2015-09-01,4,0,1,29,4,False
2015-10-01,4,0,1,29,3,False
2015-11-01,4,0,0,24,3,False
2015-12-01,7,0,1,20,3,False
2016-01-01,6,0,1,32,3,False
2016-02-01,5,0,0,35,3,False
2016-03-01,4,0,0,24,3,False
2016-04-01,4,0,1,21,2,False
2016-05-01,4,0,1,23,4,False
2016-06-01,5,0,1,28,3,False
2016-07-01,4,0,1,21,4,False
2016-08-01,5,0,0,26,2,False
2016-09-01,4,0,1,19,3,False
2016-10-01,5,0,0,17,3,False
2016-11-01,5,0,0,16,4,False
2016-12-01,4,0,0,17,3,False
2017-01-01,4,0,1,17,2,False
2017-02-01,3,0,1,16,3,False
2017-03-01,4,0,0,16,2,False
2017-04-01,3,0,1,21,2,False
2017-05-01,3,0,1,17,3,False
2017-06-01,3,0,0,22,2,False
2017-07-01,2,0,0,19,3,False
2017-08-01,2,0,1,17,2,False
2017-09-01,3,0,1,18,2,False
2017-10-01,3,0,1,16,2,False
2017-11-01,3,0,1,17,2,False
2017-12-01,25,0,1,18,2,False
2018-01-01,4,0,0,22,3,False
2018-02-01,3,0,0,20,2,False
2018-03-01,3,0,1,22,2,False
2018-04-01,3,0,0,19,2,False
2018-05-01,3,0,0,22,2,False
2018-06-01,2,0,0,23,2,False
2018-07-01,4,0,0,23,2,False
2018-08-01,1,0,0,20,2,False
2018-09-01,2,0,0,16,2,False
2018-10-01,2,0,0,16,3,False
2018-11-01,2,0,0,14,2,False
2018-12-01,2,0,0,16,2,False
2019-01-01,2,0,0,17,2,False
2019-02-01,3,0,0,16,2,False
2019-03-01,2,0,0,21,2,False
2019-04-01,2,0,0,17,3,False
2019-05-01,1,0,0,14,2,False
2019-06-01,2,0,0,20,2,False
2019-07-01,2,0,0,22,3,False
2019-08-01,2,0,0,22,3,False
2019-09-01,4,0,0,17,2,False
2019-10-01,2,0,1,16,2,False
2019-11-01,2,0,1,15,2,False
2019-12-01,2,0,0,15,2,False
2020-01-01,3,0,0,20,4,False
2020-02-01,4,0,1,22,7,False
2020-03-01,6,0,1,28,3,False
2020-04-01,4,0,0,27,2,False
2020-05-01,3,0,0,21,2,False
2020-06-01,2,0,0,22,2,False
2020-07-01,2,0,0,17,4,False
2020-08-01,3,0,0,17,4,False
2020-09-01,2,0,0,15,3,False
2020-10-01,2,0,0,16,3,False
