date,Edward Burtynsky,Robert Fischell,Peter Donnelly,Michael Shermer,Iraola,isPartial
2016-12-01,7,0,3,11,20,False
2017-01-01,7,0,3,13,14,False
2017-02-01,7,0,3,10,20,False
2017-03-01,9,0,3,10,18,False
2017-04-01,6,0,3,11,17,False
2017-05-01,5,0,3,26,17,False
2017-06-01,5,0,3,9,15,False
2017-07-01,3,0,3,11,17,False
2017-08-01,4,0,5,11,16,False
2017-09-01,3,0,4,9,15,False
2017-10-01,5,0,4,8,16,False
2017-11-01,6,0,3,9,17,False
2017-12-01,3,1,3,8,13,False
2018-01-01,4,0,3,37,18,False
2018-02-01,5,0,4,18,13,False
2018-03-01,6,0,5,16,18,False
2018-04-01,7,0,5,11,14,False
2018-05-01,6,1,4,14,19,False
2018-06-01,4,0,4,15,14,False
2018-07-01,2,0,3,10,16,False
2018-08-01,3,0,4,9,16,False
2018-09-01,5,0,4,12,18,False
2018-10-01,9,0,5,7,18,False
2018-11-01,8,0,5,9,14,False
2018-12-01,8,0,4,7,16,False
2019-01-01,6,1,3,44,17,False
2019-02-01,4,0,3,9,19,False
2019-03-01,4,0,3,10,15,False
2019-04-01,5,0,3,10,17,False
2019-05-01,3,0,3,11,17,False
2019-06-01,4,1,8,11,17,False
2019-07-01,2,0,3,9,21,False
2019-08-01,2,0,2,7,19,False
2019-09-01,8,0,3,8,15,False
2019-10-01,5,0,3,7,15,False
2019-11-01,5,0,2,8,18,False
2019-12-01,5,0,2,8,16,False
2020-01-01,4,0,3,11,26,False
2020-02-01,4,0,4,8,48,False
2020-03-01,3,0,3,4,24,False
2020-04-01,5,0,14,42,13,False
2020-05-01,4,0,1,9,14,False
2020-06-01,2,0,3,10,17,False
2020-07-01,2,0,4,11,33,False
2020-08-01,1,0,3,11,23,False
2020-09-01,4,0,3,10,25,False
2020-10-01,2,0,2,9,20,False
2020-11-01,6,0,0,11,25,True
