date,Courtney E. Martin,Sal Khan,Deb Roy,Rob Harmon,Iraola,isPartial
2014-06-01,1,24,6,1,21,False
2014-07-01,1,18,5,2,26,False
2014-08-01,1,25,5,2,34,False
2014-09-01,1,27,5,1,35,False
2014-10-01,1,34,5,1,27,False
2014-11-01,1,40,5,1,26,False
2014-12-01,1,35,4,1,22,False
2015-01-01,2,26,4,1,21,False
2015-02-01,1,26,6,1,26,False
2015-03-01,0,23,5,2,37,False
2015-04-01,1,21,5,1,38,False
2015-05-01,0,30,2,2,100,False
2015-06-01,0,22,4,1,44,False
2015-07-01,0,19,3,1,50,False
2015-08-01,0,21,3,2,34,False
2015-09-01,0,31,6,2,30,False
2015-10-01,0,31,4,1,24,False
2015-11-01,0,28,3,1,23,False
2015-12-01,0,34,3,2,20,False
2016-01-01,1,34,3,2,24,False
2016-02-01,0,31,4,1,23,False
2016-03-01,1,22,4,1,26,False
2016-04-01,0,28,3,2,18,False
2016-05-01,0,39,4,1,32,False
2016-06-01,0,41,3,1,26,False
2016-07-01,0,32,3,1,28,False
2016-08-01,0,28,3,1,18,False
2016-09-01,1,43,2,2,25,False
2016-10-01,0,46,3,1,24,False
2016-11-01,0,39,3,1,33,False
2016-12-01,0,49,3,2,19,False
2017-01-01,0,39,3,1,18,False
2017-02-01,0,37,3,1,21,False
2017-03-01,0,38,3,1,18,False
2017-04-01,0,33,3,1,19,False
2017-05-01,0,32,4,1,24,False
2017-06-01,0,26,2,1,19,False
2017-07-01,0,29,3,1,20,False
2017-08-01,0,27,3,0,18,False
2017-09-01,0,32,2,1,18,False
2017-10-01,0,37,2,1,16,False
2017-11-01,0,32,4,1,14,False
2017-12-01,0,28,2,2,14,False
2018-01-01,0,29,2,1,19,False
2018-02-01,0,31,3,2,17,False
2018-03-01,0,32,4,1,14,False
2018-04-01,0,37,4,2,16,False
2018-05-01,0,27,2,2,17,False
2018-06-01,0,26,4,1,17,False
2018-07-01,0,23,4,2,16,False
2018-08-01,0,23,3,2,17,False
2018-09-01,0,30,3,1,18,False
2018-10-01,0,28,3,1,20,False
2018-11-01,0,28,3,1,17,False
2018-12-01,0,28,4,0,16,False
2019-01-01,0,31,4,1,16,False
2019-02-01,0,29,4,2,19,False
2019-03-01,0,29,3,1,15,False
2019-04-01,0,32,3,1,19,False
2019-05-01,1,26,4,2,16,False
2019-06-01,0,24,4,1,17,False
2019-07-01,0,18,2,1,24,False
2019-08-01,0,22,2,1,20,False
2019-09-01,1,33,4,1,17,False
2019-10-01,0,40,4,1,16,False
2019-11-01,0,44,2,1,16,False
2019-12-01,0,41,2,1,19,False
2020-01-01,0,31,2,1,28,False
2020-02-01,0,37,3,1,54,False
2020-03-01,0,48,3,1,21,False
2020-04-01,0,64,3,1,17,False
2020-05-01,0,52,3,1,14,False
2020-06-01,0,42,3,2,16,False
2020-07-01,0,44,4,1,34,False
2020-08-01,0,45,2,1,27,False
2020-09-01,0,52,3,1,19,False
2020-10-01,0,40,2,1,21,False
