date,Wes Moore,Sebastian Junger,Jon Mooallem,Kitra Cahana,Iraola,isPartial
2008-06-01,4,12,2,0,21,False
2008-07-01,5,3,2,0,13,False
2008-08-01,4,3,0,0,28,False
2008-09-01,5,7,0,0,31,False
2008-10-01,2,8,2,0,26,False
2008-11-01,2,9,0,0,27,False
2008-12-01,3,8,2,0,22,False
2009-01-01,3,8,3,0,26,False
2009-02-01,3,5,5,0,30,False
2009-03-01,2,6,0,1,21,False
2009-04-01,4,6,2,0,27,False
2009-05-01,4,8,2,1,34,False
2009-06-01,2,3,1,0,23,False
2009-07-01,3,6,0,1,23,False
2009-08-01,2,8,0,0,28,False
2009-09-01,1,5,0,0,33,False
2009-10-01,3,7,0,0,24,False
2009-11-01,4,7,1,1,31,False
2009-12-01,10,8,0,1,23,False
2010-01-01,5,5,0,1,30,False
2010-02-01,4,6,0,3,15,False
2010-03-01,5,3,0,1,23,False
2010-04-01,45,9,5,2,24,False
2010-05-01,67,100,1,3,20,False
2010-06-01,46,56,1,1,25,False
2010-07-01,19,46,0,1,18,False
2010-08-01,30,35,2,2,23,False
2010-09-01,19,32,0,2,28,False
2010-10-01,18,18,0,1,30,False
2010-11-01,15,30,1,1,36,False
2010-12-01,15,25,0,1,30,False
2011-01-01,21,24,1,1,24,False
2011-02-01,15,22,1,2,33,False
2011-03-01,21,17,1,1,39,False
2011-04-01,13,45,1,1,29,False
2011-05-01,14,38,0,2,27,False
2011-06-01,15,25,0,1,28,False
2011-07-01,17,19,0,1,24,False
2011-08-01,38,21,0,1,36,False
2011-09-01,29,18,0,1,29,False
2011-10-01,23,12,0,2,27,False
2011-11-01,25,12,0,0,24,False
2011-12-01,14,10,1,1,23,False
2012-01-01,20,14,0,1,22,False
2012-02-01,37,16,0,1,26,False
2012-03-01,19,12,0,2,47,False
2012-04-01,21,13,1,1,29,False
2012-05-01,16,8,0,1,35,False
2012-06-01,22,9,0,1,28,False
2012-07-01,28,7,1,1,20,False
2012-08-01,53,10,1,1,21,False
2012-09-01,45,13,1,1,23,False
2012-10-01,37,10,1,1,22,False
2012-11-01,30,10,1,1,23,False
2012-12-01,18,11,1,1,20,False
2013-01-01,19,10,1,1,20,False
2013-02-01,22,6,1,1,21,False
2013-03-01,20,12,1,2,20,False
2013-04-01,22,33,0,1,22,False
2013-05-01,23,10,2,1,18,False
2013-06-01,17,9,1,1,20,False
2013-07-01,24,11,2,1,20,False
2013-08-01,37,10,1,1,21,False
2013-09-01,44,11,2,1,26,False
2013-10-01,31,11,1,1,22,False
2013-11-01,30,10,1,2,21,False
2013-12-01,21,7,1,1,21,False
2014-01-01,17,8,1,1,19,False
2014-02-01,28,8,1,1,22,False
2014-03-01,24,6,1,0,24,False
2014-04-01,27,8,0,1,19,False
2014-05-01,34,15,1,5,21,False
2014-06-01,23,24,2,3,18,False
2014-07-01,26,7,2,1,22,False
2014-08-01,52,7,1,2,29,False
2014-09-01,49,8,1,1,30,False
2014-10-01,46,5,0,5,24,False
2014-11-01,29,18,0,2,22,False
2014-12-01,27,9,0,2,19,False
2015-01-01,42,10,2,2,18,False
2015-02-01,57,10,1,1,23,False
2015-03-01,35,7,1,1,32,False
2015-04-01,30,8,2,1,32,False
2015-05-01,24,10,1,0,86,False
2015-06-01,26,6,0,1,38,False
2015-07-01,28,7,1,1,43,False
2015-08-01,47,9,1,0,30,False
2015-09-01,52,6,1,0,26,False
2015-10-01,52,7,1,1,21,False
2015-11-01,43,22,1,2,20,False
2015-12-01,24,6,1,1,17,False
2016-01-01,20,7,1,1,21,False
2016-02-01,26,6,0,1,20,False
2016-03-01,27,8,1,1,22,False
2016-04-01,31,10,1,1,16,False
2016-05-01,26,34,0,1,28,False
2016-06-01,22,28,1,1,22,False
2016-07-01,22,18,1,0,24,False
2016-08-01,63,16,1,1,15,False
2016-09-01,78,14,1,1,22,False
2016-10-01,59,10,0,1,21,False
2016-11-01,47,11,0,0,29,False
2016-12-01,26,10,1,0,16,False
2017-01-01,27,8,2,1,15,False
2017-02-01,31,10,2,1,18,False
2017-03-01,31,9,1,1,16,False
2017-04-01,34,10,1,0,16,False
2017-05-01,35,9,0,1,21,False
2017-06-01,20,70,1,0,16,False
2017-07-01,21,23,1,1,17,False
2017-08-01,42,14,1,1,15,False
2017-09-01,54,13,1,0,15,False
2017-10-01,45,15,1,0,14,False
2017-11-01,45,55,0,1,12,False
2017-12-01,30,20,1,1,12,False
2018-01-01,30,13,1,1,16,False
2018-02-01,30,12,0,1,14,False
2018-03-01,30,14,0,1,12,False
2018-04-01,31,16,1,0,14,False
2018-05-01,38,10,0,1,15,False
2018-06-01,23,13,0,0,15,False
2018-07-01,20,12,0,0,13,False
2018-08-01,36,11,0,1,15,False
2018-09-01,47,11,0,1,16,False
2018-10-01,38,9,0,1,17,False
2018-11-01,36,10,0,0,15,False
2018-12-01,25,10,0,0,14,False
2019-01-01,28,11,0,0,14,False
2019-02-01,32,10,0,0,16,False
2019-03-01,28,15,2,1,13,False
2019-04-01,30,10,1,0,17,False
2019-05-01,29,10,0,1,14,False
2019-06-01,22,9,0,0,15,False
2019-07-01,17,8,0,0,21,False
2019-08-01,28,8,1,0,17,False
2019-09-01,38,10,1,0,15,False
2019-10-01,39,10,0,1,14,False
2019-11-01,32,9,0,1,14,False
2019-12-01,25,6,0,0,16,False
2020-01-01,24,9,1,1,25,False
2020-02-01,26,9,1,1,46,False
2020-03-01,22,9,1,0,18,False
2020-04-01,23,11,1,0,15,False
2020-05-01,20,8,0,1,12,False
2020-06-01,59,6,0,1,14,False
2020-07-01,19,8,0,0,29,False
2020-08-01,25,8,0,0,23,False
2020-09-01,39,6,0,0,17,False
2020-10-01,25,6,0,0,18,False
