date,James B. Glattfelder,Esther Perel,Young-ha Kim,Miguel Nicolelis,Iraola,isPartial
2010-02-01,0,1,0,1,9,False
2010-03-01,0,2,1,2,13,False
2010-04-01,0,2,0,2,14,False
2010-05-01,0,2,1,3,12,False
2010-06-01,0,1,1,1,14,False
2010-07-01,0,3,1,4,10,False
2010-08-01,0,8,0,3,13,False
2010-09-01,0,2,1,2,16,False
2010-10-01,0,2,1,7,17,False
2010-11-01,0,2,1,4,21,False
2010-12-01,0,1,1,2,17,False
2011-01-01,0,1,1,5,14,False
2011-02-01,0,2,0,6,19,False
2011-03-01,0,2,1,12,23,False
2011-04-01,0,1,1,8,17,False
2011-05-01,0,1,0,9,15,False
2011-06-01,0,0,0,10,16,False
2011-07-01,0,1,0,15,14,False
2011-08-01,0,1,0,9,21,False
2011-09-01,0,1,0,7,17,False
2011-10-01,0,1,1,10,16,False
2011-11-01,0,1,0,6,14,False
2011-12-01,0,1,0,6,13,False
2012-01-01,1,1,0,4,13,False
2012-02-01,0,2,0,4,15,False
2012-03-01,0,1,0,4,27,False
2012-04-01,0,2,1,3,17,False
2012-05-01,0,1,0,4,20,False
2012-06-01,0,1,0,3,16,False
2012-07-01,0,1,0,3,11,False
2012-08-01,0,1,0,4,12,False
2012-09-01,0,1,0,3,13,False
2012-10-01,0,1,0,4,12,False
2012-11-01,0,1,0,4,13,False
2012-12-01,0,1,0,4,12,False
2013-01-01,0,1,1,2,12,False
2013-02-01,1,19,1,7,12,False
2013-03-01,1,14,1,10,11,False
2013-04-01,0,9,1,4,13,False
2013-05-01,0,5,0,5,10,False
2013-06-01,0,7,0,4,12,False
2013-07-01,1,4,0,3,12,False
2013-08-01,0,3,0,4,12,False
2013-09-01,0,4,0,3,15,False
2013-10-01,0,6,0,4,13,False
2013-11-01,1,5,0,4,12,False
2013-12-01,0,4,0,3,12,False
2014-01-01,0,15,0,3,11,False
2014-02-01,0,12,1,2,12,False
2014-03-01,0,10,0,4,14,False
2014-04-01,0,12,0,5,11,False
2014-05-01,0,7,0,5,12,False
2014-06-01,0,17,0,32,10,False
2014-07-01,0,11,0,4,13,False
2014-08-01,0,6,1,3,17,False
2014-09-01,0,6,1,3,17,False
2014-10-01,0,6,1,4,14,False
2014-11-01,0,6,0,3,13,False
2014-12-01,1,5,0,2,11,False
2015-01-01,0,7,0,2,11,False
2015-02-01,0,10,0,5,13,False
2015-03-01,0,7,1,2,18,False
2015-04-01,0,7,1,3,19,False
2015-05-01,0,24,1,2,50,False
2015-06-01,0,19,0,2,22,False
2015-07-01,0,16,0,2,25,False
2015-08-01,0,16,0,3,17,False
2015-09-01,0,14,0,3,15,False
2015-10-01,0,15,0,2,12,False
2015-11-01,0,12,0,2,11,False
2015-12-01,0,11,0,1,10,False
2016-01-01,0,15,1,1,12,False
2016-02-01,0,13,0,3,12,False
2016-03-01,0,11,0,4,13,False
2016-04-01,0,14,0,2,9,False
2016-05-01,0,12,1,3,16,False
2016-06-01,0,12,0,2,13,False
2016-07-01,0,10,0,1,14,False
2016-08-01,0,12,0,4,9,False
2016-09-01,0,9,0,3,13,False
2016-10-01,0,12,0,1,12,False
2016-11-01,0,12,0,2,16,False
2016-12-01,0,10,0,2,9,False
2017-01-01,0,11,0,1,9,False
2017-02-01,0,11,0,1,10,False
2017-03-01,0,12,0,2,9,False
2017-04-01,0,10,0,1,9,False
2017-05-01,0,27,0,2,12,False
2017-06-01,0,35,0,2,9,False
2017-07-01,0,20,0,1,10,False
2017-08-01,0,18,0,2,9,False
2017-09-01,0,23,0,1,9,False
2017-10-01,0,53,0,1,8,False
2017-11-01,0,50,0,1,7,False
2017-12-01,0,51,0,1,7,False
2018-01-01,0,35,0,1,9,False
2018-02-01,0,33,0,1,8,False
2018-03-01,0,33,0,1,7,False
2018-04-01,0,39,0,2,8,False
2018-05-01,0,33,0,1,8,False
2018-06-01,0,26,0,1,9,False
2018-07-01,0,39,0,1,8,False
2018-08-01,0,32,0,1,9,False
2018-09-01,0,100,0,1,9,False
2018-10-01,0,48,0,4,10,False
2018-11-01,0,40,0,1,8,False
2018-12-01,0,55,0,1,8,False
2019-01-01,0,36,0,1,8,False
2019-02-01,0,39,1,2,9,False
2019-03-01,0,38,0,1,8,False
2019-04-01,0,30,0,1,10,False
2019-05-01,0,38,0,4,8,False
2019-06-01,0,56,0,1,8,False
2019-07-01,0,46,0,2,12,False
2019-08-01,0,43,0,2,10,False
2019-09-01,0,36,0,2,9,False
2019-10-01,0,39,0,1,8,False
2019-11-01,0,48,0,1,8,False
2019-12-01,0,41,0,1,9,False
2020-01-01,0,47,0,1,14,False
2020-02-01,0,43,0,1,27,False
2020-03-01,0,32,0,3,11,False
2020-04-01,0,56,0,12,8,False
2020-05-01,0,47,0,4,7,False
2020-06-01,0,36,0,3,8,False
2020-07-01,0,39,0,2,17,False
2020-08-01,0,38,0,2,13,False
2020-09-01,0,42,0,4,10,False
2020-10-01,0,32,0,1,11,False
