date,Jamie Drummond,Baba Shiv,Matt Mills,Neil Harbisson,Iraola,isPartial
2013-08-01,1,17,9,3,13,False
2013-09-01,1,12,6,1,16,False
2013-10-01,1,13,7,3,14,False
2013-11-01,1,13,6,3,13,False
2013-12-01,1,12,6,4,13,False
2014-01-01,1,13,6,3,12,False
2014-02-01,0,18,8,3,14,False
2014-03-01,1,17,5,8,15,False
2014-04-01,1,12,6,4,12,False
2014-05-01,1,13,6,5,13,False
2014-06-01,1,15,8,3,11,False
2014-07-01,1,29,5,3,14,False
2014-08-01,1,18,12,3,18,False
2014-09-01,1,17,7,6,19,False
2014-10-01,1,14,6,7,15,False
2014-11-01,1,16,6,11,14,False
2014-12-01,1,17,6,4,12,False
2015-01-01,1,16,5,5,12,False
2015-02-01,1,28,10,5,14,False
2015-03-01,1,17,6,6,20,False
2015-04-01,1,15,8,5,20,False
2015-05-01,1,16,8,6,55,False
2015-06-01,1,21,5,3,24,False
2015-07-01,0,26,6,3,27,False
2015-08-01,1,35,5,8,19,False
2015-09-01,2,22,5,4,16,False
2015-10-01,1,19,6,5,13,False
2015-11-01,1,19,4,35,12,False
2015-12-01,1,18,5,5,11,False
2016-01-01,0,21,5,12,13,False
2016-02-01,1,23,5,6,13,False
2016-03-01,1,34,5,7,14,False
2016-04-01,1,21,5,5,10,False
2016-05-01,1,23,7,6,17,False
2016-06-01,0,28,4,4,14,False
2016-07-01,0,42,4,6,15,False
2016-08-01,0,33,6,8,10,False
2016-09-01,1,29,4,5,14,False
2016-10-01,0,28,4,6,13,False
2016-11-01,1,24,5,4,18,False
2016-12-01,1,31,5,3,10,False
2017-01-01,1,28,6,4,10,False
2017-02-01,1,46,5,5,11,False
2017-03-01,1,32,5,5,10,False
2017-04-01,0,29,4,9,10,False
2017-05-01,1,26,4,8,13,False
2017-06-01,1,33,4,24,10,False
2017-07-01,1,68,5,7,11,False
2017-08-01,1,40,4,4,10,False
2017-09-01,0,30,6,12,10,False
2017-10-01,0,27,4,9,9,False
2017-11-01,1,27,5,13,8,False
2017-12-01,0,32,4,8,8,False
2018-01-01,1,34,7,9,10,False
2018-02-01,0,44,5,6,9,False
2018-03-01,1,35,4,7,7,False
2018-04-01,0,35,6,6,9,False
2018-05-01,1,38,4,6,9,False
2018-06-01,0,47,4,10,9,False
2018-07-01,0,75,4,16,9,False
2018-08-01,1,91,6,5,10,False
2018-09-01,1,70,4,9,10,False
2018-10-01,0,68,3,8,11,False
2018-11-01,1,72,4,7,9,False
2018-12-01,0,79,4,5,9,False
2019-01-01,0,75,3,4,9,False
2019-02-01,1,66,6,3,10,False
2019-03-01,0,88,5,7,8,False
2019-04-01,1,64,4,4,10,False
2019-05-01,1,58,5,4,9,False
2019-06-01,1,64,4,6,9,False
2019-07-01,1,100,5,4,13,False
2019-08-01,1,84,7,4,11,False
2019-09-01,1,61,4,4,9,False
2019-10-01,1,57,5,4,9,False
2019-11-01,0,62,4,5,9,False
2019-12-01,0,49,4,3,10,False
2020-01-01,1,49,4,6,16,False
2020-02-01,1,66,5,7,29,False
2020-03-01,0,43,4,4,12,False
2020-04-01,0,42,4,4,9,False
2020-05-01,0,38,5,4,7,False
2020-06-01,2,37,4,5,9,False
2020-07-01,1,59,4,8,18,False
2020-08-01,1,43,4,3,15,False
2020-09-01,1,35,3,5,11,False
2020-10-01,0,34,4,4,12,False
