date,Eric Lewis,Don Norman,Pattie Maes + Pranav Mistry,Stuart Brown,Iraola,isPartial
2012-01-01,9,4,22,8,8,False
2012-02-01,9,4,19,7,10,False
2012-03-01,8,5,17,6,18,False
2012-04-01,9,4,17,9,11,False
2012-05-01,8,4,15,8,13,False
2012-06-01,9,4,17,8,11,False
2012-07-01,9,4,17,6,8,False
2012-08-01,10,4,15,6,8,False
2012-09-01,15,3,16,7,9,False
2012-10-01,11,3,13,7,8,False
2012-11-01,12,4,12,8,9,False
2012-12-01,10,6,13,6,8,False
2013-01-01,10,3,15,7,8,False
2013-02-01,12,4,15,8,8,False
2013-03-01,9,3,12,7,8,False
2013-04-01,8,4,12,8,8,False
2013-05-01,8,3,12,7,7,False
2013-06-01,8,3,12,7,8,False
2013-07-01,8,5,14,6,8,False
2013-08-01,8,4,12,7,8,False
2013-09-01,8,4,34,6,10,False
2013-10-01,8,5,16,7,9,False
2013-11-01,8,4,13,8,8,False
2013-12-01,9,3,11,6,8,False
2014-01-01,9,4,17,7,7,False
2014-02-01,7,4,15,7,8,False
2014-03-01,7,3,12,6,9,False
2014-04-01,9,4,9,8,7,False
2014-05-01,8,3,17,6,8,False
2014-06-01,9,4,15,6,7,False
2014-07-01,10,4,11,8,8,False
2014-08-01,9,3,11,7,11,False
2014-09-01,8,4,13,6,12,False
2014-10-01,10,5,10,6,9,False
2014-11-01,10,5,10,8,9,False
2014-12-01,10,4,12,8,7,False
2015-01-01,9,4,10,9,7,False
2015-02-01,9,4,7,7,9,False
2015-03-01,9,4,7,6,12,False
2015-04-01,9,4,7,6,12,False
2015-05-01,8,4,7,7,33,False
2015-06-01,8,3,8,6,15,False
2015-07-01,8,4,8,6,17,False
2015-08-01,10,4,8,6,11,False
2015-09-01,21,4,10,6,10,False
2015-10-01,20,4,7,7,8,False
2015-11-01,13,5,6,7,7,False
2015-12-01,12,4,5,5,7,False
2016-01-01,12,3,5,6,8,False
2016-02-01,9,5,5,8,8,False
2016-03-01,9,5,4,6,8,False
2016-04-01,9,3,4,7,6,False
2016-05-01,8,5,4,6,11,False
2016-06-01,7,4,3,6,8,False
2016-07-01,8,3,6,5,9,False
2016-08-01,8,4,4,5,6,False
2016-09-01,8,3,5,6,8,False
2016-10-01,9,5,4,6,8,False
2016-11-01,8,3,3,6,11,False
2016-12-01,8,4,4,5,6,False
2017-01-01,7,5,5,5,6,False
2017-02-01,7,4,4,6,7,False
2017-03-01,6,4,4,6,6,False
2017-04-01,8,5,4,5,6,False
2017-05-01,7,5,3,5,8,False
2017-06-01,7,3,3,6,6,False
2017-07-01,7,4,4,5,7,False
2017-08-01,8,4,4,5,6,False
2017-09-01,8,4,2,6,6,False
2017-10-01,7,4,2,7,5,False
2017-11-01,7,5,3,6,5,False
2017-12-01,6,3,2,6,5,False
2018-01-01,7,4,3,5,6,False
2018-02-01,8,4,3,5,5,False
2018-03-01,7,4,3,5,4,False
2018-04-01,7,3,3,5,5,False
2018-05-01,5,4,3,5,6,False
2018-06-01,7,4,2,4,6,False
2018-07-01,6,4,4,5,5,False
2018-08-01,7,4,3,4,6,False
2018-09-01,6,6,3,5,6,False
2018-10-01,7,4,3,5,7,False
2018-11-01,6,5,2,6,6,False
2018-12-01,7,4,2,5,5,False
2019-01-01,6,4,3,5,5,False
2019-02-01,6,5,3,5,6,False
2019-03-01,7,5,2,4,5,False
2019-04-01,6,4,2,4,6,False
2019-05-01,6,4,2,6,5,False
2019-06-01,5,4,2,5,6,False
2019-07-01,6,3,3,4,8,False
2019-08-01,5,4,3,6,6,False
2019-09-01,6,5,3,6,6,False
2019-10-01,6,4,5,6,5,False
2019-11-01,7,4,3,5,5,False
2019-12-01,6,3,3,5,6,False
2020-01-01,6,3,5,5,9,False
2020-02-01,7,4,3,5,18,False
2020-03-01,4,3,2,4,7,False
2020-04-01,7,4,2,5,6,False
2020-05-01,7,4,2,4,4,False
2020-06-01,5,4,2,3,5,False
2020-07-01,7,4,3,4,11,False
2020-08-01,6,4,4,4,9,False
2020-09-01,5,5,2,5,6,False
2020-10-01,6,4,2,5,7,False
