date,Corneille Ewango,Torsten Reil,Clay Shirky,Freeman Dyson,Iraola,isPartial
2014-02-01,0,1,9,15,25,False
2014-03-01,0,2,10,15,28,False
2014-04-01,0,1,10,24,22,False
2014-05-01,0,1,6,17,25,False
2014-06-01,0,1,4,11,21,False
2014-07-01,0,0,5,12,26,False
2014-08-01,0,1,7,12,34,False
2014-09-01,0,1,9,11,35,False
2014-10-01,0,1,10,13,27,False
2014-11-01,0,1,7,10,26,False
2014-12-01,0,1,4,17,22,False
2015-01-01,0,1,6,14,21,False
2015-02-01,0,0,6,16,26,False
2015-03-01,0,0,5,13,37,False
2015-04-01,0,1,7,19,38,False
2015-05-01,0,1,4,17,100,False
2015-06-01,0,1,3,15,44,False
2015-07-01,0,0,4,13,50,False
2015-08-01,0,1,4,16,34,False
2015-09-01,0,0,4,12,30,False
2015-10-01,0,0,6,58,24,False
2015-11-01,0,0,8,20,23,False
2015-12-01,0,0,5,15,20,False
2016-01-01,0,1,2,13,24,False
2016-02-01,0,0,5,13,23,False
2016-03-01,0,0,5,14,26,False
2016-04-01,0,0,5,17,18,False
2016-05-01,0,0,5,11,32,False
2016-06-01,0,0,2,12,26,False
2016-07-01,0,1,4,11,28,False
2016-08-01,0,0,3,9,18,False
2016-09-01,0,1,6,12,25,False
2016-10-01,0,0,5,11,24,False
2016-11-01,0,0,6,12,33,False
2016-12-01,0,0,3,14,19,False
2017-01-01,0,0,4,12,18,False
2017-02-01,0,1,5,14,21,False
2017-03-01,0,1,5,10,18,False
2017-04-01,0,0,4,11,19,False
2017-05-01,0,0,4,14,24,False
2017-06-01,0,0,2,13,19,False
2017-07-01,0,0,2,9,20,False
2017-08-01,0,0,2,9,18,False
2017-09-01,0,1,3,8,18,False
2017-10-01,0,0,4,10,16,False
2017-11-01,0,0,3,13,14,False
2017-12-01,0,0,3,12,14,False
2018-01-01,0,0,4,14,19,False
2018-02-01,0,0,3,14,17,False
2018-03-01,0,0,3,12,14,False
2018-04-01,0,0,3,13,16,False
2018-05-01,0,0,2,13,17,False
2018-06-01,0,1,2,11,17,False
2018-07-01,0,0,2,9,16,False
2018-08-01,0,0,3,14,17,False
2018-09-01,0,0,3,9,18,False
2018-10-01,0,0,4,10,20,False
2018-11-01,0,0,3,10,17,False
2018-12-01,0,0,3,9,16,False
2019-01-01,0,0,3,7,16,False
2019-02-01,0,0,3,18,19,False
2019-03-01,0,0,2,11,15,False
2019-04-01,0,0,2,11,19,False
2019-05-01,0,0,2,18,16,False
2019-06-01,0,1,1,8,17,False
2019-07-01,0,0,1,10,24,False
2019-08-01,0,0,2,10,20,False
2019-09-01,0,0,3,8,17,False
2019-10-01,0,0,3,11,16,False
2019-11-01,0,1,3,8,16,False
2019-12-01,0,0,1,12,19,False
2020-01-01,0,0,2,9,28,False
2020-02-01,0,0,3,59,54,False
2020-03-01,0,1,2,67,21,False
2020-04-01,0,1,2,28,17,False
2020-05-01,0,0,2,16,14,False
2020-06-01,0,1,2,12,16,False
2020-07-01,0,0,2,11,34,False
2020-08-01,0,0,1,11,27,False
2020-09-01,0,0,2,14,19,False
2020-10-01,0,0,2,9,21,False
