date,Zach Kaplan + Keith Schacht,Newton Aduaka,Jackie Tabick,Dayananda Saraswati,Iraola,isPartial
2020-01-01,0,0,1,5,28,False
2020-02-01,0,0,0,6,54,False
2020-03-01,1,0,0,3,21,False
2020-04-01,1,0,0,4,17,False
2020-05-01,1,0,0,5,14,False
2020-06-01,1,0,0,4,16,False
2020-07-01,1,0,0,4,34,False
2020-08-01,2,0,0,5,27,False
2020-09-01,1,1,0,4,19,False
2020-10-01,1,0,0,4,21,False
