date,Gary Haugen,Jedidah Isler,Chris Milk,Nizar Ibrahim,Iraola,isPartial
2013-04-01,3,0,15,2,25,False
2013-05-01,2,0,13,2,21,False
2013-06-01,4,0,12,1,23,False
2013-07-01,1,1,12,1,23,False
2013-08-01,1,0,13,1,24,False
2013-09-01,1,0,9,1,30,False
2013-10-01,1,0,16,0,26,False
2013-11-01,1,1,13,1,24,False
2013-12-01,1,0,13,1,25,False
2014-01-01,3,0,13,1,22,False
2014-02-01,4,0,13,1,25,False
2014-03-01,2,0,14,1,28,False
2014-04-01,3,1,10,1,22,False
2014-05-01,2,1,11,1,25,False
2014-06-01,2,1,12,1,21,False
2014-07-01,2,1,14,1,26,False
2014-08-01,2,2,12,2,34,False
2014-09-01,1,1,11,4,35,False
2014-10-01,1,0,13,6,27,False
2014-11-01,2,0,15,3,26,False
2014-12-01,1,1,14,2,22,False
2015-01-01,1,0,15,1,21,False
2015-02-01,2,0,19,2,26,False
2015-03-01,2,1,15,1,37,False
2015-04-01,10,1,18,1,38,False
2015-05-01,6,1,16,1,100,False
2015-06-01,3,1,20,3,44,False
2015-07-01,2,2,13,1,50,False
2015-08-01,1,1,18,1,34,False
2015-09-01,1,1,21,2,30,False
2015-10-01,2,2,16,2,24,False
2015-11-01,1,1,14,1,23,False
2015-12-01,2,3,14,1,20,False
2016-01-01,3,2,19,1,24,False
2016-02-01,2,1,20,2,23,False
2016-03-01,1,0,19,1,26,False
2016-04-01,2,0,15,2,18,False
2016-05-01,1,1,17,2,32,False
2016-06-01,1,1,19,1,26,False
2016-07-01,2,1,15,1,28,False
2016-08-01,2,1,14,1,18,False
2016-09-01,2,2,15,1,25,False
2016-10-01,0,1,15,1,24,False
2016-11-01,2,1,18,1,33,False
2016-12-01,2,1,12,1,19,False
2017-01-01,4,1,18,1,18,False
2017-02-01,1,2,17,1,21,False
2017-03-01,1,1,17,1,18,False
2017-04-01,2,1,16,1,19,False
2017-05-01,1,1,17,1,24,False
2017-06-01,1,1,11,0,19,False
2017-07-01,1,0,14,1,20,False
2017-08-01,3,1,13,0,18,False
2017-09-01,2,1,13,1,18,False
2017-10-01,3,0,16,1,16,False
2017-11-01,2,0,14,0,14,False
2017-12-01,2,0,12,1,14,False
2018-01-01,2,0,17,1,19,False
2018-02-01,3,3,16,1,17,False
2018-03-01,2,1,13,1,14,False
2018-04-01,2,2,13,1,16,False
2018-05-01,2,1,14,1,17,False
2018-06-01,1,1,13,1,17,False
2018-07-01,1,0,13,1,16,False
2018-08-01,1,0,11,2,17,False
2018-09-01,1,1,9,1,18,False
2018-10-01,2,0,12,1,20,False
2018-11-01,2,1,11,1,17,False
2018-12-01,2,1,11,1,16,False
2019-01-01,2,2,15,1,16,False
2019-02-01,1,1,13,1,19,False
2019-03-01,1,1,11,1,15,False
2019-04-01,1,1,12,1,19,False
2019-05-01,1,1,12,1,16,False
2019-06-01,2,0,15,1,17,False
2019-07-01,1,0,12,1,24,False
2019-08-01,1,0,12,0,20,False
2019-09-01,1,1,10,1,17,False
2019-10-01,1,1,10,1,16,False
2019-11-01,1,0,11,1,16,False
2019-12-01,1,1,12,2,19,False
2020-01-01,1,1,13,1,28,False
2020-02-01,2,1,13,0,54,False
2020-03-01,0,1,13,1,21,False
2020-04-01,1,1,17,1,17,False
2020-05-01,1,1,12,2,14,False
2020-06-01,1,1,12,1,16,False
2020-07-01,1,1,11,1,34,False
2020-08-01,1,1,10,1,27,False
2020-09-01,1,1,12,1,19,False
2020-10-01,1,1,12,1,21,False
