date,Krista Tippett,Patricia Kuhl,Lisa Gansky,Madeleine Albright,Iraola,isPartial
2013-07-01,5,0,1,11,12,False
2013-08-01,6,1,0,12,10,False
2013-09-01,9,1,1,20,14,False
2013-10-01,7,0,0,16,12,False
2013-11-01,6,1,1,14,11,False
2013-12-01,6,1,0,12,11,False
2014-01-01,6,1,0,13,10,False
2014-02-01,9,0,1,15,11,False
2014-03-01,7,1,1,25,12,False
2014-04-01,5,1,0,19,10,False
2014-05-01,4,1,1,17,11,False
2014-06-01,7,0,1,14,9,False
2014-07-01,5,0,0,21,10,False
2014-08-01,7,1,0,13,16,False
2014-09-01,4,1,1,16,16,False
2014-10-01,6,1,1,35,13,False
2014-11-01,5,1,1,16,12,False
2014-12-01,6,1,0,14,10,False
2015-01-01,6,1,1,18,10,False
2015-02-01,8,1,0,31,11,False
2015-03-01,5,1,0,22,17,False
2015-04-01,5,2,0,20,16,False
2015-05-01,5,1,1,18,45,False
2015-06-01,5,1,0,17,21,False
2015-07-01,4,0,0,14,23,False
2015-08-01,5,1,0,16,16,False
2015-09-01,5,1,0,16,13,False
2015-10-01,5,1,0,42,11,False
2015-11-01,5,1,1,21,10,False
2015-12-01,7,1,0,15,10,False
2016-01-01,3,0,0,19,12,False
2016-02-01,4,1,0,100,11,False
2016-03-01,4,1,0,28,12,False
2016-04-01,12,0,0,21,8,False
2016-05-01,11,1,0,21,14,False
2016-06-01,7,1,0,16,11,False
2016-07-01,8,0,0,80,11,False
2016-08-01,5,1,0,16,9,False
2016-09-01,6,1,0,18,12,False
2016-10-01,8,1,1,25,9,False
2016-11-01,8,1,0,31,13,False
2016-12-01,9,1,0,20,10,False
2017-01-01,8,1,0,60,8,False
2017-02-01,10,1,0,28,8,False
2017-03-01,10,1,0,20,9,False
2017-04-01,9,1,1,14,8,False
2017-05-01,8,1,0,20,9,False
2017-06-01,6,0,0,15,9,False
2017-07-01,6,1,0,12,9,False
2017-08-01,7,1,0,14,7,False
2017-09-01,6,1,0,15,8,False
2017-10-01,7,1,0,16,7,False
2017-11-01,6,0,0,19,6,False
2017-12-01,6,0,0,15,7,False
2018-01-01,7,0,0,14,9,False
2018-02-01,7,0,0,17,8,False
2018-03-01,5,1,0,20,6,False
2018-04-01,7,0,0,97,8,False
2018-05-01,4,0,0,26,7,False
2018-06-01,5,1,0,27,7,False
2018-07-01,5,1,0,37,7,False
2018-08-01,5,1,0,18,8,False
2018-09-01,5,1,0,21,8,False
2018-10-01,4,1,0,38,8,False
2018-11-01,6,1,0,18,8,False
2018-12-01,5,1,0,22,6,False
2019-01-01,8,1,0,22,8,False
2019-02-01,7,1,0,30,9,False
2019-03-01,6,1,0,27,7,False
2019-04-01,7,1,0,17,9,False
2019-05-01,4,1,0,19,7,False
2019-06-01,6,1,0,20,7,False
2019-07-01,7,0,0,17,10,False
2019-08-01,5,0,0,20,9,False
2019-09-01,4,0,0,16,8,False
2019-10-01,4,1,0,18,7,False
2019-11-01,4,0,0,15,7,False
2019-12-01,4,1,0,13,9,False
2020-01-01,5,0,0,16,12,False
2020-02-01,4,1,0,17,25,False
2020-03-01,3,0,0,17,9,False
2020-04-01,4,0,0,52,8,False
2020-05-01,6,1,0,32,7,False
2020-06-01,6,0,0,29,7,False
2020-07-01,6,1,0,19,15,False
2020-08-01,4,1,0,16,12,False
2020-09-01,5,1,0,29,9,False
2020-10-01,4,0,0,19,9,False
