date,Christiana Figueres,Aditi Gupta,Kenneth Lacovara,Shivani Siroya,Iraola,isPartial
2015-10-01,8,10,0,1,24,False
2015-11-01,12,9,0,0,23,False
2015-12-01,19,11,0,1,20,False
2016-01-01,5,10,0,1,24,False
2016-02-01,6,11,0,0,23,False
2016-03-01,5,12,0,1,26,False
2016-04-01,10,11,1,3,18,False
2016-05-01,5,18,0,3,32,False
2016-06-01,5,14,1,1,26,False
2016-07-01,18,15,1,2,28,False
2016-08-01,5,11,1,2,18,False
2016-09-01,6,10,0,2,25,False
2016-10-01,2,12,1,2,24,False
2016-11-01,3,15,0,2,33,False
2016-12-01,2,11,1,1,19,False
2017-01-01,3,9,0,1,18,False
2017-02-01,10,12,0,1,21,False
2017-03-01,4,10,0,1,18,False
2017-04-01,5,11,0,1,19,False
2017-05-01,3,8,0,2,24,False
2017-06-01,8,27,0,1,19,False
2017-07-01,3,14,0,0,20,False
2017-08-01,1,15,0,1,18,False
2017-09-01,4,14,1,1,18,False
2017-10-01,2,10,0,0,16,False
2017-11-01,4,7,0,1,14,False
2017-12-01,2,7,0,1,14,False
2018-01-01,2,9,0,1,19,False
2018-02-01,2,9,0,1,17,False
2018-03-01,3,11,0,1,14,False
2018-04-01,4,10,0,1,16,False
2018-05-01,3,10,0,1,17,False
2018-06-01,1,10,1,1,17,False
2018-07-01,2,8,0,1,16,False
2018-08-01,3,10,0,1,17,False
2018-09-01,3,38,0,1,18,False
2018-10-01,4,8,0,2,20,False
2018-11-01,5,14,0,1,17,False
2018-12-01,2,97,0,1,16,False
2019-01-01,5,8,0,1,16,False
2019-02-01,5,10,0,1,19,False
2019-03-01,3,7,1,1,15,False
2019-04-01,4,7,0,1,19,False
2019-05-01,3,7,0,1,16,False
2019-06-01,3,6,0,1,17,False
2019-07-01,2,9,0,1,24,False
2019-08-01,2,7,0,1,20,False
2019-09-01,5,7,0,1,17,False
2019-10-01,5,6,0,1,16,False
2019-11-01,3,7,0,1,16,False
2019-12-01,4,6,0,1,19,False
2020-01-01,3,5,0,1,28,False
2020-02-01,7,5,0,2,54,False
2020-03-01,10,6,0,1,21,False
2020-04-01,6,6,0,0,17,False
2020-05-01,5,6,0,1,14,False
2020-06-01,3,9,0,0,16,False
2020-07-01,2,32,0,1,34,False
2020-08-01,2,13,0,1,27,False
2020-09-01,4,8,1,1,19,False
2020-10-01,4,9,0,1,21,False
