date,Honor Harger,Joshua Walters,Emiliano Salinas,Rajesh Rao,Iraola,isPartial
2014-04-01,0,2,7,2,14,False
2014-05-01,1,1,4,2,16,False
2014-06-01,0,2,3,3,14,False
2014-07-01,0,1,3,1,17,False
2014-08-01,0,1,3,1,22,False
2014-09-01,0,1,3,1,23,False
2014-10-01,0,1,4,2,18,False
2014-11-01,1,1,5,3,17,False
2014-12-01,0,1,3,2,14,False
2015-01-01,0,1,4,2,14,False
2015-02-01,0,1,4,1,17,False
2015-03-01,1,1,2,2,24,False
2015-04-01,0,1,4,3,25,False
2015-05-01,0,1,5,2,66,False
2015-06-01,0,1,3,3,29,False
2015-07-01,0,1,2,3,33,False
2015-08-01,0,0,3,3,23,False
2015-09-01,1,1,4,3,20,False
2015-10-01,0,1,3,3,16,False
2015-11-01,0,1,3,2,15,False
2015-12-01,0,1,3,3,13,False
2016-01-01,0,1,6,4,16,False
2016-02-01,1,1,4,3,15,False
2016-03-01,1,1,2,3,17,False
2016-04-01,0,1,3,2,12,False
2016-05-01,0,1,4,2,21,False
2016-06-01,0,1,2,2,17,False
2016-07-01,0,1,2,2,18,False
2016-08-01,1,1,2,2,12,False
2016-09-01,0,1,2,2,17,False
2016-10-01,0,1,3,2,16,False
2016-11-01,0,1,9,1,22,False
2016-12-01,0,1,2,3,12,False
2017-01-01,0,1,3,1,12,False
2017-02-01,0,2,2,2,14,False
2017-03-01,0,1,5,3,12,False
2017-04-01,0,1,7,3,12,False
2017-05-01,0,1,8,2,16,False
2017-06-01,0,0,13,4,12,False
2017-07-01,0,1,6,2,13,False
2017-08-01,0,1,3,3,12,False
2017-09-01,0,1,2,2,12,False
2017-10-01,0,1,19,2,11,False
2017-11-01,0,0,5,2,9,False
2017-12-01,0,1,4,2,9,False
2018-01-01,0,1,4,2,13,False
2018-02-01,0,1,3,2,11,False
2018-03-01,0,1,9,2,9,False
2018-04-01,0,1,9,2,11,False
2018-05-01,0,1,7,2,11,False
2018-06-01,0,1,3,2,11,False
2018-07-01,0,0,5,2,10,False
2018-08-01,0,0,4,2,11,False
2018-09-01,0,1,2,4,12,False
2018-10-01,0,0,1,4,13,False
2018-11-01,0,0,2,3,11,False
2018-12-01,0,0,2,5,10,False
2019-01-01,0,1,4,3,10,False
2019-02-01,0,0,3,2,12,False
2019-03-01,0,1,3,2,10,False
2019-04-01,0,1,11,4,13,False
2019-05-01,0,1,76,2,10,False
2019-06-01,0,1,66,2,11,False
2019-07-01,0,0,15,2,16,False
2019-08-01,0,1,11,2,13,False
2019-09-01,0,1,6,2,11,False
2019-10-01,0,0,3,2,11,False
2019-11-01,0,1,9,2,11,False
2019-12-01,0,2,3,3,12,False
2020-01-01,0,1,4,2,19,False
2020-02-01,0,1,4,2,35,False
2020-03-01,0,1,4,3,14,False
2020-04-01,0,1,3,3,11,False
2020-05-01,0,1,4,2,9,False
2020-06-01,0,1,5,2,11,False
2020-07-01,0,0,3,4,22,False
2020-08-01,0,1,3,4,18,False
2020-09-01,0,1,5,2,13,False
2020-10-01,0,0,12,1,14,False
