date,Anil Ananthaswamy,Ric Elias,Harvey Fineberg,Bruce Schneier,Iraola,isPartial
2009-06-01,0,0,0,26,27,False
2009-07-01,0,2,3,24,26,False
2009-08-01,2,0,0,25,32,False
2009-09-01,2,2,2,25,38,False
2009-10-01,1,1,0,17,28,False
2009-11-01,1,1,0,26,36,False
2009-12-01,0,1,1,36,27,False
2010-01-01,1,1,1,37,35,False
2010-02-01,1,0,1,27,18,False
2010-03-01,1,1,1,22,26,False
2010-04-01,1,0,2,23,27,False
2010-05-01,0,1,3,19,24,False
2010-06-01,1,1,0,52,29,False
2010-07-01,0,0,1,20,20,False
2010-08-01,2,0,1,24,27,False
2010-09-01,0,1,1,23,32,False
2010-10-01,2,0,1,25,34,False
2010-11-01,1,0,1,41,42,False
2010-12-01,1,0,3,27,34,False
2011-01-01,1,1,2,18,28,False
2011-02-01,2,0,2,20,38,False
2011-03-01,1,0,2,22,46,False
2011-04-01,4,5,2,16,34,False
2011-05-01,1,10,5,19,31,False
2011-06-01,2,3,1,16,33,False
2011-07-01,0,8,2,24,28,False
2011-08-01,1,5,2,18,42,False
2011-09-01,1,3,1,16,34,False
2011-10-01,1,2,1,23,32,False
2011-11-01,0,4,0,14,28,False
2011-12-01,0,12,1,21,27,False
2012-01-01,1,3,2,12,25,False
2012-02-01,2,1,1,16,30,False
2012-03-01,1,3,1,19,54,False
2012-04-01,0,2,1,22,34,False
2012-05-01,1,2,1,17,41,False
2012-06-01,1,2,1,16,32,False
2012-07-01,1,1,1,12,23,False
2012-08-01,1,1,1,13,24,False
2012-09-01,0,1,1,15,26,False
2012-10-01,1,2,2,13,25,False
2012-11-01,1,2,1,14,27,False
2012-12-01,1,3,1,10,23,False
2013-01-01,2,3,1,11,24,False
2013-02-01,1,3,1,13,25,False
2013-03-01,2,1,2,13,23,False
2013-04-01,1,2,1,16,25,False
2013-05-01,1,3,1,15,21,False
2013-06-01,1,2,1,24,23,False
2013-07-01,1,3,1,16,23,False
2013-08-01,1,2,1,19,24,False
2013-09-01,1,2,1,40,30,False
2013-10-01,1,4,2,24,26,False
2013-11-01,1,2,1,21,24,False
2013-12-01,1,2,3,29,25,False
2014-01-01,1,4,1,24,22,False
2014-02-01,1,2,1,18,25,False
2014-03-01,1,4,1,16,28,False
2014-04-01,0,1,1,28,22,False
2014-05-01,1,2,1,19,25,False
2014-06-01,1,1,1,15,21,False
2014-07-01,1,1,0,15,26,False
2014-08-01,0,2,2,16,34,False
2014-09-01,1,2,1,17,35,False
2014-10-01,1,2,2,18,27,False
2014-11-01,1,1,1,12,26,False
2014-12-01,1,1,2,15,22,False
2015-01-01,1,2,1,17,21,False
2015-02-01,1,2,1,19,26,False
2015-03-01,0,12,0,18,37,False
2015-04-01,0,4,1,14,38,False
2015-05-01,1,2,1,13,100,False
2015-06-01,1,3,1,15,44,False
2015-07-01,3,2,1,14,50,False
2015-08-01,2,3,1,16,34,False
2015-09-01,1,4,0,8,30,False
2015-10-01,1,4,1,14,24,False
2015-11-01,0,3,2,11,23,False
2015-12-01,0,2,1,11,20,False
2016-01-01,1,4,0,8,24,False
2016-02-01,1,3,1,13,23,False
2016-03-01,1,2,0,11,26,False
2016-04-01,0,3,0,10,18,False
2016-05-01,0,3,0,9,32,False
2016-06-01,1,2,1,10,26,False
2016-07-01,1,2,1,9,28,False
2016-08-01,1,2,0,9,18,False
2016-09-01,0,3,1,14,25,False
2016-10-01,2,4,0,14,24,False
2016-11-01,1,2,1,12,33,False
2016-12-01,0,4,0,10,19,False
2017-01-01,0,2,0,8,18,False
2017-02-01,0,2,1,11,21,False
2017-03-01,0,2,0,11,18,False
2017-04-01,0,3,0,7,19,False
2017-05-01,0,4,1,10,24,False
2017-06-01,0,2,0,8,19,False
2017-07-01,0,3,0,6,20,False
2017-08-01,1,2,0,5,18,False
2017-09-01,0,3,0,10,18,False
2017-10-01,0,3,0,9,16,False
2017-11-01,0,4,1,9,14,False
2017-12-01,0,1,0,6,14,False
2018-01-01,0,2,0,8,19,False
2018-02-01,0,3,0,9,17,False
2018-03-01,0,4,0,9,14,False
2018-04-01,1,2,0,6,16,False
2018-05-01,1,2,0,8,17,False
2018-06-01,1,2,0,7,17,False
2018-07-01,0,3,0,6,16,False
2018-08-01,1,2,0,7,17,False
2018-09-01,1,4,0,9,18,False
2018-10-01,0,2,0,8,20,False
2018-11-01,1,2,0,6,17,False
2018-12-01,0,2,0,5,16,False
2019-01-01,1,3,1,8,16,False
2019-02-01,0,3,1,10,19,False
2019-03-01,0,3,1,9,15,False
2019-04-01,0,2,0,6,19,False
2019-05-01,1,2,0,6,16,False
2019-06-01,0,1,0,7,17,False
2019-07-01,0,1,0,6,24,False
2019-08-01,1,1,0,5,20,False
2019-09-01,1,2,1,6,17,False
2019-10-01,0,1,0,6,16,False
2019-11-01,1,5,0,4,16,False
2019-12-01,0,2,0,5,19,False
2020-01-01,1,3,0,8,28,False
2020-02-01,1,1,0,7,54,False
2020-03-01,0,1,1,5,21,False
2020-04-01,0,2,12,7,17,False
2020-05-01,1,2,1,5,14,False
2020-06-01,0,1,0,4,16,False
2020-07-01,0,1,1,6,34,False
2020-08-01,0,1,0,5,27,False
2020-09-01,1,2,1,4,19,False
2020-10-01,1,1,0,4,21,False
