date,Stella Young,Keren Elazari,Will Potter,Uri Alon,Iraola,isPartial
2009-02-01,1,0,11,1,9,False
2009-03-01,2,0,13,1,6,False
2009-04-01,1,0,13,1,8,False
2009-05-01,1,0,15,1,10,False
2009-06-01,2,0,19,1,7,False
2009-07-01,1,0,58,1,7,False
2009-08-01,2,0,27,1,9,False
2009-09-01,1,0,14,1,10,False
2009-10-01,1,0,14,1,7,False
2009-11-01,2,0,21,1,10,False
2009-12-01,1,0,21,1,7,False
2010-01-01,2,0,17,1,9,False
2010-02-01,2,0,16,1,5,False
2010-03-01,2,0,19,1,7,False
2010-04-01,1,0,16,1,7,False
2010-05-01,1,0,15,2,6,False
2010-06-01,2,0,24,1,8,False
2010-07-01,2,0,24,1,5,False
2010-08-01,4,0,19,1,7,False
2010-09-01,2,0,17,1,8,False
2010-10-01,3,0,22,1,9,False
2010-11-01,1,0,58,1,11,False
2010-12-01,2,0,31,1,9,False
2011-01-01,2,0,25,1,7,False
2011-02-01,2,0,18,1,10,False
2011-03-01,2,0,22,1,12,False
2011-04-01,2,0,29,1,9,False
2011-05-01,2,0,23,1,8,False
2011-06-01,2,0,32,1,9,False
2011-07-01,2,0,95,1,7,False
2011-08-01,3,0,43,1,11,False
2011-09-01,2,0,26,1,9,False
2011-10-01,1,0,26,1,8,False
2011-11-01,2,0,31,1,7,False
2011-12-01,2,0,23,1,7,False
2012-01-01,2,0,22,1,7,False
2012-02-01,2,0,17,1,8,False
2012-03-01,2,0,16,1,14,False
2012-04-01,3,0,17,1,9,False
2012-05-01,2,0,14,1,11,False
2012-06-01,3,0,13,0,8,False
2012-07-01,3,0,16,1,6,False
2012-08-01,3,0,15,0,6,False
2012-09-01,3,0,13,1,7,False
2012-10-01,2,0,13,1,7,False
2012-11-01,3,0,13,1,7,False
2012-12-01,3,0,14,1,6,False
2013-01-01,3,0,12,1,6,False
2013-02-01,2,0,14,1,7,False
2013-03-01,2,0,13,1,6,False
2013-04-01,2,0,12,1,7,False
2013-05-01,3,0,12,0,6,False
2013-06-01,2,0,12,1,6,False
2013-07-01,3,0,16,1,6,False
2013-08-01,4,0,16,0,6,False
2013-09-01,3,0,15,1,8,False
2013-10-01,2,0,11,1,7,False
2013-11-01,2,0,13,1,6,False
2013-12-01,3,0,15,1,6,False
2014-01-01,3,0,15,1,6,False
2014-02-01,3,0,12,1,7,False
2014-03-01,2,0,13,0,7,False
2014-04-01,3,0,13,0,6,False
2014-05-01,3,0,13,1,7,False
2014-06-01,6,4,14,2,5,False
2014-07-01,3,1,16,1,7,False
2014-08-01,3,1,11,1,9,False
2014-09-01,2,1,12,1,9,False
2014-10-01,4,1,12,1,7,False
2014-11-01,2,1,12,1,7,False
2014-12-01,61,1,14,0,6,False
2015-01-01,5,0,14,0,6,False
2015-02-01,3,0,12,1,7,False
2015-03-01,3,1,11,1,10,False
2015-04-01,4,0,12,0,10,False
2015-05-01,3,1,11,1,26,False
2015-06-01,3,0,15,1,12,False
2015-07-01,4,1,14,1,13,False
2015-08-01,4,0,12,1,9,False
2015-09-01,3,0,13,1,8,False
2015-10-01,3,0,16,1,6,False
2015-11-01,3,0,16,0,6,False
2015-12-01,4,1,17,1,5,False
2016-01-01,3,0,18,0,6,False
2016-02-01,3,0,16,0,6,False
2016-03-01,3,0,15,0,7,False
2016-04-01,3,0,15,0,5,False
2016-05-01,3,0,15,0,8,False
2016-06-01,3,0,16,0,7,False
2016-07-01,3,1,19,0,7,False
2016-08-01,3,0,27,0,5,False
2016-09-01,3,0,14,1,7,False
2016-10-01,3,0,17,1,6,False
2016-11-01,3,0,20,0,9,False
2016-12-01,3,0,19,0,5,False
2017-01-01,3,0,19,1,5,False
2017-02-01,4,0,15,0,6,False
2017-03-01,4,0,15,0,5,False
2017-04-01,3,0,14,0,5,False
2017-05-01,3,0,12,0,6,False
2017-06-01,2,0,16,0,5,False
2017-07-01,3,0,15,0,5,False
2017-08-01,3,0,13,0,5,False
2017-09-01,2,0,13,0,5,False
2017-10-01,3,0,12,0,4,False
2017-11-01,3,0,14,0,4,False
2017-12-01,3,0,15,1,4,False
2018-01-01,3,0,16,0,5,False
2018-02-01,3,0,13,0,4,False
2018-03-01,3,0,14,0,4,False
2018-04-01,3,0,15,0,4,False
2018-05-01,3,0,14,0,5,False
2018-06-01,2,0,13,0,5,False
2018-07-01,2,0,16,0,4,False
2018-08-01,2,0,14,0,5,False
2018-09-01,3,0,15,0,5,False
2018-10-01,3,0,16,0,5,False
2018-11-01,3,0,20,0,4,False
2018-12-01,4,0,16,0,4,False
2019-01-01,3,0,16,0,4,False
2019-02-01,3,0,14,0,5,False
2019-03-01,3,0,12,0,4,False
2019-04-01,3,0,11,0,5,False
2019-05-01,2,0,11,0,4,False
2019-06-01,2,0,14,0,4,False
2019-07-01,3,0,13,0,6,False
2019-08-01,4,0,11,0,5,False
2019-09-01,2,0,11,0,5,False
2019-10-01,2,0,14,0,4,False
2019-11-01,2,0,16,0,4,False
2019-12-01,3,0,14,0,5,False
2020-01-01,3,0,13,0,8,False
2020-02-01,3,0,12,0,14,False
2020-03-01,3,0,15,0,6,False
2020-04-01,2,0,22,1,4,False
2020-05-01,3,0,20,1,4,False
2020-06-01,3,0,18,0,4,False
2020-07-01,2,0,17,0,9,False
2020-08-01,2,0,16,0,7,False
2020-09-01,2,0,26,0,5,False
2020-10-01,3,0,24,1,6,False
